dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id
711436,Give,17,Give Idrætscenter,630,56,403641,"Søndermarken 1, 7323 Give",Vejle,389177
710054,Grejs Nord,26,Grejs Kulturcenter,630,56,403641,"Vestermarksvej 13A, Grejs, 7100 Vejle",Vejle,389177
700940,Thyregod Nord,18,Center Thyregod,630,56,403641,"Søndergade 27D, Thyregod, 7323 Give",Vejle,389177
703960,Engum Nord,31,Bredal Kro,630,56,403641,"Horsensvej 581, 7120 Vejle Øst",Vejle,389177
702258,Vandel Nord,29,Vandel Idrætshal,630,56,403641,"Skolevej 8, 7184 Vandel",Vejle,389177
708586,Jelling Nord,24,Bredagerskolen,630,56,403641,"Bredager 26A, 7300 Jelling",Vejle,389177
708580,Nørup Nord,28,Nørup Hallen,630,56,403641,"Tørskindvej 3R, Ny Nørup, 7182 Bredsten",Vejle,389177
700946,Givskud Nord,20,Givskud Skole,630,56,403641,"Vejlevej 47A, Givskud, 7323 Give",Vejle,389177
703968,Kollerup-Sandvad Nord,25,Kollerup Skole - Multihallen,630,56,403641,"Kollerupvej 12A, Kollerup, 7300 Jelling",Vejle,389177
703974,Øster Nykirke Nord,23,Øster Nykirke Skole,630,56,403641,"Skolestien 10D, 7173 Vonge",Vejle,389177
706968,Hældagerhallen Nord,32,Hældagerhallen,630,56,403641,"Nørremarksvej 159, Bredballe, 7120 Vejle Øst",Vejle,389177
705594,Grejsdalen Nord,33,Selskabslokale v. Grejsdalens Fritidscenter,630,56,403641,"Grejsdalsvej 155B, 7100 Vejle",Vejle,389177
702272,Bredsten Nord,27,Bredsten Skole,630,56,403641,"Skolevænget 2D, 7182 Bredsten",Vejle,389177
702280,Skibet Hallen,16,Skibet Hallen - Kabyssen,630,56,403641,"Jennumvej 10, 7100 Vejle",Vejle,389177
706962,Grønbjerg Nord,21,Elkjærskolen,630,56,403641,"Gammelbyvej 41A, Grønbjerg, 7323 Give",Vejle,389177
706950,Gadbjerg Nord,19,Gadbjerg Skole,630,56,403641,"Langgade 78B, 7321 Gadbjerg",Vejle,389177
705588,Nørremarkshallen Nord,30,Nørremarkshallen,630,56,403641,"Grundet Bygade 20, 7100 Vejle",Vejle,389177
702264,Lindeballe Nord,22,Lindeballe Forsamlingshus,630,56,403641,"Åstvej 54, Lindeballe, 7321 Gadbjerg",Vejle,389177
703980,Petersmindehallen Nord,34,Petersmindehallen,630,56,403641,"Petersmindevej 25D, 7100 Vejle",Vejle,389177
708618,DGI-Huset Syd,9,DGI-Huset Vejle,630,57,403640,"Willy Sørensens Pl 5E, 7100 Vejle",Vejle,389177
710128,Multihuset Højen Syd,10,Multihuset Højen,630,57,403640,"Jenlevej 5, 7100 Vejle",Vejle,389177
710134,Egtved Syd,6,Roberthus,630,57,403640,"Tybovej 2, 6040 Egtved",Vejle,389177
711442,Børkop Syd,2,Englystshallen,630,57,403640,"Skolebakken 1, 7080 Børkop",Vejle,389177
710122,Øster Starup Syd,8,Øster Starup Skole,630,57,403640,"Ådalsvej 66, Gravens, 6040 Egtved",Vejle,389177
703998,Rødkilde Gymnasium Syd,15,Rødkilde Gymnasium,630,57,403640,"Rødkildevej 42B, 7100 Vejle",Vejle,389177
711448,Jerlev Syd,7,Jerlev Kulturhus,630,57,403640,"Smedevej 18, Jerlev, 7100 Vejle",Vejle,389177
702298,Smidstrup Syd,4,Smidstruphallen,630,57,403640,"Tiufkærvej 3D, Smidstrup, 7000 Fredericia",Vejle,389177
703992,Vinding Idræts Center Syd,11,Vinding Idræts Center,630,57,403640,"Nygårdsvej 10, 7100 Vejle",Vejle,389177
710116,Ødsted Syd,5,Brunmosehallen,630,57,403640,"Mølkærparken 5, Ødsted, 7100 Vejle",Vejle,389177
708612,Brejning Syd,1,Læringscenter Brejning,630,57,403640,"Borgergade 19, Brejning, 7080 Børkop",Vejle,389177
700976,Gårslev Syd,3,Gårslev Sognegård,630,57,403640,"Skolegade 22, Gårslev, 7080 Børkop",Vejle,389177
705620,CSV - Vejle Syd,14,CSV - Vejle,630,57,403640,"Solsikkevej 8F, 7100 Vejle",Vejle,389177
700984,Kvartershuset Syd,13,Kvartershuset,630,57,403640,"Løget Høj 2A, 7100 Vejle",Vejle,389177
705630,Mølholmhallen Syd,12,Mølholmhallen,630,57,403640,"Badevænget 14, 7100 Vejle",Vejle,389177
