dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id
711310,Hornsyld,12,Hornsyld Idrætscenter,766,72,403581,"Nørremarksvej 3, 8783 Hornsyld",Hedensted,389178
703900,Rask Mølle,17,Rask Mølle Kro,766,72,403581,"Stationspladsen 1, 8763 Rask Mølle",Hedensted,389178
709918,Aale,23,Aale Forsamlingshus,766,72,403581,"Aale Bygade 33, 7160 Tørring",Hedensted,389178
711322,Ølsted Og Eriknauer-Området,6,Ølsted Sognegård,766,72,403581,"Skolevænget 20, Ølsted, 8723 Løsning",Hedensted,389178
711316,Ølholm,24,Ølholm Forsamlingshus,766,72,403581,"Skolevej 103, Ølholm, 7160 Tørring",Hedensted,389178
700852,Rårup,14,Rårup Sognegård,766,72,403581,"Bakkedalsvej 14, Rårup, 7130 Juelsminde",Hedensted,389178
706840,Uldum,22,Uldum Forsamlingshus,766,72,403581,"Højskolebakken 10, 7171 Uldum",Hedensted,389178
703906,Bjerre,11,Bjerre Borgerhus,766,72,403581,"Holmen 8, Bjerre, 8783 Hornsyld",Hedensted,389178
706828,Barrit,10,Barrit - Byens Hus,766,72,403581,"Kirkebro 2, 7150 Barrit",Hedensted,389178
709924,Stouby,13,Stouby Multihus,766,72,403581,"Idrætsvej 12, 7140 Stouby",Hedensted,389178
749378,Hjortsvang,25,Hjortsvang Forsamlingshus,766,72,403581,"Borgergade 21, Hjortsvang, 7160 Tørring",Hedensted,389178
749382,Hornborg,19,Hornborg Forsamlingshus,766,72,403581,"Østerenden 1, Hornborg, 8762 Flemming",Hedensted,389178
703894,Tørring,21,Tørring Skole - Gymnastiksalen,766,72,403581,"Skolevænget 4, 7160 Tørring",Hedensted,389178
706834,Løsning Sogn,2,Løsning Skole - Boldhallen,766,72,403581,"Ny Skolegade 13, 8723 Løsning",Hedensted,389178
702132,Ø. Snede Sogn,3,Øster Snede Skole - Klubhuset,766,72,403581,"Ribevej 67, Kragelund, 8723 Løsning",Hedensted,389178
705478,Daugård Og Ørum Sogne,4,Daugård Skole - Aulaen,766,72,403581,"Skolevej 4, 8721 Daugård",Hedensted,389178
702112,"Hedensted, St.Dalby Og Urlev",1,Hedensted Skole - Byhallen sal 2,766,72,403581,"Østerled 8, 8722 Hedensted",Hedensted,389178
702118,Glud,15,Glud Forsamlingshus,766,72,403581,"Sønderbakken 4, Glud, 7130 Juelsminde",Hedensted,389178
749379,As,8,As Forsamlingshus,766,72,403581,"Birkemosevej 1, As, 7130 Juelsminde",Hedensted,389178
705470,Juelsminde/Klakring,7,Juelsminde Hallerne,766,72,403581,"Tofteskovvej 12D, 7130 Juelsminde",Hedensted,389178
749380,Hvirring,18,Hvirring Forsamlingshus,766,72,403581,"Fruens Kirkevej 4, Hvirring, 8762 Flemming",Hedensted,389178
703888,Korning Sogn,5,Hotel Korning,766,72,403581,"Korningvej 143, 8700 Horsens",Hedensted,389178
749381,Hjarnø,16,Hjarnø Forsamlingshus,766,72,403581,"Hovedvejen 4C, Hjarnø, 7130 Juelsminde",Hedensted,389178
700846,Lindved,20,Lindved Multihus,766,72,403581,"Sognegårdsvej 1A, Lindved, 7100 Vejle",Hedensted,389178
