dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id
711172,Ramme,4,"Festsalen, Ramme Hallen",665,73,403588,"Rammegårdvej 8, Ramme, 7620 Lemvig",Lemvig,389183
706550,Thyborøn,7,"Selskabslokalet, Wærket",665,73,403588,"Kirkegaardsvej 15, 7680 Thyborøn",Lemvig,389183
701882,Harboøre,8,"Festsalen, Harboøre Centret",665,73,403588,"Lemvigvej 9A, 7673 Harboøre",Lemvig,389183
711178,Klinkby,3,"Aktivitetstorvet, Alt i Et Huset",665,73,403588,"Nejrupvej 2B, Hove, 7620 Lemvig",Lemvig,389183
712242,Bøvling,5,"Festlokalet, Bøvling Idræts- og Kulturhus",665,73,403588,"Fårevej 141, Bøvling, 7650 Bøvlingbjerg",Lemvig,389183
706536,Lemvig,1,"Hal 2, Indgang B, Lemvig Idræts- og Kulturcenter",665,73,403588,"Christinelystvej 8, 7620 Lemvig",Lemvig,389183
711166,Nørre Nissum,2,"Multisalen, Østhallen",665,73,403588,"Skolevænget 5, Nørre Nissum, 7620 Lemvig",Lemvig,389183
711198,Tangsø,6,"Kultursalen, Tangsø Centret",665,73,403588,"Solvangen 15, 7660 Bækmarksbro",Lemvig,389183
