dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id
709812,"Langå, Svindinge Og Øksendrup",5,Svindinge Forsamlingshus,450,46,403614,"Strædet 2, Svindinge, 5853 Ørbæk",Nyborg,389160
703760,Skellerup,8,Skellerup Forsamlingshus,450,46,403614,"Skellerup Byvej 16, 5540 Ullerslev",Nyborg,389160
703754,Nyborghallen,2,Nyborghallen,450,46,403614,"Halvej 1, 5800 Nyborg",Nyborg,389160
708346,Ørbæk,10,Ørbæk Midtpunkt,450,46,403614,"Langemosevej 5, 5853 Ørbæk",Nyborg,389160
708334,Ullerslev,6,Ullerslev Kultur- og Idrætscenter,450,46,403614,"Skolevej 2, 5540 Ullerslev",Nyborg,389160
705368,Aunslevhallen,1,Aunslevhallen,450,46,403614,"Skovgyden 1, Aunslev, 5800 Nyborg",Nyborg,389160
706642,Kullerup Og Refsvindinge,13,Refsvindinge Forsamlingshus,450,46,403614,"Refsvindinge Byvej 26, Refsvindinge, 5853 Ørbæk",Nyborg,389160
705374,Vindinge Forsamlingshus,4,Vindinge Forsamlingshus,450,46,403614,"Bøjdenvej 75, Vindinge, 5800 Nyborg",Nyborg,389160
708340,Langtved,9,Langtved Forsamlingshus,450,46,403614,"Langtvedvej 15, 5540 Ullerslev",Nyborg,389160
701998,Ellinge,7,Ellinge Forsamlingshus,450,46,403614,"Gl. Byvej 12, Ellinge, 5540 Ullerslev",Nyborg,389160
702004,Ellested Og Herrested,12,Herrested Forsamlingshus,450,46,403614,"Odensevej 100, Herrested, 5853 Ørbæk",Nyborg,389160
706634,Bastionen,3,Bastionen,450,46,403614,"Nørrevoldgade 63, 5800 Nyborg",Nyborg,389160
705380,Frørup Og Tårup,11,Frørup Forsamlingshus,450,46,403614,"Kogsbøllevej 83, 5871 Frørup",Nyborg,389160
