dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;kommune_navn;kommune_dagi_id;resultat_art;S;V;største_parti;pop_up
709338;9. Vest;53;Vesterbro Ny Skole;101;9;403574;Slesvigsgade 6, 1762 København V;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Vesterbro Ny Skole<br>"
701612;9. Nord;50;Oehlenschlægersgades Skole;101;9;403574;Oehlenschlægersgade 57, 1663 København V;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Oehlenschlægersgades Skole<br>"
749403;9. Sluseholmen;66;Sluseholmen Skole;101;9;403574;Ved Stigbordene 26, 2450 København SV;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sluseholmen Skole<br>"
707738;6. Bispebjerg;27;Tagensbo Skole;101;6;403568;Hovmestervej 19, 2400 København NV;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Tagensbo Skole<br>"
725358;6. Vest;59;Utterslev Skole;101;6;403568;Skoleholdervej 20, 2400 København NV;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Utterslev Skole<br>"
701606;6. Nord;28;Holbergskolen;101;6;403568;Frederiksborgvej 216, 2400 København NV;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Holbergskolen<br>"
706172;6. Øst;29;Lundehusskolen;101;6;403568;Lersø Parkallé 152, 2100 København Ø;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Lundehusskolen<br>"
710808;6. Syd;30;Grøndalsvængets Skole;101;6;403568;Rørsangervej 29, 2400 København NV;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Grøndalsvængets Skole<br>"
707672;3. Øst;14;Nyboder Skole;101;3;403573;Øster Voldgade 15, 1350 København K;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Nyboder Skole<br>"
704846;3. Syd;13;Hal C;101;3;403573;Arsenalvej 6, 1436 København K;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Hal C<br>"
711926;3. Indre By;11;Rådhushallen;101;3;403573;Rådhuspladsen 1, 1550 København V;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Rådhushallen<br>"
709378;3. Nord;12;Øster Farimagsgades Skole;101;3;403573;Øster Farimagsgade 40, 2100 København Ø;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Øster Farimagsgades Skole<br>"
749402;3. Midt;63;Den Classenske Legatskole;101;3;403573;Vester Voldgade 98, 1552 København V;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Den Classenske Legatskole<br>"
749404;3. Sølvgade;64;Sølvgades Skole;101;3;403573;Sølvgade 16, 1307 København K;København;389103;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sølvgades Skole<br>"
