dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id
711692,Sanderumhallen,26,Sanderumhallen,461,43,403611,"Væddeløbsvej 4, Sanderum, 5250 Odense SV",Odense,389161
702866,Dalumskolen,30,"Dalumskolen, Gymnastiksalen",461,43,403611,"Demantsvej 30, Hjallese, 5260 Odense S",Odense,389161
708800,Fangel Forsamlingshus,32,"Fangel Forsamlingshus, Salen",461,43,403611,"Fangel Bygade 1, Fangel, 5260 Odense S",Odense,389161
705894,Rosengårdskolen,25,"Rosengårdskolen, Sportshallen",461,43,403611,"Stærmosegårdsvej 51, 5230 Odense M",Odense,389161
711698,Tingløkkeskolen,29,"Tingløkkeskolen, Gymnastiksalen",461,43,403611,"Bergendals Allé 25, Dalum, 5250 Odense SV",Odense,389161
711704,Højby Skole,33,"Højby Skole, Idrætshallen",461,43,403611,"Nørrelunden 20, Højby, 5260 Odense S",Odense,389161
705888,Rådhuset,23,"Rådhuset, Rådhushallen",461,43,403611,"Flakhaven 2, 5000 Odense C",Odense,389161
708794,Skt. Klemensskolen,31,"Skt. Klemensskolen, Gymnastiksalen",461,43,403611,"Dahlsvej 1, Stenløse, 5260 Odense S",Odense,389161
705882,Rasmus Rask-Skolen,28,"Rasmus Rask-Skolen, Hallen",461,43,403611,"Brændekildevej 30, Bellinge, 5250 Odense SV",Odense,389161
705876,Sct. Knuds Gymnasium,24,"Sct. Knuds Gymnasium, Drengegymnastiksalen",461,43,403611,"Læssøegade 154, 5230 Odense M",Odense,389161
702812,Lumby Skole,13,"Lumby Skole, Gymnastiksalen",461,42,403612,"Harlekinvej 74, Lumby, 5270 Odense N",Odense,389161
702830,Paarup Hallen,19,"Paarup Hallen, Anneks Hallen",461,42,403612,"Paarupvej 21, Paarup, 5210 Odense NV",Odense,389161
708782,CSV-Skolen,12,"CSV-Skolen, Sportshallen",461,42,403612,"Rismarksvej 80, Højstrup, 5200 Odense V",Odense,389161
701218,Spurvelundskolen,16,"Spurvelundskolen, Gymnastiksalen",461,42,403612,"Spurvelundsvej 16, Næsbyhoved-Broby, 5270 Odense N",Odense,389161
702824,Stige Skole,14,"Stige Skole, Gymnastiksalen",461,42,403612,"Stigevej 247, Stige, 5270 Odense N",Odense,389161
702818,Kroggårdsskolen,17,"Kroggårdsskolen, Gymnastiksalen",461,42,403612,"Smedebakken 24, Næsby, 5270 Odense N",Odense,389161
701224,Tarup Skole,18,"Tarup Skole, Aulaen",461,42,403612,"Tarupgårdsvej 1, Tarup, 5210 Odense NV",Odense,389161
707300,UCL Seebladsgade,11,UCL Seebladsgade,461,42,403612,"Seebladsgade 1, 5000 Odense C",Odense,389161
710430,Korup Skole,20,"Korup Skole, Gymnastiksalen",461,42,403612,"Præstevej 2, Korup, 5210 Odense NV",Odense,389161
707308,Ubberud Kultur og Bevægelseshus,21,Ubberud Kultur og Bevægelseshus,461,42,403612,"Ubberudvej 30, Ubberud, 5491 Blommenslyst",Odense,389161
711662,Camp U,35,"Camp U (tidl. Humlehaveskolen), Konferencerum",461,41,403610,"Risingsvej 118, 5240 Odense NØ",Odense,389161
746369,Skt. Jørgens Hallen,1,Skt. Jørgens Hallen,461,41,403610,"Danmarksgade 12, 5000 Odense C",Odense,389161
705850,Risingskolen,3,"Risingskolen, Festsalen",461,41,403610,"Risingsvej 25, 5000 Odense C",Odense,389161
705856,Agedrup Skole,6,"Agedrup Skole, Foredragssalen",461,41,403610,"Brolandvej 16, Agedrup, 5320 Agedrup",Odense,389161
707258,Marienlystcentret,2,Marienlystcentret,461,41,403610,"Windelsvej 138, 5000 Odense C",Odense,389161
705862,UngOdense (Tidl.Bækholmskolen),36,"UngOdense, (tidl. Bækholmskolen), Tumlesalen",461,41,403610,"Niels Bohrs Allé 210, Tornbjerg, 5220 Odense SØ",Odense,389161
711668,Munkebjergskolen,4,"Munkebjergskolen, Sportshallen",461,41,403610,"Fengersvej 6, 5230 Odense M",Odense,389161
708762,Fjordager-Hallen,7,Fjordager-Hallen,461,41,403610,"Strandvejen 39, Seden, 5240 Odense NØ",Odense,389161
707294,Ejerslykkeskolen,5,"Ejerslykkeskolen, Gymnastiksalen",461,41,403610,"Rødegårdsvej 164, 5230 Odense M",Odense,389161
710386,Fraugde Fritidscenter,9,"Fraugde Fritidscenter, Hallen",461,41,403610,"Stat-Ene-Vej 18, Fraugde, 5220 Odense SØ",Odense,389161
