dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id
704286,Græsted,4,Gribskovhallen,270,23,403555,"Larsensvej 15B, 3230 Græsted",Gribskov,389132
705812,Mårum,9,Mårum Forsamlingshus,270,23,403555,"Hessemosevej 9, 3230 Græsted",Gribskov,389132
705834,Annisse,5,Annisse Forsamlingshus,270,23,403555,"Helsingevej 8, 3200 Helsinge",Gribskov,389132
704298,Helsinge,8,Helsingehallen,270,23,403555,"Idrætsvej 21, 3200 Helsinge",Gribskov,389132
711598,Gilleleje,6,Gillelejehallen,270,23,403555,"Bøgebakken 19C, 3250 Gilleleje",Gribskov,389132
708732,Valby,3,Valby Forsamlingshus,270,23,403555,"Aggebovej 6, 3200 Helsinge",Gribskov,389132
702752,Ramløse,10,Ramløsehallen,270,23,403555,"Kirsebærvej 21, Ramløse, 3200 Helsinge",Gribskov,389132
704292,Vejby,11,Vejby Forsamlingshus,270,23,403555,"Stationsvej 14, 3210 Vejby",Gribskov,389132
708756,Blistrup,1,"Gilbjergskolen, Blistrup",270,23,403555,"Toftegårdsvej 6, Udsholt, 3230 Græsted",Gribskov,389132
707246,Søborg,7,Søborg Forsamlingshus,270,23,403555,"Bygaden 7, Søborg, 3250 Gilleleje",Gribskov,389132
701184,Tibirke,12,Tisvilde Idrætshus,270,23,403555,"Tisvilde Bygade 35, 3220 Tisvildeleje",Gribskov,389132
701158,Esbønderup,2,Tingbakkehallen,270,23,403555,"Tingbakken 10, Esbønderup Skovhuse, 3230 Græsted",Gribskov,389132
