dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;kommune_navn;kommune_dagi_id;resultat_art;SP;T;største_parti;pop_up
710532;Sønderho;2;Sønderho Forsamlingshus;563;52;403625;Gammel Byvej 8, Sønderho, 6720 Fanø;Fanø;389171;;;;;
702962;Nordby;1;Fanø Hallen;563;52;403625;Stadionvej 13, Nordby, 6720 Fanø;Fanø;389171;;;;;
