bogstav;procent_25;procent_21;partier;listebogstav;kommune_kode;kommune;pp_change
DF;14,605726673290578;7,361544461778472;Dansk Folkeparti;O;185;tårnby;7,244182211512106
SF;12,80667320902846;5,600130109508837;SF;F;306;odsherred;7,206543099519624
LA;7,803588290840416;0,6685804940696533;Liberal Alliance;I;573;varde;7,135007796770763
LA;10,92548787699586;3,928722504230119;Liberal Alliance;I;320;faxe;6,99676537276574
LA;7,727046440509209;0,7441823837461117;Liberal Alliance;I;253;greve;6,9828640567630975
SF;17,87450951210228;11,010775090334972;SF;F;101;københavn;6,863734421767306
R;14,223280487069744;7,378807378807378;Radikale;B;661;holstebro;6,844473108262366
S;22,123893805309734;15,391163701370564;Socialdemokratiet;A;400;bornholms regionskommune;6,73273010393917
S;22,11369236184442;15,391163701370564;Socialdemokratiet;A;400;bornholm;6,722528660473857
SF;9,57409362900387;2,902868817570444;SF;F;400;bornholm;6,671224811433427
SF;9,57161097169022;2,902868817570444;SF;F;400;bornholms regionskommune;6,6687421541197756
K;22,55353211927156;15,89986229299813;Konservative;C;219;hillerød;6,653669826273429
SF;13,476408395139655;6,887365328109696;SF;F;779;skive;6,58904306702996
DF;9,385691671347598;2,815033161385409;Dansk Folkeparti;O;550;tønder;6,570658509962188
V;16,00668778599085;9,555631224993617;Venstre;V;400;bornholm;6,451056560997232
V;15,977633954123188;9,555631224993617;Venstre;V;400;bornholms regionskommune;6,422002729129572
SF;8,97159745529229;2,6283493556964617;SF;F;810;brønderslev;6,3432480995958285
SF;19,357495881383855;13,045171339563865;SF;F;741;samsø;6,31232454181999
LA;7,476732339889144;1,2732290708371663;Liberal Alliance;I;740;silkeborg;6,203503269051978
SF;11,090686274509803;5,079142163316656;SF;F;217;helsingør;6,011544111193147
V;25,5144445000751;19,528890678477957;Venstre;V;707;norddjurs;5,9855538215971436
DF;10,493780050370145;4,5607972353933945;Dansk Folkeparti;O;151;ballerup;5,93298281497675
DF;10,28289556895316;4,464519507724535;Dansk Folkeparti;O;270;gribskov;5,818376061228625
LA;6,564668208503825;0,897517743813136;Liberal Alliance;I;710;favrskov;5,667150464690689
LA;6,028612696884243;0,3856601495690667;Liberal Alliance;I;510;haderslev;5,642952547315176
DF;8,023280879499891;2,4038678776377025;Dansk Folkeparti;O;210;fredensborg;5,619413001862188
SF;10,708156444765605;5,15308112324493;SF;F;185;tårnby;5,5550753215206745
LA;5,963153909939792;0,4730405353434351;Liberal Alliance;I;607;fredericia;5,490113374596357
DF;11,345965370793856;5,858750611645735;Dansk Folkeparti;O;580;aabenraa;5,487214759148121
K;19,256410256410255;13,815624215021352;Konservative;C;492;ærø;5,440786041388904
R;9,754885090436312;4,319416157501697;Radikale;B;169;høje-taastrup;5,435468932934615
LA;7,027911991374836;1,6547846169294105;Liberal Alliance;I;621;kolding;5,373127374445426
SF;11,132351287529517;5,770892126936589;SF;F;840;rebild;5,361459160592927
SF;11,134512777309745;5,797958881822216;SF;F;727;odder;5,336553895487529
SF;14,836557705136755;9,503449415458338;SF;F;265;roskilde;5,333108289678417
LA;6,067312829123102;0,7755364461946476;Liberal Alliance;I;151;ballerup;5,291776382928455
V;28,138783537013623;22,936143000700387;Venstre;V;259;køge;5,202640536313236
LA;7,326105310674012;2,168282524237864;Liberal Alliance;I;851;aalborg;5,157822786436148
V;30,872995673199288;25,72444678609062;Venstre;V;201;allerød;5,148548887108667
SF;12,594778321443243;7,558069563124323;SF;F;250;frederikssund;5,0367087583189205
DF;9,13922985736683;4,107264086897488;Dansk Folkeparti;O;169;høje-taastrup;5,031965770469342
DF;12,594337739088768;7,629280048197611;Dansk Folkeparti;O;621;kolding;4,9650576908911574
SF;9,265601903594476;4,318898546265672;SF;F;607;fredericia;4,946703357328804
SF;20,030331311245916;15,16218721037998;SF;F;350;lejre;4,868144100865937
SF;11,917118217202168;7,064212810415495;SF;F;151;ballerup;4,852905406786673
SF;16,182232879115737;11,37962016296434;SF;F;159;gladsaxe;4,802612716151398
V;35,53711594527921;30,75;Venstre;V;575;vejen;4,787115945279211
SF;7,820183645937595;3,064552155461246;SF;F;846;mariagerfjord;4,755631490476349
LA;6,511317195850362;1,791783811002476;Liberal Alliance;I;240;egedal;4,719533384847885
LA;5,685220497510721;0,9692751019797164;Liberal Alliance;I;461;odense;4,715945395531004
LA;5,668527379053695;0,966880727325204;Liberal Alliance;I;163;herlev;4,701646651728491
