bogstav,procent_25,procent_21,partier,listebogstav,kommune_kode,kommune,procent_diff
S,33.47027222247302,39.674336973478944,Socialdemokratiet,A,185,tårnby,-6.204064751005923
S,38.77828613824657,43.42996007637563,Socialdemokratiet,A,540,sønderborg,-4.651673938129058
S,24.888760711931443,34.808844628238674,Socialdemokratiet,A,787,thisted,-9.920083916307231
S,18.36275722478354,14.432989690721648,Socialdemokratiet,A,840,rebild,3.9297675340618916
S,23.222416213070417,27.38736259010133,Socialdemokratiet,A,561,esbjerg,-4.164946377030912
S,24.7893850042123,25.15900014790711,Socialdemokratiet,A,727,odder,-0.3696151436948121
S,25.268170667179756,27.89703836215464,Socialdemokratiet,A,330,slagelse,-2.6288676949748826
S,14.062920139822532,13.682277318640956,Socialdemokratiet,A,482,langeland,0.380642821181576
S,18.327605956471935,30.5230166503428,Socialdemokratiet,A,779,skive,-12.195410693870866
S,29.03475109263405,30.036860302311624,Socialdemokratiet,A,746,skanderborg,-1.0021092096775739
S,29.62676962676963,21.42677719166039,Socialdemokratiet,A,492,ærø,8.199992435109241
S,19.53932877888528,29.51016969551089,Socialdemokratiet,A,250,frederikssund,-9.970840916625608
S,25.17549457562221,28.558263834492926,Socialdemokratiet,A,849,jammerbugt,-3.3827692588707166
S,16.59867029313992,20.62778575205862,Socialdemokratiet,A,573,varde,-4.0291154589186995
S,40.16371495237731,50.77955476975006,Socialdemokratiet,A,151,ballerup,-10.615839817372745
S,11.25576507677039,21.556997219647823,Socialdemokratiet,A,350,lejre,-10.301232142877433
S,32.2478411304626,35.8948829350712,Socialdemokratiet,A,479,svendborg,-3.6470418046086053
S,22.399943129309733,27.32999960625271,Socialdemokratiet,A,253,greve,-4.930056476942976
S,23.752480606169943,37.327897854011226,Socialdemokratiet,A,607,fredericia,-13.575417247841283
S,6.346434466425855,8.696198396944647,Socialdemokratiet,A,157,gentofte,-2.349763930518792
S,23.82918149466192,31.953808635776788,Socialdemokratiet,A,530,billund,-8.124627141114868
S,27.867338371116706,31.56140643226129,Socialdemokratiet,A,671,struer,-3.694068061144584
S,23.071110103529055,34.23019431988042,Socialdemokratiet,A,730,randers,-11.159084216351363
S,21.347695390781563,30.28737983227654,Socialdemokratiet,A,810,brønderslev,-8.939684441494975
S,34.10466705721539,37.76444263628967,Socialdemokratiet,A,183,ishøj,-3.659775579074285
S,31.21051732969097,29.51474462479817,Socialdemokratiet,A,773,morsø,1.6957727048928
S,24.5863247206972,34.866620368479104,Socialdemokratiet,A,167,hvidovre,-10.280295647781905
S,27.440478247347873,28.56117755289788,Socialdemokratiet,A,740,silkeborg,-1.1206993055500085
S,31.77101054780538,40.40003644979041,Socialdemokratiet,A,410,middelfart,-8.629025901985035
S,20.727252903014772,36.5553507535509,Socialdemokratiet,A,306,odsherred,-15.828097850536125
S,6.717413719900528,10.857661378641383,Socialdemokratiet,A,230,rudersdal,-4.140247658740855
S,39.59874533940936,53.49528021651594,Socialdemokratiet,A,153,brøndby,-13.896534877106575
S,32.810734946770275,36.582142857142856,Socialdemokratiet,A,430,faaborg-midtfyn,-3.771407910372581
S,23.811480461848213,36.44937344452692,Socialdemokratiet,A,190,furesø,-12.637892982678707
S,30.5711901339886,28.73915687385332,Socialdemokratiet,A,751,aarhus,1.8320332601352796
S,4.518329070758739,8.25727944372012,Socialdemokratiet,A,563,fanø,-3.7389503729613818
S,40.35105727776637,38.536785506057136,Socialdemokratiet,A,615,horsens,1.8142717717092367
S,26.554218370019328,30.055549183148443,Socialdemokratiet,A,630,vejle,-3.5013308131291154
S,22.660843849936384,30.18545222844495,Socialdemokratiet,A,510,haderslev,-7.524608378508567
S,16.117696422951852,20.970170058544745,Socialdemokratiet,A,329,ringsted,-4.852473635592894
S,16.59539388943274,17.89654454621149,Socialdemokratiet,A,820,vesthimmerlands,-1.301150656778752
