bogstav,procent_25,procent_21,partier,listebogstav,kommune_kode,kommune,procent_diff
S,10.031202563670096,12.04067382386314,Socialdemokratiet,A,270,gribskov,-2.0094712601930436
S,10.76864293447112,15.990516332982086,Socialdemokratiet,A,201,allerød,-5.221873398510965
S,17.39899155261607,28.30859566139292,Socialdemokratiet,A,580,aabenraa,-10.90960410877685
S,12.284838481490215,14.83424755544956,Socialdemokratiet,A,155,dragør,-2.5494090739593442
S,29.651970556001416,31.30309494405149,Socialdemokratiet,A,461,odense,-1.651124388050075
S,20.69266265996416,17.050736497545007,Socialdemokratiet,A,147,frederiksberg,3.6419261624191535
S,26.14936155381642,57.413529231711045,Socialdemokratiet,A,813,frederikshavn,-31.264167677894626
S,17.54413557189478,22.999454492048173,Socialdemokratiet,A,240,egedal,-5.455318920153392
S,39.0713542268995,46.57313432835821,Socialdemokratiet,A,260,halsnæs,-7.501780101458706
S,21.50342828474274,26.048158225811168,Socialdemokratiet,A,217,helsingør,-4.544729941068429
S,20.403796896188037,38.282159710731136,Socialdemokratiet,A,661,holstebro,-17.8783628145431
S,21.91151325163864,35.59277479439709,Socialdemokratiet,A,710,favrskov,-13.681261542758445
S,18.602035652027215,31.757970705563505,Socialdemokratiet,A,259,køge,-13.15593505353629
S,18.766251232852145,28.080357142857142,Socialdemokratiet,A,575,vejen,-9.314105910004997
S,18.547055586130984,23.32957563482813,Socialdemokratiet,A,791,viborg,-4.7825200486971475
S,24.28185366830147,31.4072881014697,Socialdemokratiet,A,707,norddjurs,-7.12543443316823
S,28.03385160401496,25.219028903627283,Socialdemokratiet,A,706,syddjurs,2.8148227003876762
S,15.61607731166264,17.708605281654783,Socialdemokratiet,A,621,kolding,-2.092527969992144
S,18.46831289932654,19.86939486286461,Socialdemokratiet,A,665,lemvig,-1.4010819635380685
S,18.814666908694864,22.99470254559092,Socialdemokratiet,A,756,ikast-brande,-4.180035636896054
S,36.05891315388522,35.88359110460328,Socialdemokratiet,A,161,glostrup,0.17532204928193806
S,23.884578079534432,28.87112887112887,Socialdemokratiet,A,376,guldborgsund,-4.986550791594439
S,21.07689383138485,41.7195004803074,Socialdemokratiet,A,360,lolland,-20.642606648922552
S,12.927465250439326,17.212148832969824,Socialdemokratiet,A,101,københavn,-4.284683582530498
S,21.283064761325633,28.06233314707891,Socialdemokratiet,A,480,nordfyns,-6.7792683857532765
S,20.315540728384764,36.566035016932055,Socialdemokratiet,A,440,kerteminde,-16.25049428854729
S,18.83891420645928,26.0294703305456,Socialdemokratiet,A,326,kalundborg,-7.190556124086321
S,15.04136082954678,20.81306896121711,Socialdemokratiet,A,187,vallensbæk,-5.771708131670328
S,32.221042688890186,36.880928213923205,Socialdemokratiet,A,851,aalborg,-4.659885525033019
S,30.84527283020511,36.81483136028591,Socialdemokratiet,A,846,mariagerfjord,-5.969558530080796
S,23.139283508338483,35.56025032885558,Socialdemokratiet,A,390,vordingborg,-12.420966820517098
S,38.53357242478581,45.85467926978858,Socialdemokratiet,A,163,herlev,-7.321106845002774
S,37.2972972972973,45.52676476860738,Socialdemokratiet,A,175,rødovre,-8.22946747131008
S,31.10876087284971,39.31932209659893,Socialdemokratiet,A,370,næstved,-8.21056122374922
S,28.005303476723633,34.07127429805615,Socialdemokratiet,A,165,albertslund,-6.06597082133252
S,27.997023724351084,31.699383379532726,Socialdemokratiet,A,860,hjørring,-3.702359655181642
S,28.562195699943988,29.501604084767973,Socialdemokratiet,A,210,fredensborg,-0.9394083848239845
S,24.976599976599974,32.94296248102364,Socialdemokratiet,A,159,gladsaxe,-7.9663625044236674
S,10.50817160367722,14.95348457646483,Socialdemokratiet,A,760,ringkøbing-skjern,-4.44531297278761
S,25.08036671032266,30.301468693635663,Socialdemokratiet,A,340,sorø,-5.221101983313002
S,12.097227186845734,14.787521493490544,Socialdemokratiet,A,550,tønder,-2.6902943066448106
S,11.858190709046456,16.759904973561195,Socialdemokratiet,A,269,solrød,-4.901714264514739
S,24.749442154230177,32.90048400424979,Socialdemokratiet,A,766,hedensted,-8.151041850019613
S,52.32667195729024,58.98859543817528,Socialdemokratiet,A,316,holbæk,-6.661923480885044
S,19.134919602999176,27.32922011629456,Socialdemokratiet,A,420,assens,-8.194300513295385
S,25.646519875868183,24.51990632318501,Socialdemokratiet,A,336,stevns,1.1266135526831746
S,18.495825993719844,27.51612355736592,Socialdemokratiet,A,169,høje-taastrup,-9.020297563646075
S,7.510672358591249,11.280214861235452,Socialdemokratiet,A,223,hørsholm,-3.769542502644203
S,17.188580460337842,29.298857868020303,Socialdemokratiet,A,320,faxe,-12.11027740768246
S,25.092707045735473,32.281931464174455,Socialdemokratiet,A,741,samsø,-7.189224418438982
S,10.437165275874952,12.553170763386042,Socialdemokratiet,A,173,lyngby-taarbæk,-2.1160054875110905
S,18.356730801293807,24.649553334981107,Socialdemokratiet,A,219,hillerød,-6.2928225336873
S,10.564062403396328,14.576684024861414,Socialdemokratiet,A,657,herning,-4.012621621465087
S,21.340044998665295,28.031148015036973,Socialdemokratiet,A,265,roskilde,-6.691103016371677
S,7.955449482895784,16.5016501650165,Socialdemokratiet,A,825,læsø,-8.546200682120716
S,24.015088013411567,27.43522902590839,Socialdemokratiet,A,450,nyborg,-3.420141012496824
S,22.12046495244805,15.391163701370564,Socialdemokratiet,A,400,bornholm,6.7293012510774854
