dagi_id;region;navn;nummer;afstemningssted_navn;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;resultat_art;ALT;D;DD;DF;EL;K;KD;L;LA;M;R;S;SF;V;største_parti;pop_up
704018;Nordjylland;Hallund;56;Hallund Kro;86;403592;Sølvgade 74, 9700 Brønderslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Hallund Kro<br>"
703190;Nordjylland;Arentsminde;10;Arentsminde Cafeteria;86;403592;Thyvej 16, Arentsminde, 9460 Brovst;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Arentsminde Cafeteria<br>"
700990;Nordjylland;Hjallerup;5;Hjallerup Kulturhus;86;403592;Nørre Alle 3A, 9320 Hjallerup;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Hjallerup Kulturhus<br>"
704750;Nordjylland;Thorup;14;Thorup Forsamlingshus;86;403592;Toftholmvej 16, V Thorup, 9690 Fjerritslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Thorup Forsamlingshus<br>"
707632;Nordjylland;Fjerritslev;13;Idrætscenter Jammerbugt;86;403592;Brøndumvej 16B, 9690 Fjerritslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Idrætscenter Jammerbugt<br>"
711454;Nordjylland;Jerslev;70;Hallen på Toftegårdsskolen;86;403592;Sdr Ringgade 79, 9740 Jerslev J;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Hallen på Toftegårdsskolen<br>"
705646;Nordjylland;Ø. Brønderslev;50;Samlingshuset;86;403592;Elmevej 124, 9700 Brønderslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Samlingshuset<br>"
710140;Nordjylland;Brønderslev;10;Brønderslev Hallen;86;403592;Knudsgade 15, 9700 Brønderslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Brønderslev Hallen<br>"
711896;Nordjylland;Vedsted;4;Birkelse Hallen;86;403592;Gl. Landevej 62B, Birkelse, 9440 Aabybro;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Birkelse Hallen<br>"
710716;Nordjylland;Gjøl;5;Gjøl Kro;86;403592;Fjordgade 18, Gjøl, 9440 Aabybro;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Gjøl Kro<br>"
749357;Nordjylland;V. Hjermitslev;7;Lunden;86;403592;Assenbækvej 33, V. Hjermitslev, 9700 Brønderslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Lunden<br>"
708630;Nordjylland;Serritslev;80;Serritslev Forsamlingshus;86;403592;Hybenvej 3, 9700 Brønderslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Serritslev Forsamlingshus<br>"
701514;Nordjylland;Hune;20;Hune Forsamlingshus;86;403592;Vesterhavsvej 27, 9492 Blokhus;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Hune Forsamlingshus<br>"
704012;Nordjylland;Thise;40;Manna-Thise Samlingshus;86;403592;Jens Thise Vej 33, 9700 Brønderslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Manna-Thise Samlingshus<br>"
