dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;region;største_parti;pop_up
701916;Sydbyen;9;Pulzion;621;60;403627;Peter Tofts Vej 21, 6000 Kolding;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Pulzion<br>"
707970;Vonsild;13;Vonsildhallen;621;60;403627;Catolhavegyden 19, Vonsild, 6000 Kolding;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Vonsildhallen<br>"
706060;Vester Sottrup;13;Forsamlingsgaarden Sundeved;540;49;403618;Nybølvej 2, Vester Sottrup, 6400 Sønderborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Forsamlingsgaarden Sundeved<br>"
704566;Gråsten;16;Ahlmannsparken;540;49;403618;Ahlefeldvej 4, 6300 Gråsten;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Ahlmannsparken<br>"
701416;Dybbøl;12;Skansehallerne - Dybbøl;540;49;403618;Aabenraavej 25, 6400 Sønderborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Skansehallerne - Dybbøl<br>"
704588;Sønderskov, Sønderborg;10;Sønderskov Hallen;540;49;403618;B.S.Ingemanns Vej 1, 6400 Sønderborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Sønderskov Hallen<br>"
706066;Kværs;17;Kværs Hallerne;540;49;403618;Avntoftvej 8, Kværs, 6300 Gråsten;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Kværs Hallerne<br>"
701408;Egen;3;Guderup Forsamling- og Selskabshus;540;49;403618;Trappen 6, Guderup, 6430 Nordborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Guderup Forsamling- og Selskabshus<br>"
706040;Ullerup;14;Bakkensbro Aktivitets- og Kultur Center;540;49;403618;Bakkensbro 6, Ullerup, 6400 Sønderborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Bakkensbro Aktivitets- og Kultur Center<br>"
710622;Kongevej, Sønderborg;11;Kongevej - Sønderborg;540;49;403618;Kongevej 19A, 6400 Sønderborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Kongevej - Sønderborg<br>"
703032;Sydals;7;Sydals-Hallen;540;49;403618;Mommarkvej 352, Tandslet, 6470 Sydals;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Sydals-Hallen<br>"
706048;Broager;15;Broager-Hallen;540;49;403618;Skolevej 5, 6310 Broager;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Broager-Hallen<br>"
710642;Augustenborg;5;Augustenborghallerne;540;49;403618;Kettingvej 19A, 6440 Augustenborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Augustenborghallerne<br>"
703038;Nordborg;1;Nordborg Hallen;540;49;403618;Luffes Plads 2, 6430 Nordborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Nordborg Hallen<br>"
707448;Hørup;6;Hørup-Hallerne;540;49;403618;Vestervej 42, Hørup, 6470 Sydals;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Hørup-Hallerne<br>"
707466;Kegnæs;8;Kegnæs Forsamlingshus;540;49;403618;Nørre Landevej 59, Kegnæs, 6470 Sydals;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Kegnæs Forsamlingshus<br>"
701434;Humlehøj, Sønderborg;9;Humlehøj Hallerne;540;49;403618;Stråbjergvej 1, 6400 Sønderborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Humlehøj Hallerne<br>"
701428;Fynshav;4;Diamanten;540;49;403618;Gyden 100, Fynshav, 6440 Augustenborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Diamanten<br>"
710634;Havnbjerg;2;Musikkens Hus;540;49;403618;Studievej 6, Havnbjerg, 6430 Nordborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Musikkens Hus<br>"
748639;Bogense;1;Bogense Hallerne;480;45;403613;Kristianslundsvej 2, 5400 Bogense;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Bogense Hallerne<br>"
748633;Morud;8;Havrehedskolen, afd. Morud;480;45;403613;Rugårdsvej 729, 5462 Morud;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Havrehedskolen, afd. Morud<br>"
706714;Middelfart V;1;Vestre Skole - Multisalen;410;45;403613;Søndergade 41, 5500 Middelfart;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Vestre Skole - Multisalen<br>"
