kandidat,parti,stemmer
Per Urban Olsen,Konservative,365
Peter Askjær,Konservative,303
Michael Kristensen,Socialdemokratiet,266
Anita E. H. Olesen,Venstre,252
Ulla Holm,SF,198
Helle Hansen,Socialdemokratiet,104
Søren Wiese,Venstre,95
Philipp Cerny,SF,82
Inge Kolind,SF,81
Lene Christensen,Konservative,58
Morten Øster Kristensen,Konservative,45
Robert V. Rasmussen,Socialdemokratiet,44
Carsten Bruun,Venstre,38
Marie Zeeb,Socialdemokratiet,36
Lili Naurholm Nørgaard,Socialdemokratiet,31
Karina Knobelauch,Socialdemokratiet,29
Martin Sørensen,Konservative,24
Anne Grethe Olsen,SF,15
Thomas Lauritzen,Socialdemokratiet,15
Ole Skovbo,SF,14
Anja Guldborg,Venstre,14
Alice Frost Larsen,Konservative,13
Friis Wiese,Venstre,12
Tom Asmussen,Konservative,8
Per Hingel,Konservative,8
Peter Juul,Venstre,8
Deborah Kaplan,SF,7
Flemming Bo Larsen,SF,3
