kandidat,parti,stemmer
"Dejla Mehdi, Aarhus N",Enhedslisten,4
Aase Pedersen,Socialdemokratiet,4
"Benjamin Tvede, Aarhus N",Konservative,4
"Ivan Lauridsen, Christiansbjerg",SF,4
Birthe Sørensen Ahrendt,R,3
"Steen Jørgensen, Brabrand",N,3
"Theis Michelsen Nielsen, Vejlby",Radikale,3
Tayo Lill Andreasen,Socialdemokratiet,3
"Per Guldbrandsen, Christiansbjerg",Enhedslisten,3
"Philip David Dolan Møller, Hasle",Radikale,3
"Kim Lilholt Ruggaard, Aarhus N",Enhedslisten,3
Jørgen Ø. Johnsen,Venstre,3
"Simon Jørgensen, Aarhus V",Danmarksdemokraterne,3
"Krestian Thomsen Bie, Aarhus C",SF,3
George Hinge,Socialdemokratiet,3
"Annemarie Gottlieb, Højbjerg",SF,3
"Lone Degn, Nørrestenbro",Enhedslisten,3
Brian Basse Larsen,R,3
"Morten Sørensen, Hjortshøj",SF,3
"Mads Madsen, Viby",Danmarksdemokraterne,3
Emil Boost,R,3
"Aksel Munch Søndergaard, Aarhus V",SF,3
Michael Krogh Hansen,Socialdemokratiet,2
"Samsam Farah, Aarhus V",Konservative,2
"Michael Høgh, Viby J",Konservative,2
"Mads Dahl Thomsen, Aarhus C",Enhedslisten,2
Mads Amstrup,Venstre,2
Kaj Fischer Holm,Liberal Alliance,2
"Elanur Ersahan, Frederiksbjerg",Enhedslisten,2
Tina Hougaard Møller,P,2
Abdirashid Sheikh,Socialdemokratiet,2
"Leif Sørensen, Aarhus N",Danmarksdemokraterne,2
"Tenna Duch Schaldemose, Aarhus C",Alternativet,2
"Ole Lindeborg Johansen, Solbjerg",Konservative,2
"Joan Frausing, Aarhus K",SF,2
"Eva Pannerup, Tilst",Danmarksdemokraterne,2
Christoffer Fossing Larsen,Dansk Folkeparti,2
"Andrea Mark Jepsen, Aarhus V",Enhedslisten,2
Alina Mirza,Kristendemokraterne,2
Morten Bentholm-Pedersen,Venstre,1
"Claus Vildrik, Trøjborg",Danmarksdemokraterne,1
"Andreas Hjalte Seeberg, Tranbjerg",SF,1
"Jørgen Friis, Skødstrup",Danmarksdemokraterne,1
"Allan Friis, Hjortshøj",Enhedslisten,1
Per B. Nielsen,R,1
Palle B. Rosenkilde,Kristendemokraterne,1
Torben Askholm Pedersen,J,1
Kresten Kjær Sørensen,Socialdemokratiet,1
"Thor C. Jonasen, Trøjborg",Alternativet,1
Jens Jul Nielsen,Kristendemokraterne,1
Robert Møldrup Axelsen,T,1
"Ina Marie Graneberg, Hjortshøj",Enhedslisten,1
"Thomas Thuun Møller, Lystrup",N,0
"Jesper Thomassen, Tranbjerg",N,0
"Agner Madsen, Holmstrup Bakker",N,0
Tharsika Thangarajah,Dansk Folkeparti,0
"Lisbeth Uhd, Midtbyen",Enhedslisten,0
"Niels Kurt Nielsen, Mårslet",N,0
Nicklas N. Stærke,R,0
"Bjarne Thaarup, Harlev",N,0
"Carsten Borup, Beder",Alternativet,0
"Marianne Skytt, Hjortshøj",N,0
"Peter Bach-Nielsen, Christiansbjerg",Radikale,0
Peter Hjortkjær,T,0
"Annbritt Jørgensen, Skæring",SF,0
"Anette Boye Høgholm, Lystrup",N,0
Jonathan Claudius Tengmark,Liberal Alliance,0
"Bent Hansen, Lystrup",N,0
