kandidat,parti,stemmer
Jakob Spliid,Venstre,1973
Anne Madsen,Socialdemokratiet,1624
Eva Flyvholm,Enhedslisten,522
Anja Al-Erhayem,Socialdemokratiet,458
Susanne Borggaard,D,417
Julie Schwartz,Venstre,377
Linda Nielsen,SF,351
Rebecca Broholm-Little,Enhedslisten,346
Anne Grethe Thede,Venstre,317
Ivan Hansen,Socialdemokratiet,296
Edris Qasimi,Radikale,282
Annette Raaschou van der Star,Socialdemokratiet,274
Kasper Nygaard,Moderaterne,265
Morten Rostved,Venstre,233
Bettina Jensen,Socialdemokratiet,224
Ellen H. Thomsen,Dansk Folkeparti,220
Gert Jørgensen,Konservative,186
Jens Jacobsen,Konservative,186
Kåre Spliid,Venstre,175
Nicolai Sandager,Liberal Alliance,174
Finn Sørensen,Dansk Folkeparti,170
Ninna Wiese,Venstre,167
Bente Blanné,SF,165
Samuel Sølling,Socialdemokratiet,150
Karina Skov,Konservative,140
Peter Nygaard,Konservative,139
Søren Sørensen,Konservative,135
Arne Olsen,Danmarksdemokraterne,128
Mona Kelder Bouidar,Socialdemokratiet,123
Lars Schmidt,Konservative,120
Morten Suhr,SF,119
Gustav Aitken,Radikale,115
Henrik Dynesen,Liberal Alliance,109
Gitte Andersen,Danmarksdemokraterne,106
Carsten Petersen,Konservative,101
Inette Vintersfjord,SF,96
Martin Crillesen,Konservative,95
Flemming Kjærgaard,Socialdemokratiet,87
Niels Hilker,SF,84
Gitte Holm-Jensen,Liberal Alliance,83
Magnus Jørgensen,Konservative,82
Jakob Meibom,Socialdemokratiet,82
Stephen Møller Hansen,Konservative,69
Marianne Vinding,Konservative,61
Lotte Schrøder,Radikale,61
Ida Routhe,Enhedslisten,58
Magnus Pharao Hansen,Enhedslisten,55
Peter Heesch,Danmarksdemokraterne,54
Grethe Kistrup Møller,Enhedslisten,49
Lianne Hansen,D,46
Gert Kuhn Iversen,Konservative,44
Søren Sandahl,Enhedslisten,39
Asger Jørnow,Moderaterne,35
Arne Juel Jensen,SF,30
Eva Sell,Konservative,29
Henrik Skovhave,Socialdemokratiet,27
Flemming Olsen,Venstre,26
Dave Crossey,Venstre,25
Malene Munkebo Jauer,Konservative,25
Birgitte Hansen,Venstre,24
Hans Jørgen Niewald,Socialdemokratiet,24
Søren Gotfredsen,Moderaterne,24
S. Kragh,Liberal Alliance,23
Mike Kristensen,Liberal Alliance,23
Nicolai Pedersen,Liberal Alliance,22
Jan Månsson,Socialdemokratiet,22
Anne Melillo,SF,21
Sanne Lessèl-Wigh,Konservative,20
Betina Andersen,Moderaterne,20
Rune Jordan,Venstre,19
Kenneth Erichsen,Moderaterne,17
Pia Hvid,Venstre,17
Thomas Fabricius,SF,16
Bjarke Friborg,Enhedslisten,16
Iben Røstbjærg Kullberg,L,15
Mogens Hansen,Venstre,14
Jørgen Larsen,Moderaterne,14
Line Vind,Moderaterne,14
Henrik Egede,Konservative,13
Kurt Løvlund Pedersen,Radikale,13
Erik Danskov Frederiksen,Venstre,13
Karsten Hallø,D,11
Rolf Clausen,Moderaterne,10
Erik Lindsø,Radikale,9
Jakob Nørgaard,Liberal Alliance,9
Jørgen Funk,D,8
Jens Nygaard,Moderaterne,8
Lars Diernæs,SF,8
Jesper Danhøj,Konservative,6
Jens Jørgen Hansen,SF,6
Niels-Erik Eich,Enhedslisten,5
Dennis Gartig,Socialdemokratiet,5
Henrik Rasmussen,SF,5
Jan Woollhead,Radikale,3
Michael Torp,SF,2
