kandidat,parti,stemmer
"Ronni Lykkehus, Vordingborg",Venstre,82
Mikael Smed,Socialdemokratiet,69
"Karina Foss, Møn",Venstre,59
"Kasper Borg, Møn",SF,57
"Michael Seiding Larsen, Vordingborg",Venstre,44
Kenneth Andersen,Socialdemokratiet,24
"Martin Graff Jørgensen, Bogø",SF,23
Søren Hansen,Dansk Folkeparti,23
Brit Skovgaard,Socialdemokratiet,16
Glenn Hansen,Danmarksdemokraterne,15
"Jeanette Wentzel, Stege",L,13
Morten Hjort,Enhedslisten,13
"Thomas Stecher, Stege",Moderaterne,12
"Julie Meyer Memborg, Møn",Liberal Alliance,11
"Christina Mayland, Møn",Radikale,11
Kirsten Fahnøe,Enhedslisten,9
"Lars Blach Jensen, Stege",Moderaterne,8
Søren Clausen,Dansk Folkeparti,8
Eva Birch Christensen,Enhedslisten,8
"Jakob Helles, Præstø",Liberal Alliance,8
"Thomas Damgaard, Møn",Venstre,7
Rasmus Oxfeldt Larsen,Socialdemokratiet,6
"Peter Ole Sørensen, Præstø",Venstre,6
"Daniel Irvold, Lundby",Radikale,5
"Lis Due Rasmussen, Møn",Konservative,5
"Gitte Corell, Vordingborg",SF,5
Bent Jørgensen,Enhedslisten,5
Carsten Wärme,E,4
Kim Larsen,Dansk Folkeparti,4
Per Stig Sørensen,Danmarksdemokraterne,3
"Claus Bakke, Nyråd",Venstre,3
"Tom Nielsen, Stege",L,3
Jacob Kamper,Socialdemokratiet,3
Bodil Morgenstern,Enhedslisten,3
"Helle Jørgensen, Stensved",L,3
Svend Andersen,Danmarksdemokraterne,2
Anders J. Andersen,Socialdemokratiet,2
"Troels Dyhr Leighton, Bogø By",Liberal Alliance,2
"Anne-Marie Jacobsen, Vordingborg",Venstre,2
Ida Holst,Enhedslisten,2
"Jens Christian Børsmose, Vordingborg",Konservative,2
"Marck Crillesen, Stege",L,2
Lise Bjerre Zachosine,Socialdemokratiet,2
"Marie Lenstrup, Præstø",SF,2
"Karin O. Jørgensen, Ørslev",SF,2
"Jesper Adler, Vordingborg",Konservative,2
Brian Willum Petersen,Enhedslisten,1
"Gertrud Møgelgaard Dühring, Vordingborg",SF,1
"Karina Fromberg, Præstø",Venstre,1
Vibeke Andresen,Enhedslisten,1
Winni Bente Birch,Dansk Folkeparti,1
"Camilla Westengen Bro, Vordingborg",Liberal Alliance,1
Helle Nørregaard,Enhedslisten,1
Kim Steen Jørgensen,Dansk Folkeparti,1
Kim Suhr,Socialdemokratiet,1
"Kim Ingemann Erichsen, Vordingborg",Radikale,1
"Torben Folke Månsson, Kalvehave",Moderaterne,1
"Karsten Sevel, Bogø",Konservative,1
"Laurits Monefeldt, Vordingborg",Konservative,1
Bjarne Malmros,Socialdemokratiet,1
Joan Baltzersen,Dansk Folkeparti,1
Peter Larsen,Enhedslisten,1
"Nicholas Kobborg Andersen, Vordingborg",Liberal Alliance,1
Nikolaj W. Reichel,Socialdemokratiet,1
"Per Lorenz Hinrichsen, Vordingborg",Konservative,1
Nina Schrøder,E,0
Lukas Lykke Rasmussen,Enhedslisten,0
"Niels-Henrik Holscher, Vordingborg",Konservative,0
"Linda Sommer Hansen, Langebæk",Konservative,0
"Tobias Thumand Trige-Rasmussen, Nyråd",Konservative,0
"Annette Bergiel Andersen, Ore",Venstre,0
"Emil Roest, Vordingborg",Moderaterne,0
Louise Herløv,Socialdemokratiet,0
"Claus Jørgensen, Stensved",L,0
"Lars Bakke Olsen, Askeby",Radikale,0
Jens Ravn,Socialdemokratiet,0
"Jens Frode Fogt, Vordingborg",Venstre,0
"Kristina Themsen, Bårse",Venstre,0
Kurt Johansen,Socialdemokratiet,0
"Erik Olsen, Ørslev",Konservative,0
"Palle Olsen, Nyråd",Konservative,0
"Lena Schroll, Vordingborg",SF,0
Palle Eghjort,Enhedslisten,0
Lasse Sørensen,Dansk Folkeparti,0
"Alex Mortensen, Stege",L,0
"Lars Skov Andersen, Fanefjord",Konservative,0
Peer Pedersen,Dansk Folkeparti,0
Jens-Peter Hansen,Socialdemokratiet,0
Johnny Birch,Dansk Folkeparti,0
"Jørn Rasmussen, Vordingborg",L,0
Flemming Hansen,Danmarksdemokraterne,0
"Dorte Mikkelsen, Stege",L,0
"Max S. Andersen, Vordingborg",Venstre,0
"Henrik Ægidius, Stege",SF,0
"Holger H. Christensen, Præstø",L,0
"Stefan Brixtofte, Stensved",Venstre,0
Falle Hjorth,Enhedslisten,0
"Stine Beck Petersen, Vordingborg",Liberal Alliance,0
Michael Larsen,Socialdemokratiet,0
Anita Høgh Lundahl,Dansk Folkeparti,0
"Carsten Nøhr Larsen, Kalvehave",Radikale,0
"Karsten Sommer Hansen, Langebæk",Konservative,0
"Rasmus Kallegård, Vordingborg",SF,0
"Rasmus Evind, Bogø",Liberal Alliance,0
"Rasmus Cramon Parling, Nyråd",Liberal Alliance,0
"Rasmus Lorentzen, Vordingborg",Venstre,0
Henriette Fentz Leithoff,Socialdemokratiet,0
"Susanne Nøhr Johnsen, Ore",Konservative,0
Jan Ambirk,Enhedslisten,0
Morten Thornelius,Socialdemokratiet,0
Carina Flink,Socialdemokratiet,0
"Nickolai Jørgensen, Vordingborg",Liberal Alliance,0
