kandidat,parti,stemmer
Morten Slotved,Konservative,1512
Ann Lindhardt,Venstre,1013
Anne Ehrenreich,E,663
Maj Allin Thorup,Konservative,582
Charlotte Kirchheiner,Konservative,474
Thorkild Gruelund,Frie Grønne,457
Bent Christensen,Liberal Alliance,435
Marcus Guldager,Socialdemokratiet,426
Stine Pagh,Radikale,400
Louise Zabel,SF,365
Maria Dahl,Liberal Alliance,322
Emilie U. Andersen-Ranberg,Radikale,291
Ole Wessung,Konservative,287
Caroline Victoria Christensen,Socialdemokratiet,252
Joachim Boldsen,Konservative,245
Henrik Klitgaard,T,242
Annette Wiencken,Konservative,235
Fie Smith,Venstre,227
Mathias Westen,Liberal Alliance,180
Dorte Holst,Venstre,127
Jesper Sperling,Venstre,125
Thomas Madsen,Venstre,122
Esben Dyekjær,Konservative,120
Otto B. Christiansen,Konservative,108
Nina Brask,T,106
Tomas Dyrbye,Konservative,104
Pernille Schnoor,Moderaterne,97
Søren Øverup,Konservative,88
Katja Elberg,Radikale,81
Peter Antonsen,T,67
Lars Frederik Thalbitzer,Venstre,65
Erik Bryld,T,63
Christian Wikström,Venstre,62
Steffen Brygger Lund,Konservative,58
Peter M. Brandi,Konservative,58
Karsten Eckert,Liberal Alliance,57
Siem Gebreslase,Venstre,54
Henrik Drachmann Kolding,Liberal Alliance,52
Svend Erik Christiansen,Socialdemokratiet,51
Jes Holm,Liberal Alliance,51
Nadja Maria Hageskov,T,48
Stine Darmer,Liberal Alliance,44
Ib Tune Olsen,SF,44
Jan Mauritzen,SF,38
Mogens Buch-Larsen,Frie Grønne,37
Liva Nørskov Heller,Venstre,37
Dickte Noël Toft,Socialdemokratiet,35
Hanne Bay Holm,Venstre,34
Gitte Sornn-Friese,Frie Grønne,31
Olena Duus,Socialdemokratiet,31
Julie Hausner Secher,Radikale,28
Per Østergaard Jacobsen,E,28
Thomas Aaby Wichers,Konservative,28
Dorthe Bajon,Venstre,27
Peter Agger,Konservative,25
Sarah Dal Hansen,T,24
Henrik Bjørkman,Venstre,23
Hans Laugesen,Radikale,20
Erik Rosenkrantz Fuglsang,Venstre,20
Mads Møller Andersen,Radikale,20
Frida Alexandra Søgård,Konservative,20
Hanne Kaae,T,19
Christoffer Henriksen,Frie Grønne,18
Lisa Walther Holm,Liberal Alliance,18
Ib Lunde,L,17
Bo Johansen,T,16
Jørgen Eirfeldt,Venstre,14
Vibeke Hindsberg,Frie Grønne,11
Michael Carlsen,T,11
Birgitte Krag,T,9
Annie Rastrup,Frie Grønne,9
Mika Torsten Bärlund,Socialdemokratiet,9
Jacob Schulze,Venstre,8
Lone Sønderbo,Venstre,6
Charlotte Skadhauge,Radikale,6
Tom Rytkjær,Venstre,6
Nicklas Spånberg,Moderaterne,5
Ella Andersen,Frie Grønne,4
Erik Andersen,Frie Grønne,4
Niels Hass,Frie Grønne,4
Erik Wetche,Venstre,3
Anders Kinnerup,Frie Grønne,2
