kandidat,parti,stemmer
"Bent Kloster, Over Jerstal",Venstre,312
"Klara Steenholdt, Bevtoft",Danmarksdemokraterne,144
Marie Skødt,Socialdemokratiet,121
"Mads Skau, Hammelev",Venstre,118
"Inga Lykke, Moltrup",Venstre,98
"Michael Fleischer, Bevtoft",Venstre,84
Josephine Alstrup Kofod,Dansk Folkeparti,65
Jon Krongaard,Dansk Folkeparti,57
"Peter Skau, Vojens",Venstre,41
"Kjeld Thrane, Haderslev",Konservative,37
"Tor Herløv Reinert, Over Jerstal",Konservative,36
"Holger Mikkelsen, Simmersted",Liberal Alliance,29
"Leif Storgaard Pedersen, Haderslev",SF,27
Cecilie Haaland,Socialdemokratiet,22
Finn Lykkeskov,Socialdemokratiet,22
"Malene Ravn Neumann, Sdr. Vilstrup",Danmarksdemokraterne,22
"Paul Erik Planitzer, Sommersted",Kristendemokraterne,20
Jakob Vindel Duedahl,Radikale,20
"Jens Friis Felber, Vojens",Venstre,18
"Signe Knappe, Gram",Venstre,18
"Helle Have, Haderslev",Liberal Alliance,18
"Allan S. Rasmussen, Aarø",Danmarksdemokraterne,17
"Jette Jacobsen, Sommersted",Venstre,16
"Morten Breum, Øsby",Venstre,15
Bo Morthorst Rasmussen,Socialdemokratiet,15
"Tina Rosenkilde, Vojens",Konservative,14
"Svend Brandt, Haderslev",Enhedslisten,14
"Carsten Leth Schmidt, Sønderballe",Slesvigsk Parti,13
Rune Højer,Dansk Folkeparti,13
"Hanne Pedersen, Haderslev",SF,13
Sønnik Norup Olesen,Socialdemokratiet,12
"Helene Hellesøe Appel, Haderslev",Enhedslisten,12
"Lene Wildfang, Haderslev",SF,11
Anita Brandorff,Socialdemokratiet,11
Julie Juhler Østergaard,Socialdemokratiet,11
"Carsten Dyhre Hansen, Aarøsund",Danmarksdemokraterne,11
"Jens Asmussen, Haderslev",Konservative,11
"Jannie Bertz, Haderslev",SF,10
"Henrik Mielke Ravn, Sydbyen, Haderslev",Danmarksdemokraterne,10
Maria Glinvad Damgaard,Socialdemokratiet,10
"Lene Bitsch Bierbaum, Vojens",Venstre,10
"Asger Kristensen, Fole",Venstre,7
"Brian Gellert, Haderslev",Liberal Alliance,7
"Keld Valentin, Haderslev",Venstre,7
"Vera Esmann Bonde, Hjartbro",SF,6
Thies Mathiasen,Dansk Folkeparti,6
Kristina Heiden,Radikale,6
Thomas Vester Clausen,Socialdemokratiet,6
"Jannie Boysen Westergaard, Hoptrup",Konservative,6
"Frank Truelsen, Øsby",SF,6
Mikael Winther,Alternativet,6
"Søs Junker, Errested",Liberal Alliance,5
Alex Bødiker,Socialdemokratiet,5
"Camilla Selena Sørensen, Haderslev",SF,5
"Jesper Falkenløve, Vedsted",Liberal Alliance,5
"Anna Lea Leth Schmidt, Sønderballe",Slesvigsk Parti,5
"Christian ""Kedde"" Schulz",Socialdemokratiet,5
"Malene Lund Pedersen, Øsby",Venstre,4
"Thomas Vedsted, Gram",Liberal Alliance,4
"Egon Høst Greve, Starup",Konservative,4
Brian M. Lange,Dansk Folkeparti,4
"Mathias D. Christiansen, Haderslev Syd",Enhedslisten,4
Claus Gumprecht,Dansk Folkeparti,4
"Alexander Poder, Haderslev",Liberal Alliance,4
"Kais Shouker, Haderslev",Venstre,4
"Thomas Fredsted, Hammelev",Venstre,3
"Eliska Hansen, Sommersted",Slesvigsk Parti,3
Preben Lind,D,3
"Berit Dichow, Haderslev",Konservative,3
