kandidat,parti,stemmer
"Christoffer Lorenzen, Hillerød Midtby",Konservative,2907
Kirsten Jensen,Socialdemokratiet,2068
"Søren Lerche, Tulstrup",SF,1305
Annette Rieva,Venstre,1195
Thomas Elong,Moderaterne,1161
"Monika Skadborg, Hillerød Øst",SF,642
"Christina Thorholm, Nødebo",Radikale,611
Øzgen Yücel,Venstre,595
Tue Tortzen,Enhedslisten,567
Jette Juul,Dansk Folkeparti,557
"Lars Elbrandt, Hillerød Midtby",SF,555
Martin Hækkerup,Socialdemokratiet,417
Metin Deniz,Socialdemokratiet,385
Lars Ole Skovgaard Larsen,Danmarksdemokraterne,382
Dan Riise,Venstre,364
"Charlotte Sørensen, Gørløse",Konservative,344
Hanne Kirkegaard,Venstre,336
Mathias Skarby,Liberal Alliance,330
"Mads Munk Hansen, Hillerød Øst",SF,329
"Janne Lunding Olsen, Hillerød Øst",SF,327
"Morten Meldgaard, Skævinge",Konservative,319
Susanne Due Kristensen,Socialdemokratiet,309
Ole Roed,Liberal Alliance,283
"Stine Østlund, Hillerød Øst",Konservative,271
"Frederik Brix Pedersen, Hammersholt",SF,271
"Manuel Vigilius, Hillerød Midtby",Konservative,266
Louise Colding,Socialdemokratiet,239
"Jørgen Suhr, Hillerød Vest",Radikale,211
Thomas Brücker,Socialdemokratiet,202
Morten Bille,Venstre,199
"Henriette Fosselius, Hillerød Øst",SF,188
Henrik Jørgensen,Moderaterne,184
"Peter Ingemann Bentsen, Hillerød Midtby",Konservative,162
"Henriette Døssing, Hillerød Midtby",Konservative,150
"Stefan Stormskjold Madsen, Hillerød Øst",Konservative,139
"Joachim Hjorting, Ullerød",Konservative,135
"Rikke Macholm, Hillerød Midtby",SF,129
Kristian Blaabjerg Spangsbo,Enhedslisten,125
Anders Gilberg,Liberal Alliance,122
"Louise Lund, Hillerød Midtby",Konservative,109
Vivi Wøldike,Socialdemokratiet,109
Elisabeth Stieper Tofte,Liberal Alliance,108
Hans Christian Nordahl,Liberal Alliance,107
Dorte Aalholt,Venstre,106
Jens Wittrock,Dansk Folkeparti,97
"Martin Mackeprang Vinther, Brødeskov",Konservative,96
"Jonas Lyberg Kofod, Ullerød",Konservative,94
Anette Bang Hendry,Moderaterne,92
Nanna Kjær,Socialdemokratiet,89
Inge Helle Hansen,Socialdemokratiet,88
Lars Schmidt,Moderaterne,87
"Signe Driefer, Hillerød Øst",Radikale,81
Sabrina Bach Meldgaard,Moderaterne,81
Christian Bojer Jørgensen,Venstre,79
"Christine Mardov-Skaaning, Hillerød Midtby",Konservative,77
"Christian Taagehøj, Hillerød Midtby",SF,74
Carsten Hempel-Hansen,Danmarksdemokraterne,72
Oliver Nøglebæk,Enhedslisten,67
Tonny Hulvej,Socialdemokratiet,60
"Brian Nedergaard, Tulstrup",Konservative,42
Pernille Breivik,Venstre,41
"Laila Dall, Hillerød Midtby",SF,41
"Anders Theisen, Strø",Konservative,40
"Peter Wang Langer, Hillerød Midtby",SF,40
"Ole Steen Lintrup, Hillerød C",Radikale,35
Gunde Odgaard,Socialdemokratiet,34
"Carsten Adsersen, Hillerød Vest",Radikale,32
Ole Stark,Venstre,32
"Anne Lintrup, Hillerød C",Radikale,30
"Marcus Sieverts, Hillerød Midtby",Konservative,30
Søren Kristensen,Socialdemokratiet,29
"Lars W. Hansen, Hillerød Midtby",Konservative,29
"Flemming Thornæs, Gadevang",SF,29
Ulla Hansen,Venstre,23
Malte Valentin Rieva,Venstre,20
"Mette Grønvaldt, Hillerød Øst",Radikale,20
Bjarne Holm,Kristendemokraterne,13
"Henning von Hauen, Freerslev",Konservative,12
"Charlotte H. Kaufmanas, Hillerød Øst",Radikale,12
Mathias Jensen,Venstre,11
"Henrik Forsberg, Hillerød Øst",Konservative,10
"Erik Sejrup, Store Lyngby",SF,10
Martin Plambæk,Liberal Alliance,10
Torben Rønne Petersen,Venstre,10
Jens Græsted,Socialdemokratiet,9
Ove Ferrini Lundgren,Venstre,7
Nadja Nordmaj,Venstre,7
Peter Lennø,Venstre,7
"Niels Bang-Ebbestrup, Holmene",Konservative,4
Per Gjesing,Venstre,1
