kandidat,parti,stemmer
Peter Rahbæk Juel,Socialdemokratiet,16208
Lars Christian Lilleholt,Venstre,7026
Brian Dybro,SF,3117
Anne Skau Styrishave,Radikale,3016
Søren Windell,Konservative,2706
Araz Khan,Liberal Alliance,2322
Signe Vedersø Keldorff,Dansk Folkeparti,1996
Marlene Ambo-Rasmussen,Venstre,1919
Mark Grossmann,Venstre,1279
Mads Thomsen,Socialdemokratiet,1275
Muuse Cali,Radikale,1261
Sofie Mosgaard,Venstre,1261
Mette Skaarup,Enhedslisten,1162
Roya Moore,Konservative,1064
Ditte Helene Rasmussen,SF,1037
Tommy Hummelmose,Konservative,974
Claus Skjoldborg,Socialdemokratiet,944
Claus Houden,Venstre,851
Katrine Wulff,SF,790
Reza Javid,Enhedslisten,789
Helle Raun Oddershede,Socialdemokratiet,741
Carsten Sørensen,Dansk Folkeparti,740
Joachim Hoffmann,Konservative,719
Jørn Jønke Nielsen,G,704
Jeppe Larsen,Socialdemokratiet,624
Michael Eskamp Witek,Socialdemokratiet,596
Tim Vermund Andersen,Socialdemokratiet,593
Dion Christoffersen,Danmarksdemokraterne,583
Niclas Turan Kandemir,Socialdemokratiet,561
Nitasha Dahlstrøm,Socialdemokratiet,549
Anne Fabricius,Socialdemokratiet,544
Tore Vilhelmsen,Radikale,534
Sanne Skougaard Andersen,Venstre,533
Carsten Kringelum Duus,Socialdemokratiet,528
Laura Elise Andersen-Mühl,SF,521
Anne-Mette Ebensgaard,Socialdemokratiet,517
Julie Bruus Jensen,Venstre,477
Andreas Møller,Moderaterne,475
Andrea Christoffersen,Konservative,473
Meho Selman,Socialdemokratiet,450
Omar El-Rifai,Socialdemokratiet,437
Rune Hartung,Konservative,432
Rasmus Ryrberg Høyer,Socialdemokratiet,392
John Hoppe,Konservative,390
Victoria Bøgh Salo,Enhedslisten,387
Vladimir Stanic,Konservative,383
Abdirashid Abdi,SF,381
Peter Jacobsen,Konservative,375
Mads Graves Larsen,Venstre,367
Rikke Lock,Socialdemokratiet,348
Sofie Dong Moreno,Socialdemokratiet,342
Peter Isaksen,Socialdemokratiet,335
Caroline Amena Lauritsen,Venstre,318
Abdinoor Adam Hassan,Moderaterne,307
Kim Lei-Jensen,Radikale,307
Benedicte Wilson,Radikale,305
Sidsel Bak,Enhedslisten,304
Nicolai Busch Bæhrenz,Venstre,301
Julie Skov Kjærby,Konservative,279
Jacob Uglebjerg,U,267
Christiane Falke,Liberal Alliance,251
Anna Katrine Leth Rehn,SF,242
Peter Thomasen,Liberal Alliance,222
Betina Møldrup Ringsted,Danmarksdemokraterne,218
Maria Falk Røjsmose,Moderaterne,212
Nicklas Askerod,SF,211
Ahmad Mansoor,Frie Grønne,207
Ann-Sophie Christensen,Alternativet,204
Jacob Holm,Alternativet,199
Martin Lissner,Liberal Alliance,193
Karsten Fogde,SF,192
Lærke Lysdal,Radikale,185
Jakob Cemik,Radikale,177
Morten Jensen,SF,171
Morten Nedergaard,Konservative,171
Thure Krarup,SF,165
Tonny Vest,Liberal Alliance,162
Søren Aahman,Liberal Alliance,159
Sofie Frederiksen,Enhedslisten,153
Torsten Ringgaard,Enhedslisten,151
Arne Bo Nissen,Danmarksdemokraterne,150
Kristoffer Dyrvig,Konservative,147
Hjalte Vinter,Socialdemokratiet,147
Nazim Gürkan,Socialdemokratiet,146
Nichlas Flintholm Madsen,Dansk Folkeparti,145
Per Rasmussen,Venstre,145
Henrik Verner Andersen,Konservative,137
Kim Skjoldborg,L,132
Natascha Knudsen,Enhedslisten,131
Simon Nyborg Jensen,Alternativet,131
Anders Kirkeby,Liberal Alliance,130
Ib Haahr,Venstre,127
Lucas Tanski,Liberal Alliance,122
Maria Dalum,Alternativet,120
Søren Bersang,Venstre,118
Benjamin Pedersen,Liberal Alliance,116
Smita Salagare,Moderaterne,114
Mads Reiflin Johannessen,Venstre,113
Mathilde Frank,Moderaterne,112
Casper Bach Andersen,Socialdemokratiet,109
Jan Grau,Dansk Folkeparti,106
Maria Marinovic,G,105
Dagmar Andersen,Socialdemokratiet,102
Jonas H. Petersen,Moderaterne,100
Søren Freiesleben,Enhedslisten,100
Jonas Richardt Hansen,Venstre,93
Martin Lindberg Laursen,SF,91
Thomas Skov Jensen,Enhedslisten,90
Christian I. Jacobsen,Enhedslisten,90
Peter Dalsgaard Japa,SF,89
Erik Simonsen,Konservative,85
Preben Dixen,Konservative,85
Nicklas Langer,Socialdemokratiet,85
L. Maeve Ivan Althof,Enhedslisten,83
Kim Nilum,Venstre,82
Kristian Roe-Holst,L,75
Evis Sadikaj,Moderaterne,74
Katrine Mønsted Poulsen,Konservative,73
Finn Hartvig Nielsen,Radikale,71
Brian Lauridsen,Venstre,68
Birgitte Vinsten,SF,66
Henrik Wenckell,Konservative,65
Jakob Faber Hartig,Venstre,64
Bent Conradsen,Danmarksdemokraterne,64
Emil Sommer,Liberal Alliance,64
Erik Ravn Nielsen,Radikale,62
Bente Nesting Hviid,Radikale,60
Kim S. Frederiksen,Enhedslisten,59
Nikolaj D. Larsen,Radikale,59
Zeb Meier Watz,Radikale,57
Cecilie Haug,L,56
Iulian Lucau,Moderaterne,56
Karsten Kjærby,Konservative,55
