kandidat,parti,stemmer
Clara Rao,Venstre,2075
Jørgen Johansen,Konservative,1348
Emil Andersen,Enhedslisten,686
Miki Dam Larsen,Socialdemokratiet,598
Signe Schløer,SF,499
Eric Lerdrup Bourgois,Konservative,468
Lisbeth Skov,Venstre,391
Anders Frydenberg,SF,366
Tune Revsgaard Nielsen,SF,357
Michael Nørregaard,Venstre,324
Merete Them Kjølholm,Radikale,305
Esben Buchwald,Venstre,282
Lars Bech-Jørgensen,Venstre,260
Anders Glümer,Venstre,227
Lars Bacher,Konservative,211
Amanda Egerod Lund,Konservative,195
Mads Tandrup,Konservative,192
René Nicklas Wendt,Konservative,179
Fillippa Gottlieb,Liberal Alliance,178
Vibeke Højbjerg,Socialdemokratiet,164
Theodore Gbouable,Socialdemokratiet,164
Maria Tørnsø Østergaard,Venstre,159
Alexander W. Yttesen,Venstre,146
Alice Silkjær,Socialdemokratiet,127
Sally Dorthea Fischer,Enhedslisten,127
Thomas Frisch,Moderaterne,126
Søsser Grønnegård,Dansk Folkeparti,124
Susanne Karlsson,Venstre,119
Leif Johansen,Konservative,112
Jytte Agerup,Radikale,106
Mikkel Aagaard,Enhedslisten,99
Line Rasmussen,Konservative,98
Christian Hauge Lundgaard,Liberal Alliance,89
Nina Madsen,SF,81
Johnnie Kristensen,Dansk Folkeparti,78
Steffen Leth Møller,Liberal Alliance,67
Anne Lise Rostgaard Schmidt,Enhedslisten,63
Torbjørn Barfod,Moderaterne,59
Niels Christian Dahl,Socialdemokratiet,56
Jytte Garnov,Socialdemokratiet,53
Kim Holmstrøm,Konservative,49
Camilla Damm-Frydenberg,SF,46
Mette Skovgaard,Venstre,44
Johnny Lehmann,U,41
Morten Birkelund,Venstre,38
J. Preben Morth,Venstre,38
Vibeke Arndt Skak Jensen,Radikale,37
Jean Thomsen,Venstre,35
Kurt Koudahl Petersen,SF,32
Jacob Bach Meldal,Venstre,32
Birgit Skovmand,Radikale,30
Janne Kristensen,Dansk Folkeparti,29
Flemming Bo Petersen,Socialdemokratiet,29
Daniel Nielsen,Venstre,27
Betina Christensen,U,27
Niels Kirkegaard,Venstre,24
Aein Jebelli,Konservative,15
Christian Bartels Kastrup,Konservative,11
Casper Bech Nielsen,Moderaterne,7
Flemming Langhans,SF,5
Mads-Emil Falk,Enhedslisten,4
Helle Kramp,Venstre,4
Jakob Rasmussen,Konservative,3
Anne-Marie Langhans,SF,3
Maj-Britt Frisch,Moderaterne,2
