kandidat,parti,stemmer
Michael Tøgersen,Liberal Alliance,2334
Anne Sofie Uhrskov,Venstre,2046
Tina Tving Stauning,Socialdemokratiet,1251
Inge Messerschmidt,Dansk Folkeparti,1249
Anna Poulsen,SF,1174
Jørgen Bech,Venstre,905
Hans Andersen,Venstre,610
Charlotte Drue,Liberal Alliance,516
Kenneth Jensen,Socialdemokratiet,500
Niels Martin Viuff,Konservative,427
Chelle Lilly Albøge,Liberal Alliance,405
Susanne Bettina Jørgensen,Socialdemokratiet,404
Gert Løfgren,Dansk Folkeparti,383
Therese Hejnfelt,Konservative,342
Rasmus Petersen,Enhedslisten,325
Jeanette Hassel,Konservative,323
Anne-Lise Kuhre,Socialdemokratiet,320
Daniel Drefeld,Konservative,312
Jesper Wittenburg,Socialdemokratiet,308
John Schmidt Andersen,Venstre,297
Janne Elsborg,SF,288
Maibritt Møller Nielsen,Danmarksdemokraterne,275
Senol Kahraman,Socialdemokratiet,246
Ali Moussa,SF,237
Lars Jepsen,Socialdemokratiet,220
Stephan Stauersbøl,SF,192
Tobias Daniel Isaksson,Liberal Alliance,191
Casper Harild-Ankersen,Socialdemokratiet,182
Søren Weimann,Radikale,179
Niels Offersen,Liberal Alliance,170
Kaja Jacobsen,SF,169
Ludvig Wittrup,Alternativet,158
Marcus Appel,Liberal Alliance,155
Anja Bisp Pedersen,Socialdemokratiet,153
Jonas Brandt,Konservative,139
Jens Jørgensen,Venstre,131
Christina Maria Petersen,Alternativet,130
Ole Frimann Hansen,SF,127
Charlotte Krag Clausen,Venstre,127
Ulrik Goos Iversen,Enhedslisten,125
Thomas Hansen,Radikale,124
Heidi Jørgensen,Dansk Folkeparti,120
Bjørn Rasmussen,Socialdemokratiet,120
Maria Katarina Nielsen,Radikale,116
Monica Neumann,Dansk Folkeparti,116
Morten Skjelmose,Venstre,116
Sanne Johansen,Socialdemokratiet,113
Stephen Mose Aaskov,Moderaterne,101
Anders Madsen,SF,98
Kim Bromberg,Radikale,83
Magni Cederholm,Socialdemokratiet,83
Anne-Mette Worch,Venstre,82
Henrik Winther Nielsen,Konservative,76
Susanne Waltenburg,Venstre,65
Marianne Porsborg,Liberal Alliance,64
Jens Ross Andersen,Danmarksdemokraterne,61
Tom Lysgaard,Venstre,60
Nathalie Wonsild,Danmarksdemokraterne,60
Simon Errild,Liberal Alliance,56
Hasse Kristensen,Liberal Alliance,54
Michael Grønbech,SF,47
Jess Lykke Christensen,Dansk Folkeparti,44
Lise Lotte Due,Venstre,42
Nicolai Pandorff,Konservative,37
Thomas Bech,W,33
Kjartan Witt,Radikale,25
Merete Nielsen,Danmarksdemokraterne,24
Berit Stehr,Dansk Folkeparti,23
Andreas Brøsen,Dansk Folkeparti,21
Tine Bergmann,Liberal Alliance,19
Lisbet Jensen,Venstre,19
Maja O. Becker,Liberal Alliance,14
Mikkel Johansen,Venstre,13
Michael Kirkedal,Liberal Alliance,13
Asbjørn Laurberg,Radikale,8
Susan Salk,Liberal Alliance,8
Brian Klarskov,Liberal Alliance,6
Thomas Sander Hansen,Radikale,6
