kandidat,parti,stemmer
"Ulla Vestergaard, Thisted",Socialdemokratiet,1762
"Torben Overgaard, Snedsted",Konservative,1012
"Peter Larsen, Thisted",Liberal Alliance,911
"Kamilla Kjeldgaard Futtrup, Snedsted",Enhedslisten,828
"Jens Tilma, Lild",Konservative,809
"Ida Pedersen, Hanstholm",Socialdemokratiet,750
"Casper Søe-Larsen, Nors",Liberal Alliance,733
Dorrit Kærgaard,Danmarksdemokraterne,680
Niels Jørgen Pedersen,Venstre,663
Morten Bo Bertelsen,SF,632
Ib Poulsen,Dansk Folkeparti,599
"Nicolai Møller, Sennels",Liberal Alliance,507
Mette Kjærulff,Venstre,487
Søren Riisgaard,Radikale,435
"Merete Hansen, Koldby",Socialdemokratiet,427
"Lukas L. Leszczynski, Hanstholm",Liberal Alliance,395
"Jens Kr. Yde, Vestervig",Konservative,377
"John Jensen, Hurup",Konservative,366
Preben Dahlgaard,Venstre,355
Martin Dommerby,Venstre,328
Annika Kanstrup,Venstre,315
Lars Westergaard,Danmarksdemokraterne,310
"Susanne Olander, Vorupør",Socialdemokratiet,283
"Peter Skriver Nielsen, Hurup Thy",Socialdemokratiet,279
Brian Nielsen,T,257
"Jan Fink Mejlgaard, Thisted",Socialdemokratiet,250
"Peter Uno Andersen, Thisted",Socialdemokratiet,239
Per Kappel,Venstre,229
"Henning Holm, Hurup Thy",Socialdemokratiet,223
"Per Skovmose, Hanstholm",Konservative,208
"Lene Brix Kjelgaard Jensen, Thisted",Konservative,203
"Pia Elkær, Koldby",Konservative,196
Søren Zohnesen,Venstre,189
"Jane Rishøj, Hannæs",Socialdemokratiet,184
"Claus Nybo, Vestervig",Socialdemokratiet,179
Sigurd Skovborg,Venstre,177
Henrik Gregersen,Venstre,168
Kenneth Bjerregaard,Venstre,158
Kristian Tilsted,Venstre,154
Nina Røntved Krog,Danmarksdemokraterne,149
"Preben Holler, Klitmøller",Socialdemokratiet,148
Alice Krabbe,Venstre,131
Else-Marie Overgaard Holmenes,Venstre,131
Jørgen Andersen,Venstre,108
Thorkild Olesen,SF,106
"Morten Josefsen, Vestervig",Socialdemokratiet,102
"Dennis Stüker, Skovsted",Socialdemokratiet,102
"Maria Nielsen, Thisted",Liberal Alliance,94
Steffen Krog,Danmarksdemokraterne,94
"Brian Skafsgaard Thinggaard, Snedsted",Socialdemokratiet,86
"Alex Klein, Thisted",Konservative,86
Keren Familia Christensen,Venstre,84
"Berit Raldin, Tilsted",Enhedslisten,84
"Christian Højberg, Hillerslev",Liberal Alliance,82
"Michael Riber Jørgensen, Thisted",Enhedslisten,75
Martin Ø. Andersen,Dansk Folkeparti,71
Dan Højbak Kristensen,Dansk Folkeparti,68
"Dorthe Pedersen, Sundby Thy",Konservative,63
"Khaled Ahmadi, Thisted",Socialdemokratiet,60
Johannes Kristensen,Venstre,57
"Damian Hartvig Mathiesen, Thisted",Enhedslisten,51
Michael Nørgaard,SF,51
Catherine Lønholdt,SF,50
"Michael Højbjerg, Thisted",Socialdemokratiet,49
Lone Olsen,SF,48
"Svend Erik Jensen, Thisted",Socialdemokratiet,46
"Leo Jørgensen, Hundborg",Liberal Alliance,40
"Gitte Søe-Larsen, Nors",Liberal Alliance,38
Lasse Kristensen,T,38
Sanne Lauridsen,Dansk Folkeparti,37
"Brian Højer Nordstrøm, Tilsted",Konservative,37
Flemming W. Nielsen,Dansk Folkeparti,35
Helle Kjærgaard,Radikale,32
Gert Tidemann,T,31
"Michael Søe, Tvorup",Liberal Alliance,30
"Gitte Kroll, Skjoldborg",Enhedslisten,24
Inger Mejdal Brødsgaard,T,20
"Inger Sandahl, Thisted",Enhedslisten,19
"Carsten Hougaard, Hurup Thy",Liberal Alliance,19
Steen Asgeir Petersen,Radikale,16
Philip Laursen,SF,16
Alex Lauridsen,Dansk Folkeparti,14
"Troels Kristensen, Vestervig",Enhedslisten,14
Jens Lyhne,SF,12
Kaj Andersen,Dansk Folkeparti,8
Mads Emil Hansen,T,7
Elena Kathalina Rasmussen,T,6
Bo Fink,Radikale,6
Emil V. Kristensen,T,6
Sara Jensen,T,5
Christian Liberg,T,4
