kandidat,parti,stemmer
Kenneth Gøtterup,Konservative,2178
Ann Harnek,T,402
Nicolaj Bertel Riber,Socialdemokratiet,371
Peter Læssøe,T,370
Mia Tang,Konservative,278
Henrik Christian Løwenheim Kjærsvold-Niclasen,Venstre,236
Annette Nyvang,T,210
Martin Wood Pedersen,Konservative,171
Jan Madsen,Konservative,137
Christian Hansen,Konservative,135
Theis Guldbech,Konservative,126
Ole H. Hansen,Socialdemokratiet,116
Morten Dreyer,Dansk Folkeparti,112
Michael Thurau,Liberal Alliance,108
Flemming Blønd,L,106
Leif Nielsen,SF,97
Trine Søe,Konservative,96
Liss Porsborg,Socialdemokratiet,96
Tim Meicker,Socialdemokratiet,89
Pia Voel,Socialdemokratiet,88
Thomas Olsen,Venstre,82
Lisbeth Dam Larsen,Moderaterne,80
"Else Lykke Madsen, Store Magleby",Radikale,75
Sanne Rossen,T,74
Helle Barth,Venstre,66
Erik Skovgaard Nielsen,Venstre,45
Olivia Manzano,SF,44
Anne Funk,Liberal Alliance,44
Jerrik Walløe,Konservative,43
Jørgen Honoré,Dansk Folkeparti,35
John Doktor,T,35
Lars Brix Bendtsen,Konservative,31
Pernille Sevilla Frandsen,SF,31
Thomas Vibroe Wærling,L,31
Helle May Nielsen,Venstre,27
Kim Grønved,SF,24
"Jens Passarge, Nordstranden",Radikale,24
Thomas Lynge Hindborg,SF,24
Lotte Aabye,T,23
"Ann Marquardsen, Sydstranden",Radikale,23
Frank Green Strathe,Danmarksdemokraterne,22
Michael Rachlin,L,22
Jutta Hørlyck,T,20
Carsten Lüth,Konservative,19
Rasmus Hartung,T,18
Chano Chrillesen,Konservative,16
Ole K. Svendsen,Socialdemokratiet,16
Kirsten Frydenlund,Dansk Folkeparti,15
Trine Gotha Frandsen,T,14
Lars Augsburg,L,14
Anne Grønlund,G,13
Jan Sahlgren,Moderaterne,12
Helle Strange Olsen,L,12
Bertel Riber,Socialdemokratiet,10
"René Krebs Mikkelsen, Sydstranden",Radikale,10
Knud Rosing,Socialdemokratiet,10
Karsten Jul Brædder,Liberal Alliance,9
Helen Bjørn,SF,9
"Niels Lyng Bloch, Nordstranden",Radikale,9
Tommas Brogaard,L,8
Finn Venningbo,L,8
Pia Daulov Sandholt,Socialdemokratiet,8
Hanne Wanscher,T,7
"Erwin Lansing, Søvang",Radikale,7
Leif C. Glyager,L,7
Andreas Søderman,L,7
Sanne Birk Christensen,Konservative,6
Christina Laugesen,T,6
Jens Peter Høegh,L,5
Jan Baeré,Venstre,5
Lars Kiib Hecht,Moderaterne,4
Jens Korning,Socialdemokratiet,3
Jesper Rasmussen,Venstre,3
Kurt Christensen,Konservative,3
Per Faldborg Olesen,Venstre,3
John Larsen,Dansk Folkeparti,3
Raged Aljbawi,T,3
Henrik Uhrbrand,T,1
Carsten Aarosin,Venstre,1
Ove Holm,Venstre,0
