bogstav,procent_25,procent_21,partier,listebogstav
ALT,1.8494055482166447,0.944376666214812,Alternativet,Å
DF,8.190224570673713,2.4038678776377025,Dansk Folkeparti,O
E,2.2457067371202113,,E,E
EL,1.5852047556142668,2.8963896796349013,Enhedslisten,Ø
K,16.380449141347427,21.960146400976008,Konservative,C
KD,2.906208718626156,0.3931137318693235,Kristendemokraterne,K
LA,8.058124174372523,2.2909041615832995,Liberal Alliance,I
M,2.509907529722589,,Moderaterne,M
R,7.793923381770146,11.45000225927432,Radikale,B
SF,7.397622192866579,7.654421399846369,SF,F
S,15.587846763540291,29.501604084767973,Socialdemokratiet,A
V,25.495376486129455,15.778771858479056,Venstre,V
