bogstav,procent_25,procent_21,partier,listebogstav
DD,22.3191158694526,,Danmarksdemokraterne,Æ
DF,2.339837679157313,3.0300391815411403,Dansk Folkeparti,O
K,9.549300638922466,13.48715716151502,Konservative,C
L,4.843723018476947,,L,L
R,4.4724572612674836,3.4653896386591208,Radikale,B
SF,7.563460542220687,9.865041358293428,SF,F
S,18.46831289932654,19.86939486286461,Socialdemokratiet,A
V,30.443792091175965,45.46800174140183,Venstre,V
