bogstav,procent_25,procent_21,partier,listebogstav
DD,0.5064258754956762,,Danmarksdemokraterne,Æ
DF,2.1236443552625293,0.6055428528354984,Dansk Folkeparti,O
EL,5.315082891405093,5.339330133922963,Enhedslisten,Ø
K,47.34604175624671,57.036608960024125,Konservative,C
LA,4.500501648272897,2.50257544159401,Liberal Alliance,I
M,1.6434952940614398,,Moderaterne,M
R,9.610147627920309,10.336943139274856,Radikale,B
SF,8.179255649515072,6.99263800598005,SF,F
S,6.3064354307008745,8.696198396944647,Socialdemokratiet,A
U,0.1385504753714586,,U,U
V,14.330418995747934,5.686072514384784,Venstre,V
