bogstav,procent_25,procent_21,partier,listebogstav
DD,10.179487179487179,,Danmarksdemokraterne,Æ
DF,3.4871794871794872,7.234363225320271,Dansk Folkeparti,O
E,3.6410256410256405,,E,E
K,19.256410256410255,13.815624215021352,Konservative,C
L,4.769230769230769,,L,L
LA,2.8205128205128207,,Liberal Alliance,I
R,3.282051282051282,2.964079377040944,Radikale,B
SF,8.487179487179487,6.129113288118563,SF,F
S,29.97435897435897,21.42677719166039,Socialdemokratiet,A
T,7.307692307692308,,T,T
V,6.794871794871795,9.495101733232856,Venstre,V
