bogstav,procent_25,procent_21,partier,listebogstav
DD,1.7600343421335052,,Danmarksdemokraterne,Æ
DF,9.712384631895256,5.9234445851546225,Dansk Folkeparti,O
EL,5.92401802962009,5.351525797622452,Enhedslisten,Ø
K,10.839235887529512,16.381388128600026,Konservative,C
L,7.9523502897617515,,L,L
LA,4.603992273019961,0.9191551942481312,Liberal Alliance,I
M,1.6097875080489377,,Moderaterne,M
R,3.6595836016312515,2.9617222925773112,Radikale,B
SF,28.300064391500324,15.52350994730177,SF,F
S,22.590684696286758,34.866620368479104,Socialdemokratiet,A
V,3.0478643485726553,6.0133175374811065,Venstre,V
