bogstav,procent_25,procent_21,partier,listebogstav
D,10.942093825897993,,D,D
DF,6.723763262175636,4.02766476810415,Dansk Folkeparti,O
EL,4.640163620094593,3.8140764849471114,Enhedslisten,Ø
K,3.4769270100984273,6.275427176566314,Konservative,C
L,11.555669180621244,,L,L
LA,4.729643359325067,,Liberal Alliance,I
M,1.981337082960501,,Moderaterne,M
R,4.090502364821679,3.620829943043125,Radikale,B
SF,11.031573565128468,7.373881204231083,SF,F
S,32.94132685670459,37.76444263628967,Socialdemokratiet,A
V,7.886999872171802,10.73026851098454,Venstre,V
