bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.6402048655569782,,Alternativet,Å
DD,14.241001564945227,,Danmarksdemokraterne,Æ
DF,5.206999573196756,8.893989384593315,Dansk Folkeparti,O
K,5.911224925309432,9.690144885956103,Konservative,C
M,2.1980367050789584,,Moderaterne,M
N,1.5293782899416701,,N,N
SF,9.375444586712192,0.8822263663749821,SF,F
S,23.801394223929435,31.953808635776788,Socialdemokratiet,A
V,37.09631526532935,37.777937168268544,Venstre,V
