bogstav,procent_25,procent_21,partier,listebogstav
DD,2.284563571974169,,Danmarksdemokraterne,Æ
DF,4.180265259356989,4.60407810360977,Dansk Folkeparti,O
E,10.950628428581348,,E,E
EL,4.610790917297409,4.287052381295482,Enhedslisten,Ø
K,30.88674397611277,33.25888032278982,Konservative,C
LA,11.249218804249706,,Liberal Alliance,I
M,0.5138532046385668,,Moderaterne,M
R,2.6039858343170614,2.752359680092225,Radikale,B
SF,7.860565238525102,5.497514230131854,SF,F
S,20.318033469897923,36.566035016932055,Socialdemokratiet,A
V,4.541351295048955,6.996181281072124,Venstre,V
