bogstav,procent_25,procent_21,partier,listebogstav
DD,9.237083263057288,,Danmarksdemokraterne,Æ
DF,2.664867599932535,2.562921154178426,Dansk Folkeparti,O
EL,3.6768426378815993,3.0582272648735818,Enhedslisten,Ø
K,16.624501040085455,22.0065656856534,Konservative,C
L,6.5947039973014006,,L,L
R,1.6247821442626635,,R,R
R,4.306515994827683,8.898231872372286,Radikale,B
SF,11.12048125035138,5.770892126936589,SF,F
S,18.38983527295216,14.432989690721648,Socialdemokratiet,A
V,25.760386799347838,25.237574151932268,Venstre,V
