bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.49871758335708183,,Alternativet,Å
DD,7.031917925334853,,Danmarksdemokraterne,Æ
DF,4.75206611570248,3.511209583536746,Dansk Folkeparti,O
EL,4.5882017668851525,4.709151676743399,Enhedslisten,Ø
K,29.520518666286694,21.22873558901949,Konservative,C
LA,6.5652607580507265,0.897517743813136,Liberal Alliance,I
R,4.032487888287261,3.781591497990912,Radikale,B
SF,7.245654032487889,3.9355589770550905,SF,F
S,21.91151325163864,35.59277479439709,Socialdemokratiet,A
V,13.853662011969222,21.619287243231064,Venstre,V
