bogstav,procent_25,procent_21,partier,listebogstav
ALT,1.7064846416382253,0.6898585871827224,Alternativet,Å
DD,10.580204778156997,,Danmarksdemokraterne,Æ
DF,6.825938566552901,4.253854851131466,Dansk Folkeparti,O
EL,0.3412969283276451,2.371081652383371,Enhedslisten,Ø
K,4.436860068259386,10.97219263604634,Konservative,C
KD,0.6825938566552902,0.7259082045651924,Kristendemokraterne,K
LA,3.0716723549488054,1.0962360922214758,Liberal Alliance,I
M,0.6825938566552902,,Moderaterne,M
R,0.0,,R,R
R,3.0716723549488054,3.2608517541416098,Radikale,B
SF,8.873720136518772,7.157487669392236,SF,F
S,15.699658703071673,30.055549183148443,Socialdemokratiet,A
V,44.027303754266214,34.897668245202944,Venstre,V
