bogstav,procent_25,procent_21,partier,listebogstav
DD,5.059538514748752,,Danmarksdemokraterne,Æ
DF,10.588467809674391,7.973773265651437,Dansk Folkeparti,O
EL,4.130638865556599,4.616116751269036,Enhedslisten,Ø
K,5.682098917930728,6.905668358714044,Konservative,C
L,7.322496170759425,,L,L
LA,10.726814565937053,3.928722504230119,Liberal Alliance,I
M,0.7312614259597806,,Moderaterne,M
N,2.603883591086516,,N,N
SF,9.061712535204308,7.159475465313029,SF,F
S,17.189584465635654,29.298857868020303,Socialdemokratiet,A
T,5.627748406541825,,T,T
V,21.11764415237907,26.655033840947542,Venstre,V
Y,0.1581105785858985,,Y,Y
