bogstav,procent_25,procent_21,partier,listebogstav
E,5.179282868525896,,E,E
FG,2.788844621513944,5.77095241374561,Frie Grønne,Q
K,28.286852589641438,36.89139866400385,Konservative,C
L,0.0,,L,L
LA,19.12350597609562,3.1747124853660216,Liberal Alliance,I
M,1.593625498007968,,Moderaterne,M
R,13.94422310756972,6.039528958060739,Radikale,B
SF,3.9840637450199203,4.249018662626541,SF,F
S,5.577689243027888,11.280214861235452,Socialdemokratiet,A
T,3.187250996015936,,T,T
V,16.334661354581673,26.485779216307414,Venstre,V
