bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.35496957403651114,0.3831982313927782,Alternativet,Å
DD,7.555780933062881,,Danmarksdemokraterne,Æ
DF,11.967545638945234,2.815033161385409,Dansk Folkeparti,O
K,2.789046653144016,5.4777695897813805,Konservative,C
LA,3.0933062880324544,0.7467452714320806,Liberal Alliance,I
SF,3.904665314401623,3.954802259887006,SF,F
SP,27.281947261663287,13.294030950626382,Slesvigsk Parti,S
S,7.403651115618662,14.787521493490544,Socialdemokratiet,A
T,15.111561866125761,,T,T
V,19.878296146044626,17.057234094816998,Venstre,V
Y,0.6592292089249493,,Y,Y
