bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.9855022437003798,0.3602035851951649,Alternativet,Å
DD,1.989989644459786,,Danmarksdemokraterne,Æ
DF,5.251121850189851,2.426930129860409,Dansk Folkeparti,O
E,0.07594062823610631,,E,E
EL,6.662927166033829,6.279705100857004,Enhedslisten,Ø
FG,0.27528477735588536,,Frie Grønne,Q
G,0.7758025543665862,,G,G
K,11.43510528132551,18.47049137382583,Konservative,C
KD,0.13548498446668966,0.4266307398675199,Kristendemokraterne,K
L,0.39868829823955815,,L,L
LA,5.6748360372799445,0.9692751019797164,Liberal Alliance,I
M,1.9537452537107352,,Moderaterne,M
R,7.059889540904384,7.852438157254593,Radikale,B
SF,10.494477045219194,8.304329927772164,SF,F
S,29.651363479461512,31.303094944051495,Socialdemokratiet,A
U,0.2709699689333793,,U,U
V,16.90887124611667,18.056958946147223,Venstre,V
