bogstav,procent_25,procent_21,partier,listebogstav
D,0.23513604299630503,,D,D
DD,6.877729257641921,,Danmarksdemokraterne,Æ
DF,3.1323480013436344,2.4995834027662056,Dansk Folkeparti,O
J,0.10917030567685589,,J,J
K,7.767887134699361,8.765205799033495,Konservative,C
KD,0.20994289553241519,,Kristendemokraterne,K
LA,6.28988915015116,1.6663889351774703,Liberal Alliance,I
R,4.484380248572388,4.932511248125312,Radikale,B
SF,6.970104131676185,5.524079320113314,SF,F
S,27.88041652670474,31.56140643226129,Socialdemokratiet,A
U,0.18474974806852534,,U,U
V,35.858246556936514,40.42659556740544,Venstre,V
