kandidat,parti,region,stemmer
"Mette Marie Thomsen, Holstebro",Venstre,Midtjylland,720
"Benedicte Wilson, Odense",Radikale,Syddanmark,718
"Thue Grum-Schwensen, Skive",SF,Midtjylland,713
"Adnan Nikontovic, Horsens",SF,Midtjylland,713
"Line Krogh Lay, Stevns",Radikale,Østdanmark,712
"Alexander Bork, Aabenraa",Konservative,Syddanmark,710
"Anna Mette Skov Borring, Årslev",Radikale,Syddanmark,709
"Bo Leander Gylling, Horsens",Danmarksdemokraterne,Midtjylland,709
"Diana Kjærulff, Aalborg",Venstre,Nordjylland,707
"Bente Borg Donkin, Helsingør",SF,Østdanmark,706
"Michael Mathiesen, Helsingør",Konservative,Østdanmark,703
"Johannes Grand, Ballerup",Liberal Alliance,Østdanmark,700
"Marie Hansen, Kalundborg",Danmarksdemokraterne,Østdanmark,699
"Sabrina Bech Bartholin, Esbjerg",E,Syddanmark,699
"Kasper Humle, Lemvig Kommune",Radikale,Midtjylland,699
"Søren Møller Christensen, Dejbjerg",Liberal Alliance,Midtjylland,697
"Christian Fini, Vejle",Liberal Alliance,Syddanmark,695
"Mathias Lassen Antonsen, Hals",Socialdemokratiet,Nordjylland,695
Søren Lund Hansen,Dansk Folkeparti,Østdanmark,693
Julie Jacobsen,Dansk Folkeparti,Østdanmark,693
"Christina Kokkendoff, Kolding",Liberal Alliance,Syddanmark,692
"Claus Bjørn Madsen, Vejle",Radikale,Syddanmark,688
"John Hyrup Jensen, Sønderborg",SF,Syddanmark,682
"Peter Askjær, Samsø",Konservative,Midtjylland,679
"Anna Spindler, Holbæk",Danmarksdemokraterne,Østdanmark,679
"Ali Ünsal, Køge",Konservative,Østdanmark,679
"Rikke Christensen, Horsens Kommune",Radikale,Midtjylland,679
"Helene Vadsten, Sorø",Enhedslisten,Østdanmark,675
"Peter Holm, Aalborg",Socialdemokratiet,Nordjylland,673
Bo Ritterbusch,Liberal Alliance,Nordjylland,673
"Jan Andersen, Mariagerfjord",Venstre,Nordjylland,669
"Thomas Kastrup Christensen, Aarhus",Dansk Folkeparti,Midtjylland,667
"Jesper Adler, Vordingborg",Konservative,Østdanmark,665
"Agnethe Clemmensen, Herning",Enhedslisten,Midtjylland,663
"Hans-Christian Gjerlevsen, Aabenraa",Dansk Folkeparti,Syddanmark,661
"Runa Friis Hansen, Hjørring",Enhedslisten,Nordjylland,660
"Anders Johansson, Svendborg",Konservative,Syddanmark,658
"Brian Køster, Hvidovre",Radikale,Østdanmark,656
"Steffen Jespersen, Horsens",Liberal Alliance,Midtjylland,653
"Karlo Brondbjerg, Herning",Kristendemokraterne,Midtjylland,647
"Line Andrup, Egedal",Socialdemokratiet,Østdanmark,646
"Andreas Huus Andersen, Hjørring",Danmarksdemokraterne,Nordjylland,644
"Jenny Rørbæk, Aalborg Øst",Enhedslisten,Nordjylland,643
"Morten Nørgaard Hald, Brønderslev",Venstre,Nordjylland,640
"Arne Raaballe, Vejle",Danmarksdemokraterne,Syddanmark,639
"Eva Larsen, Greve",SF,Østdanmark,633
"Linda Nørgaard, Thy",Enhedslisten,Nordjylland,629
"Henrik Sandholm, Vejle",Konservative,Syddanmark,623
"Michael Christensen, Aabenraa",SF,Syddanmark,617
"Knud Nielsen, Herning",Dansk Folkeparti,Midtjylland,614
"Lea Grey Haller, Åbyhøj",P,Midtjylland,614
"Carl Jørgen Heide, Ærø",Konservative,Syddanmark,611
"Sander Jensen, Aarhus",SF,Midtjylland,610
"Bjarne Lund Henneberg, Tønder",SF,Syddanmark,609
"Simon Linde, Mariagerfjord",Konservative,Nordjylland,608
"Mathias Sikora, Aarhus Kommune",Radikale,Midtjylland,606
"Tobias Brus Mikkelsen, Sønderborg",Dansk Folkeparti,Syddanmark,605
"Jonas Niemann, Gentofte",SF,Østdanmark,605
"Mia Linda Møller, Næstved",Moderaterne,Østdanmark,603
"Henrik Ræder Clausen, Aarhus",Dansk Folkeparti,Midtjylland,600
"Ulrik Rasmussen, Syddjurs Kommune",SF,Midtjylland,600
"Thorbjørn Jacobsen, Struer",Liberal Alliance,Midtjylland,599
"Diana Therese Mikkelsen, Norddjurs",Danmarksdemokraterne,Midtjylland,597
"Hans Henrik Sørensen, Mariagerfjord",Danmarksdemokraterne,Nordjylland,595
"Marianne Dithmer, Herlev",Enhedslisten,Østdanmark,595
"Peter Mousten, Skive",Dansk Folkeparti,Midtjylland,594
"Morten Junget, Silkeborg Kommune",Radikale,Midtjylland,594
"Maja Roesen, Køge",SF,Østdanmark,593
"Martin Thor Pedersen, Helsingør",Socialdemokratiet,Østdanmark,592
"Kirstine Skjødt, Viborg",Konservative,Midtjylland,592
"Bente Abrahamsen, Faxe",Danmarksdemokraterne,Østdanmark,592
"Lars Olesen, Fredericia",SF,Syddanmark,592
"Thomas Christophersen, Holbæk",Konservative,Østdanmark,590
"Jonas Lee  Jeppesen, Vejen",Danmarksdemokraterne,Syddanmark,589
"Knud Nørregaard, Kolding",Radikale,Syddanmark,587
"Bent Olsen, Nordfyn",SF,Syddanmark,586
"John Rasmussen, Fredericia",Liberal Alliance,Syddanmark,583
"Anders Medum Groth, Furesø",Radikale,Østdanmark,580
"Bente Lerche-Thomsen, Guldborgsund",Enhedslisten,Østdanmark,579
"Henrik Mielke Ravn, Haderslev",Danmarksdemokraterne,Syddanmark,576
"Torbjørn Fristed, Varde",Danmarksdemokraterne,Syddanmark,567
"Aksel Rosager Johansen, Viborg",Enhedslisten,Midtjylland,564
"Niels Hörup, Solrød Strand",Venstre,Østdanmark,563
"Emil M.D. Christensen, Aarhus",Venstre,Midtjylland,561
"Jonas René Jensen, Middelfart",Danmarksdemokraterne,Syddanmark,561
"Hans Bak, Holstebro",Liberal Alliance,Midtjylland,561
"Jørgen Hammer Sørensen, Hobro",Dansk Folkeparti,Nordjylland,556
"Freja Wirlander, Hvidovre",Radikale,Østdanmark,553
"Vagn Kjær-Hansen, Brøndby",SF,Østdanmark,553
"Steffen Daugaard, Middelfart",Dansk Folkeparti,Syddanmark,552
"Jesper Tvilde, Fredensborg",Konservative,Østdanmark,552
"Frederik Tuxen Bjerrum, Frederiksberg",Liberal Alliance,Østdanmark,552
"Per Salling, Jammerbugt",Danmarksdemokraterne,Nordjylland,550
"Ivan Damsted, Assens",Socialdemokratiet,Syddanmark,548
"Morten Weiss-Pedersen, Middelfart",Konservative,Syddanmark,547
"Jacob Netteberg, Birkerød",Radikale,Østdanmark,546
"Jesper Hammer, Fredensborg",Venstre,Østdanmark,545
"Lars Kolling, Assens",Dansk Folkeparti,Syddanmark,543
"Glenn Hansen, Vordingborg",Danmarksdemokraterne,Østdanmark,543
"Carsten Petersen, Sorø",Konservative,Østdanmark,543
"Kim Hjerrild, Frederiksberg",Alternativet,Østdanmark,539
"Helle Nørgaard Lundsby, Skive",Enhedslisten,Midtjylland,534
"Jan Færch, Solrød",Konservative,Østdanmark,533
Karen Esmark Hansen,T,Østdanmark,533
"Danny Rosenkilde, Flauenskjold",Dansk Folkeparti,Nordjylland,531
"René Krongaard, Odder",Konservative,Midtjylland,529
"Mikkel Sommer, Struer",Danmarksdemokraterne,Midtjylland,528
"Klaus Kristiansen, Lejre",Liberal Alliance,Østdanmark,526
"Steffen Holme Helledie, Vejgaard",Radikale,Nordjylland,524
"Anne-Marie Hemmeth, Aalborg",Alternativet,Nordjylland,521
"Birgitte Kehler Holst, København",Alternativet,Østdanmark,520
"Kenneth Storm, Aulum",Liberal Alliance,Midtjylland,520
"Carina Sarkkinen Jacobsen, Hedensted",SF,Midtjylland,519
"Jytte Søgård Mikkelsen, Herning",SF,Midtjylland,518
"Annelise Madsen, Ishøj",N,Østdanmark,517
"Ole Gregersen, Thisted",Venstre,Nordjylland,516
Lene Bach Nørgaard,Moderaterne,Midtjylland,514
"Peter la Cour, Hvidovre",Enhedslisten,Østdanmark,512
"Søren Boel Olesen, Holstebro",Dansk Folkeparti,Midtjylland,512
"Meiner Nørgaard, Morsø",Danmarksdemokraterne,Nordjylland,512
"Henrik Jacobsen, Lolland",Konservative,Østdanmark,509
Bjarne Hartung Kirkegaard,Kristendemokraterne,Østdanmark,509
"Olaf Johansen, Slagelse",SF,Østdanmark,509
"Laurids Schack, Bramming",Venstre,Syddanmark,506
Paul Erik Planitzer,Kristendemokraterne,Syddanmark,506
"Kristian Kirk Mailand, Bornholm",Radikale,Østdanmark,502
"Celine Lind Jakobsen, Fredensborg",Konservative,Østdanmark,501
"Knud Schøler, Hinnerup",Konservative,Midtjylland,498
"Birgitte Neergaard-Kofod, Egedal",Konservative,Østdanmark,498
"Zishan Ali, Ballerup",Moderaterne,Østdanmark,496
"Sebastian Halkjær-Grauert, Norddjurs",Liberal Alliance,Midtjylland,495
"Charlotte Aabye, Ærø",Danmarksdemokraterne,Syddanmark,491
Jette Juul,Dansk Folkeparti,Østdanmark,489
"Bente Bjerremann Larsen, Syddjurs",Danmarksdemokraterne,Midtjylland,488
"Sarah Nørris, Esbjerg",Enhedslisten,Syddanmark,488
"Ken Patrick Petersson, Taastrup",SF,Østdanmark,487
Erik Høgh-Sørensen,L,Nordjylland,487
Søren Vanting,Moderaterne,Midtjylland,486
"Henrik Christiansen, Brande",Liberal Alliance,Midtjylland,484
Nana Harring,Dansk Folkeparti,Østdanmark,483
"Thomas Hjort, Frederikshavn",Dansk Folkeparti,Nordjylland,482
"Per de Fries, Mariagerfjord",Danmarksdemokraterne,Nordjylland,481
"Arne Bo Nissen, Odense",Danmarksdemokraterne,Syddanmark,481
"Jørgen Madsen, Silkeborg",Enhedslisten,Midtjylland,481
Githa Nelander,Dansk Folkeparti,Østdanmark,480
"Simon Buus Olsen, Favrskov",Liberal Alliance,Midtjylland,480
"Vivian Lindberg Larsen, Assens",Danmarksdemokraterne,Syddanmark,479
"Caroline Amena Lauritsen, Odense",Venstre,Syddanmark,476
"Emilia M. Feldskov, Aarhus C",Konservative,Midtjylland,475
"Sten Schmidl Søbjærg, Gribskov",Liberal Alliance,Østdanmark,474
"Ole Nør Pedersen, Nibe",Venstre,Nordjylland,473
"Robert Mørck, Furesø",Liberal Alliance,Østdanmark,473
"Elsebeth Bertignol, Varde",Dansk Folkeparti,Syddanmark,472
Rikke Olssen,Liberal Alliance,Nordjylland,470
"Lars Winther, Egedal",Liberal Alliance,Østdanmark,470
John Vind,Dansk Folkeparti,Østdanmark,469
"Poul Reher Jensen, Gladsaxe",SF,Østdanmark,469
"Christopher Ammentorp, Vissenbjerg",Enhedslisten,Syddanmark,468
"Morten Bille, Ullerød",Venstre,Østdanmark,467
"Mikkel Krog, Lejre",Socialdemokratiet,Østdanmark,467
"Lisbeth Kjærholt, Høje-Taastrup",Venstre,Østdanmark,466
"Kim Drejer Nielsen, Rødovre",Konservative,Østdanmark,463
"Malthe Broe, Silkeborg",Venstre,Midtjylland,463
"Rasmus Sandvej, Kolding",Konservative,Syddanmark,459
HP Beck,Liberal Alliance,Nordjylland,456
"Linda Lund Lauridsen, Esbjerg",Danmarksdemokraterne,Syddanmark,455
"Bent Jørgensen, Roskilde",Venstre,Østdanmark,454
"Tine Holm, Aarhus N",P,Midtjylland,452
"Lisa Jonasson, Sønderborg",Venstre,Syddanmark,451
"Niels H. Bünemann, Skagen",Venstre,Nordjylland,450
"Christian Fink Elkjær, Rudersdal",Radikale,Østdanmark,449
"John Haarup Laursen, Skanderborg",Danmarksdemokraterne,Midtjylland,448
"Esben Iversen, Rødkærsbro",Konservative,Midtjylland,448
Peter Thellufsen Pedersen,Liberal Alliance,Nordjylland,447
"Oskar Schmidt, Skagen",Socialdemokratiet,Nordjylland,443
"Ole Terkelsen, Valby",Socialdemokratiet,Østdanmark,443
"Søren Kragh, Sorø",Liberal Alliance,Østdanmark,442
"Jan Kjældgaard, Farum",SF,Østdanmark,440
"Astrid Barslund, Lejre",Danmarksdemokraterne,Østdanmark,439
Poul Holm Christensen,Moderaterne,Midtjylland,436
"Betina Wettengel, Kolding",Konservative,Syddanmark,432
"Dickte Noël Toft, Hørsholm",Socialdemokratiet,Østdanmark,431
"Jamie Voldby, Brønderslev",Danmarksdemokraterne,Nordjylland,428
"Nanna Marie Muhlig, Aarhus",Venstre,Midtjylland,428
"Jeanette Sagan, Rebild",Konservative,Nordjylland,428
"Rebecca Plomin, Gladsaxe",Konservative,Østdanmark,427
"Gunnar Sumberg, Gladsaxe",Venstre,Østdanmark,427
"Simon Krabbe, Ballerup",Konservative,Østdanmark,426
"Preben Steen, Vejle",Konservative,Syddanmark,426
"Mette Friis, Nyrup",Alternativet,Østdanmark,424
"Jan Erik Abildskov Nielsen, Lolland",Enhedslisten,Østdanmark,424
"Michael Portefée P. Lex, Rebild",Radikale,Nordjylland,423
"Jan Strandhave, Svendborg",Venstre,Syddanmark,423
"Phillip Bergenhammer Østergaard, Tårnby",SF,Østdanmark,422
"Claus Ljungberg Jørgensen, København",Venstre,Østdanmark,422
"Deniz Kücükavci, Herlev",Moderaterne,Østdanmark,418
"Charlotte Mönniche, Skanderborg",Liberal Alliance,Midtjylland,418
"Zeb Meier Watz, Odense C",Radikale,Syddanmark,417
"Per Alstrup, Rebild",SF,Nordjylland,417
"Kim Lei-Jensen, Odense",Radikale,Syddanmark,417
"Susanne Krebs, Aalborg",Radikale,Nordjylland,413
"Claus Sørensen, Hedensted",Konservative,Midtjylland,412
"Merete Them Kjølholm, Allerød",Radikale,Østdanmark,410
"Mogens Bedsted, Odder",SF,Midtjylland,410
"Palle L. Nielsen, Jammerbugt",Konservative,Nordjylland,409
"Rikke Mortensen, Egedal",Radikale,Østdanmark,407
"Marianne Bentsen, Holstebro",Enhedslisten,Midtjylland,406
"Torben Kjeldsen, Rørvig",SF,Østdanmark,405
"Jakob Sønderhaven, Jammerbugt",SF,Nordjylland,404
"Camilla Sabroe Parbst, Roskilde",Konservative,Østdanmark,404
"Aksel Munch Søndergaard, Aarhus V",SF,Midtjylland,403
"Claus Neergaard, Næstved",Konservative,Østdanmark,403
"Niels Voetmann Jepsen, Horsens Kommune",Radikale,Midtjylland,403
"Christian Wegener Jørgensen, København",Enhedslisten,Østdanmark,401
"Frederik Germann, Halsnæs",Konservative,Østdanmark,400
"Tina Ostersen, Brande",Dansk Folkeparti,Midtjylland,399
Anette Skafte,Dansk Folkeparti,Østdanmark,399
"Hans Mortensen, Esbjerg",Venstre,Syddanmark,396
"Jette Tibert, Herning",Venstre,Midtjylland,396
"Peder Larsen, Mariagerfjord",SF,Nordjylland,395
Nickolai Hamann,Dansk Folkeparti,Østdanmark,392
Allan Blak,Dansk Folkeparti,Østdanmark,391
"Rasmus Bergholdt, Skanderborg Kommune",Radikale,Midtjylland,390
"Mark Bjerre Ebbesen, Køge",Venstre,Østdanmark,387
Flemming Blicher,U,Østdanmark,386
"Yurdal Cicek, Næstved",Alternativet,Østdanmark,385
Camilla Schuster Nygaard,Moderaterne,Syddanmark,385
"Charlotte Petersen, Mariagerfjord",SF,Nordjylland,384
"Vilhelm Møller, Faxe",Konservative,Østdanmark,384
"Benny Bindslev, Tårnby",Danmarksdemokraterne,Østdanmark,383
"Jim Zakaria, Vejen",Dansk Folkeparti,Syddanmark,382
"Steen Tofteng, Gribskov",Liberal Alliance,Østdanmark,379
Bent Olsen,Moderaterne,Syddanmark,377
"Bjarne Kongsted, Holbæk",Venstre,Østdanmark,376
"Thies Mathiasen, Haderslev",Dansk Folkeparti,Syddanmark,376
"Maria Dalum, Odense",Alternativet,Syddanmark,373
"Jeppe Fransson, Roskilde",Radikale,Østdanmark,373
"Tobias Daugaard, Løsning",Liberal Alliance,Midtjylland,372
"Søren Wiese, Samsø",Venstre,Midtjylland,371
"Edris Qasimi, Sorø",Radikale,Østdanmark,370
"Coco Kjærgaard, Børkop",Alternativet,Syddanmark,369
"Annie Hagel, Gilleleje",Enhedslisten,Østdanmark,369
"Marianne Fritzen, Odsherred",Radikale,Østdanmark,367
"Jonas Nørgaard, Odsherred",Danmarksdemokraterne,Østdanmark,367
"Jeppe Mariager, Svendborg",Enhedslisten,Syddanmark,365
"Martin Brag, Hjørring",Venstre,Nordjylland,365
"Karl Højhus Jeppesen, Kibæk",Konservative,Midtjylland,365
Morten Bo,Liberal Alliance,Nordjylland,365
"Lars Lindskov, Roskilde",Moderaterne,Østdanmark,364
"Esben Hedeager, Horsens",Konservative,Midtjylland,364
"Michael Rosenmark, Ringsted",Danmarksdemokraterne,Østdanmark,361
"Arne V. Andersen, Ringkøbing",Liberal Alliance,Midtjylland,360
"Joacchim Brahtz, Faaborg",Konservative,Syddanmark,356
"Frank Mikkelsen, Grindsted",Dansk Folkeparti,Syddanmark,354
"Martin Vestergaard, Christiansbjerg",SF,Midtjylland,354
"Niels Odgaard, Læsø",Konservative,Nordjylland,353
"Christian Wikström, Hørsholm",Venstre,Østdanmark,352
"Lisbeth Dam Larsen, Dragør",Moderaterne,Østdanmark,349
Ester Esmarch,Kristendemokraterne,Syddanmark,345
"Patrick Lehto, Tårnby",Konservative,Østdanmark,345
Søsser Grønnegård,Dansk Folkeparti,Østdanmark,344
"Nanna Høyrup, Hundested",Alternativet,Østdanmark,343
"Jeanne Blum, Ringsted",Danmarksdemokraterne,Østdanmark,342
"Søren Eriksen, Gistrup",Socialdemokratiet,Nordjylland,342
"Anne-Marie Jørgensen, Løgstør",Kristendemokraterne,Nordjylland,341
"Thomas Skov Rasmussen, Egedal",Venstre,Østdanmark,341
"Jørgen Johannsen, Odder",Venstre,Midtjylland,339
"Thomas Skov Jensen, Odense",Enhedslisten,Syddanmark,338
"Liselotte Tranekær Fjellø-Jensen, Svendborg",Danmarksdemokraterne,Syddanmark,338
"Bo H. Hollænder, Bramming",Dansk Folkeparti,Syddanmark,338
"Bjørn Bjerrehøj, Tårnby",Radikale,Østdanmark,337
"Emma Houe Mølgaard, Hobro",Dansk Folkeparti,Nordjylland,336
"Finn Hartvig Nielsen, Næsbyhoved Broby",Radikale,Syddanmark,336
"Luise Bak, Vallensbæk",Enhedslisten,Østdanmark,335
"Alice Rudkjær, Rudersdal",Socialdemokratiet,Østdanmark,330
"Laila Poulsen, Vejen",Danmarksdemokraterne,Syddanmark,330
"Ole Tyrsted Jørgensen, Nyborg",SF,Syddanmark,329
"Emilie Haaning, Nyborg",Radikale,Syddanmark,328
"Lars E. Boesen, Middelfart",Radikale,Syddanmark,327
"Mikkel Fahlstrøm, Fanø",Enhedslisten,Syddanmark,327
"Claus Pedersen, Ringkøbing-Skjern Kommune",Radikale,Midtjylland,327
"Kim Jørstad, Kerteminde",SF,Syddanmark,326
"Gitte Simoni, Roskilde",Socialdemokratiet,Østdanmark,324
Cæcilia Nilsson,Kristendemokraterne,Østdanmark,323
"Helle Barth, Dragør",Venstre,Østdanmark,321
"Ole Bøgh Vinther, Aarhus",Socialdemokratiet,Midtjylland,321
"Søren Norlander, Randers",SF,Midtjylland,321
"Thomas Søndergaard Ammons, Vejle",Enhedslisten,Syddanmark,320
"René Vejby Kierch, Roskilde",Socialdemokratiet,Østdanmark,320
"Gert Jensen, Glostrup",Venstre,Østdanmark,315
"Bent Jensen, Silkeborg",Venstre,Midtjylland,314
"Henrik Qvist, Skanderborg",Enhedslisten,Midtjylland,314
"Leif Christensen, Sæby",Venstre,Nordjylland,312
"Per Hyldig, Hjørring",Dansk Folkeparti,Nordjylland,311
"Mogens Hallager, Roskilde",Konservative,Østdanmark,310
"Dorte Holm Hansen, Odsherred",Venstre,Østdanmark,309
"Victoria P. Jørgensen, Odense",Venstre,Syddanmark,307
"Susanne Damsgaard, Gladsaxe",Danmarksdemokraterne,Østdanmark,307
"Allan Svendsen, Tønder",Dansk Folkeparti,Syddanmark,307
"Gitte Kjær-Westermann, Lyngby-Taarbæk",Radikale,Østdanmark,307
"Arne Würgler, Gribskov",Enhedslisten,Østdanmark,304
"Pia Elberg, Rebild",Radikale,Nordjylland,302
"Bjarke Jensen, Syddjurs Kommune",Radikale,Midtjylland,302
Lars Thomsen,L,Østdanmark,302
"Jimmi Elley Nielsen, Snejbjerg",Socialdemokratiet,Midtjylland,302
"Michael Hendriksen, Bornholm",Danmarksdemokraterne,Østdanmark,302
"Lars Erling Sørensen, Brønderslev",D,Nordjylland,302
"Peter Malbæk, Syddjurs",Liberal Alliance,Midtjylland,301
"Frode Larsen, Vrå",Dansk Folkeparti,Nordjylland,301
"Rasmus Meggele Stein, Stevns",Moderaterne,Østdanmark,300
"Marianne Mix, Svendborg",Dansk Folkeparti,Syddanmark,299
Kasper Ibsen,T,Østdanmark,298
Vibeke Henriksen,Moderaterne,Syddanmark,298
"Flemming Nielsen, Hadsten",Konservative,Midtjylland,297
"Janni Høybye, Brønderslev",Konservative,Nordjylland,297
"Jan K. Pedersen, Hemmet",D,Midtjylland,297
"Thue Christian Thann Nikolajsen, København NV",Enhedslisten,Østdanmark,296
"Lars Jensen, Løsning",Konservative,Midtjylland,295
"Julie Bruus Jensen, Odense",Venstre,Syddanmark,292
Lone Hansen,Moderaterne,Syddanmark,292
"Jess Eiberg Hansen, Greve",Konservative,Østdanmark,292
"Dorthe Beck-Nyling, København",Moderaterne,Østdanmark,287
"Paul Thomsen, Farum",Venstre,Østdanmark,287
"Peter Wallenskog, Frederikshavn",Danmarksdemokraterne,Nordjylland,284
"Ulrik Linvald, Ringkøbing-Skjern",Konservative,Midtjylland,284
"Martin Buhl, Frederiksberg",Enhedslisten,Østdanmark,282
"Jane Christensen, Kalundborg",Konservative,Østdanmark,281
"Leif Gjørtz, Odder",Enhedslisten,Midtjylland,280
"Emilie Borch Sloth, Glostrup",Radikale,Østdanmark,279
"Peter L. Sørensen, Gribskov",Radikale,Østdanmark,279
"Jens-Kristian Lütken, København",Venstre,Østdanmark,279
"Maria Weisbjerg, Faaborg",Dansk Folkeparti,Syddanmark,278
"Eik Dahl Bidstrup, Dragør",Liberal Alliance,Østdanmark,278
"Kristian Hedelund, Brønderslev",Konservative,Nordjylland,277
"Randi Lund Jepsen, Syddjurs",Enhedslisten,Midtjylland,276
"Victoria Helene Olsen, Roskilde",Konservative,Østdanmark,276
"Frank Rune Kristensen Nielsen, Skanderborg",Dansk Folkeparti,Midtjylland,274
"Alice Holst Brask, Djursland",Konservative,Midtjylland,271
"Maria Katarina Nielsen, Frederikssund",Radikale,Østdanmark,270
"Frederik Asgeir Berg, Aalborg",Radikale,Nordjylland,268
"Jens Lindved, Århus",Enhedslisten,Midtjylland,268
"Thomas Hammer-Jakobsen, Odder Kommune",Radikale,Midtjylland,266
"Jens Laursen-Schmidt, Struer",Konservative,Midtjylland,265
"Morten Møller, Esbjerg",E,Syddanmark,265
"Agnete Fog, Tranekær",Radikale,Syddanmark,265
"Kim Pagels, Solrød",Radikale,Østdanmark,264
"Therese Hejnfelt, Frederikssund",Konservative,Østdanmark,264
"Kim Andkjær Doberck, Kruså",Dansk Folkeparti,Syddanmark,264
"Niels Erik Danielsen, Høng",Enhedslisten,Østdanmark,263
"Torben Krebs, Hadsten",Konservative,Midtjylland,263
"Helle Nørregaard, Vordingborg",Enhedslisten,Østdanmark,262
"Julie Herdal Molbech, København",Radikale,Østdanmark,260
"Mette Bram, Frederiksberg",Alternativet,Østdanmark,259
Birthe Harritz,Y,Midtjylland,259
Martin Rosbjørn,Dansk Folkeparti,Østdanmark,258
"Mads Søe Daugaard, Kalundborg",Moderaterne,Østdanmark,258
Ditte Ravn Kaagaard,Moderaterne,Nordjylland,257
"Mathias D. Christiansen, Sydbyen i Haderslev",Enhedslisten,Syddanmark,256
"Marianne Bredgaard Karlsson, Fredensborg",Radikale,Østdanmark,256
"Inge Jensen, Ringkøbing-Skjern",Kristendemokraterne,Midtjylland,255
"Klavs Bryld, Grenaa",Enhedslisten,Midtjylland,255
Jeppe von Berg,Moderaterne,Midtjylland,252
"Katrine Schiller, Halsnæs",Danmarksdemokraterne,Østdanmark,252
"Claus Buch, København NV",Venstre,Østdanmark,251
"Bjarne Linneberg, Skive",Konservative,Midtjylland,249
"Peter Horsted Hansen, Odsherred",Konservative,Østdanmark,249
"Kim Mandix, København",Radikale,Østdanmark,247
"Emil Hoffmann Madsen, Fanø",Venstre,Syddanmark,246
"Gert L. Heglund, Gentofte",Liberal Alliance,Østdanmark,245
"Astrid Fogh, Fredericia",Alternativet,Syddanmark,245
"Malene Holm, København",N,Østdanmark,244
"Klavs A. Holm, Hellerup",Moderaterne,Østdanmark,243
"Simon Nyborg Jensen, Odense",Alternativet,Syddanmark,241
"Josephine Alstrup Kofod, Haderslev",Dansk Folkeparti,Syddanmark,241
"Morten Stig Pedersen, Holbæk",Enhedslisten,Østdanmark,240
"Charlotte Holst Høybye, Jammerbugt",SF,Nordjylland,240
"Carsten Jäger, Otterup",Konservative,Syddanmark,239
"Peter Øhrstrøm, Aalborg",Kristendemokraterne,Nordjylland,238
"Torben Skytte Raahede, København",Venstre,Østdanmark,237
"Annemette Leth Nielsen, Kværndrup",Enhedslisten,Syddanmark,236
"Ken Riberholt-Rischel, Gribskov",Danmarksdemokraterne,Østdanmark,235
"Ida Busk, København",Konservative,Østdanmark,233
"Jan Skat Riishøj, Østbirk",D,Midtjylland,233
Klaus Hjulmand,Liberal Alliance,Nordjylland,232
"Josée Linnemann, Fredensborg",Moderaterne,Østdanmark,232
"Pernille Mai Brylle, Tønder",Dansk Folkeparti,Syddanmark,232
"Claus Rehfeld, København",Radikale,Østdanmark,231
Mikkel Hartwich,Dansk Folkeparti,Østdanmark,231
"Jeppe Lynge Ravn, Odsherred",Enhedslisten,Østdanmark,229
Steen Løfstrøm,Dansk Folkeparti,Østdanmark,227
"Søren Thomsen, Silkeborg",Enhedslisten,Midtjylland,227
John Bjerg,L,Nordjylland,224
"Ulrik Mark Jensen, Vesthimmerland",Konservative,Nordjylland,223
"Mille Koch Rømer, Østerbro",Socialdemokratiet,Østdanmark,223
Dennis Soleymani,Moderaterne,Syddanmark,222
Kamila Holt,Moderaterne,Syddanmark,221
"Mikkel Dam Christensen, Holstebro",Venstre,Midtjylland,221
"Palle Kristiansen, Slagelse",Danmarksdemokraterne,Østdanmark,221
"Keld K. Kvist, Nørresundby",Radikale,Nordjylland,220
"Kaj Meng Petersen, Ringkøbing-Skjern",Danmarksdemokraterne,Midtjylland,220
"Steen Jonsson Agger, Aarhus Kommune",Radikale,Midtjylland,219
"Anette Jensen Smith, Hobro",Alternativet,Nordjylland,217
"Ronny Roy Nielsen, Hedensted Kommune",SF,Midtjylland,216
"Rikke Pedersen, Aalborg",Konservative,Nordjylland,215
"Thomas von Jessen, Fredensborg",Konservative,Østdanmark,215
"Arne Olsen, Sorø",Danmarksdemokraterne,Østdanmark,215
Lave Knud Broch,J,Østdanmark,215
"Jørgen Ravn Christensen, Jammerbugt",Konservative,Nordjylland,215
"Kim Elmose, Roskilde",SF,Østdanmark,215
"Mikael Winther, Haderslev",Alternativet,Syddanmark,215
"Emil Boost, Aarhus",R,Midtjylland,213
Maria Falk Røjsmose,Moderaterne,Syddanmark,213
"John Madsen, Viborg",Venstre,Midtjylland,211
"Palle B. Rosenkilde, Aarhus",Kristendemokraterne,Midtjylland,210
Evis Sadikaj,Moderaterne,Syddanmark,210
"Kim Larsen, Kastrup",Enhedslisten,Østdanmark,209
Smita Salagare,Moderaterne,Syddanmark,209
Uffe Bie,Moderaterne,Midtjylland,209
"Colin Bradley, Lystrup",P,Midtjylland,206
"Maibritt Nielsen, Frederikssund",Danmarksdemokraterne,Østdanmark,206
"Jette Wied Weiss, Stevns",Danmarksdemokraterne,Østdanmark,206
"Søren Hyldgaard, Rudersdal",Moderaterne,Østdanmark,205
"Susanne Pahlmann, Greve",Enhedslisten,Østdanmark,205
"Louise Theilade Thomsen, København",Venstre,Østdanmark,204
"Ole Dupont Kofod, Glamsbjerg",Alternativet,Syddanmark,201
Jesper Housgaard,Kristendemokraterne,Østdanmark,201
