kandidat,parti,region,stemmer
"Irfan Gilani, Brøndby",Radikale,Østdanmark,2935
"Sine Reffstrup, Ringsted",Socialdemokratiet,Østdanmark,2923
"Kim Johansen, Nordfyn",Socialdemokratiet,Syddanmark,2894
"Joan Kragh, Guldborgsund",SF,Østdanmark,2848
"Lars Erik Hornemann, Langeland",Venstre,Syddanmark,2840
"Anders Paabøl, Aarhus",Liberal Alliance,Midtjylland,2823
"Jan Beck-Nielsen, Silkeborg",Liberal Alliance,Midtjylland,2804
"Anne Møller Ronex, Holbæk",Radikale,Østdanmark,2791
"Marianne Mulle Jensen, Aalborg",Radikale,Nordjylland,2787
"Christian Vigilius, Gentofte",Konservative,Østdanmark,2778
"Thomas Rohden, København",Radikale,Østdanmark,2715
"Roya Moore, Odense",Konservative,Syddanmark,2639
"Kirsten Rask, Kalundborg",Socialdemokratiet,Østdanmark,2637
"Julie Hoff Sørensen, Stevns",SF,Østdanmark,2610
"Lennarth Hansen, Kolding",Venstre,Syddanmark,2606
"Poul Kristensen, Morsø",Socialdemokratiet,Nordjylland,2596
"Niels Viggo Lynghøj, Struer",Socialdemokratiet,Midtjylland,2566
"Helena Hedegaard Udsen, København",Enhedslisten,Østdanmark,2547
"Nicolai Kampmann, Hvidovre",Socialdemokratiet,Østdanmark,2543
"Vivi Altenburg, Ringkøbing-Skjern",Danmarksdemokraterne,Midtjylland,2516
"Lone Lundsgaard, Horsens",Venstre,Midtjylland,2505
"Mette Hardam, Frederikshavn Kommune",Venstre,Nordjylland,2491
"Annette Bolvig, Hedensted",Venstre,Midtjylland,2483
"Camilla Eva Hallenberg, Vejle",Venstre,Syddanmark,2437
"Søren Rasmussen, Kolding",Dansk Folkeparti,Syddanmark,2421
"Dorthe Mikkelsen, Vallensbæk",Liberal Alliance,Østdanmark,2402
"Hans Skou, Aarhus",Venstre,Midtjylland,2327
"Martin Boye, Vejen",Venstre,Syddanmark,2319
"Sonja Randrup, Fredericia",Socialdemokratiet,Syddanmark,2302
"Lone Langballe, Viborg",Dansk Folkeparti,Midtjylland,2298
"Kim Edberg Andersen, Rebild",Danmarksdemokraterne,Nordjylland,2273
"Benny Damgaard, Lolland",Danmarksdemokraterne,Østdanmark,2249
"Per Møller, Hjørring",Konservative,Nordjylland,2246
"Karina Vestergaard, Billund",Socialdemokratiet,Syddanmark,2217
"Christine Dal Thrane, Lyngby-Taarbæk",Venstre,Østdanmark,2194
"Nadeem Farooq, Høje-Taastrup",Radikale,Østdanmark,2172
"Kåre Spliid, Sorø",Venstre,Østdanmark,2159
"Line Ervolder, København",Konservative,Østdanmark,2144
"Betina Bugge, Skive",Danmarksdemokraterne,Midtjylland,2141
"John Tefke, Lyngby",Konservative,Østdanmark,2121
"Lone Mortensen, Greve",Venstre,Østdanmark,2114
"Rikke Engelbrecht Andersen, Næstved",Venstre,Østdanmark,2100
"Claus Bakke, Vordingborg",Venstre,Østdanmark,2092
"Mogens Nørgård, Aabybro",Socialdemokratiet,Nordjylland,2084
"Christian Wedell-Neergaard, Køge",Konservative,Østdanmark,2066
"Karsten Meyer Olesen, Aabenraa",Socialdemokratiet,Syddanmark,2059
"Emilie Esmann, Amager",SF,Østdanmark,2044
"Flemming Damgaard Larsen, Lejre",Venstre,Østdanmark,2040
"Tanja Vestergaard Skøtt, Vejen",Socialdemokratiet,Syddanmark,2035
René Danielsson,Dansk Folkeparti,Østdanmark,2025
"Kenneth Gøtterup, Amager",Konservative,Østdanmark,2016
"Jacob Rosenberg, Frederiksberg",Konservative,Østdanmark,1997
"Nikoline Erbs Hillers-Bendtsen, Aarhus C",Alternativet,Midtjylland,1975
"Turan Akbulut, Høje-Taastrup",Konservative,Østdanmark,1974
"Mustafa Arslan, Ikast-Brande",Socialdemokratiet,Midtjylland,1966
