kandidat,parti,stemmer
Tania Lange,L,83
"Susanne Krebs, Aalborg",Radikale,81
"Jenny Rørbæk, Aalborg Øst",Enhedslisten,81
Laura Jensen,Moderaterne,81
"Thomas Møller, Thisted",Venstre,79
Kim Gaarsdahl,Liberal Alliance,79
"Jens Lyhne, Thisted Kommune",SF,78
"Malou Skeel, Jammerbugt",Venstre,77
"Kristian Hedelund, Brønderslev",Konservative,72
Ditte Ravn Kaagaard,Moderaterne,69
Peter Thellufsen Pedersen,Liberal Alliance,69
Paw Rytter,Moderaterne,68
"Anette Jensen Smith, Hobro",Alternativet,67
"Søren Eriksen, Gistrup",Socialdemokratiet,65
"Flemming Agerskov, Frederikshavn",Konservative,64
"Andreas Müller, Sindal",Kristendemokraterne,61
"Peter Øhrstrøm, Aalborg",Kristendemokraterne,59
"Steffen Holme Helledie, Vejgaard",Radikale,59
Nikolaj C. Andersen,Moderaterne,57
"Jakob Sønderhaven, Jammerbugt",SF,56
"Morten Nørgaard Hald, Brønderslev",Venstre,56
"Børge Bondeven Frederiksen, Skagen",Enhedslisten,55
"Frederik Asgeir Berg, Aalborg",Radikale,53
Anne V. Lauritsen,L,52
"Palle L. Nielsen, Jammerbugt",Konservative,52
"Marie Wandel, Frederikshavn",Radikale,51
"Hans Jørgen Nygaard, Frederikshavn",Radikale,51
"John Søndergaard, Frederikshavn",Enhedslisten,49
"Johnny Christensen, Nibe",Dansk Folkeparti,49
Johnni Winther,Moderaterne,48
"Bjarne B. Madsen, Frederikshavn",Konservative,47
"Rikke Pedersen, Aalborg",Konservative,47
"Annemette Chemnitz Eilers, Brønderslev",Enhedslisten,45
Jesper Riis Hansen,L,44
"Kristina Johansen, Brønderslev",SF,44
"Mai Jensen, Brønderslev",Enhedslisten,40
"Keld K. Kvist, Nørresundby",Radikale,39
Kent Budolfsen,Liberal Alliance,37
"Daniel  Svendsen, Hjørring",Radikale,37
Rikke Kirstine Lomholt,Moderaterne,36
"Frederik Storm, Aalborg",Danmarksdemokraterne,35
"Lene Burchardt, Aalborg",Konservative,34
"Jacob Conrad, Aars",Enhedslisten,34
"Sune Kragelund, Aalborg",Radikale,31
HP Beck,Liberal Alliance,29
"Lasse Mejer Petersen, Brønderslev",Enhedslisten,29
"Søren B. Andersen, Aalborg",Enhedslisten,24
"Per Salling, Jammerbugt",Danmarksdemokraterne,24
"Theis Magle, Hjørring",Radikale,24
"Christina Eilers, Brønderslev",Enhedslisten,24
"Charlotte Greibe, Hobro",Kristendemokraterne,23
John Bjerg,L,22
"Charlotte Holst Høybye, Jammerbugt",SF,20
"Hans Jørgen Kristensen, Kallerup",Radikale,18
Anita Storgaard,L,18
"Frede Hansen, Aalborg",Radikale,17
"Jørgen Ravn Christensen, Jammerbugt",Konservative,15
Frederik Blicher Pedersen,Liberal Alliance,15
"Magnus Rothmann, Aalborg",Kristendemokraterne,14
"Majbrit P. Rothmann, Aalborg",Kristendemokraterne,14
"Jørgen Bjerregaard, Brovst",Kristendemokraterne,14
Michel Thrysøe,Liberal Alliance,13
Marthin Stadsvold,L,13
Rasmus Tymm,Liberal Alliance,13
"Pernille Andreasen, Arentsminde",Enhedslisten,13
"Gorm Simonsen, Dronninglund",Radikale,12
Henrik Viholm,Liberal Alliance,11
Thomas Christiansen,Liberal Alliance,9
"Annegrete Jensen, Jammerbugt",Radikale,9
Asger Trier,L,9
Ronny Van Tieu,Liberal Alliance,8
