kandidat,parti,stemmer
"Niels Christian Dahl, Allerød",Socialdemokratiet,1285
"Line Andrup, Egedal",Socialdemokratiet,1251
"Lars Carstensen, Furesø",Konservative,1250
"Emilie U. Andersen-Ranberg, Hørsholm",Radikale,1226
"Liselott Blixt, Greve",N,1202
"Kim Hjerrild, Frederiksberg",Alternativet,1195
"Frederik Tuxen Bjerrum, Frederiksberg",Liberal Alliance,1187
"Bodil Kornbek, Lyngby-Taarbæk",Socialdemokratiet,1185
"Olaf Johansen, Slagelse",SF,1179
"Sara Smith Hald, Valby",Socialdemokratiet,1170
"Johannes Grand, Ballerup",Liberal Alliance,1153
"Håkon Nielsen, Rødovre",Socialdemokratiet,1150
"Michael Rask, Greve",Liberal Alliance,1136
"Mads Justsen, Gentofte",Venstre,1118
"Egil Hulgaard, Furesø",Konservative,1110
"Dorte Vilhelmsen, Herlev",Konservative,1083
"Søren Friis Trebbien, Hvidovre",Konservative,1039
Søren Lund Hansen,Dansk Folkeparti,1030
"Helene Vadsten, Sorø",Enhedslisten,1015
"Marianne Dithmer, Herlev",Enhedslisten,1006
"Brian Køster, Hvidovre",Radikale,1003
"Thomas Baark, Guldborgsund",Radikale,998
"Oruc Polat, Albertslund",Radikale,989
"Vibeke Grønbæk, Vordingborg",Radikale,967
"Thomas Garfort, Rønne",SF,964
"Flemming Sørensen, Holbæk",Liberal Alliance,958
"Jan Månsson, Sorø",Socialdemokratiet,952
"Camilla Sabroe Parbst, Roskilde",Konservative,944
"Victoria Helene Olsen, Roskilde",Konservative,932
"Line Krogh Lay, Stevns",Radikale,928
"Lisbeth Skov, Allerød",Venstre,925
"Lars Hoppe Søe, Næstved",Radikale,916
"Mogens Anneberg, Bornholm",Konservative,905
"Therese Hejnfelt, Frederikssund",Konservative,905
"Bob Richard Nielsen, Guldborgsund",Danmarksdemokraterne,856
"Lars Winther, Egedal",Liberal Alliance,850
"Jesper Adler, Vordingborg",Konservative,847
"Felex Pedersen, Odsherred",Socialdemokratiet,846
"Birgitte Neergaard-Kofod, Egedal",Konservative,829
Julie Jacobsen,Dansk Folkeparti,825
"Eva Larsen, Greve",SF,814
"Klaus Kristiansen, Lejre",Liberal Alliance,805
"Per Roswall, Gribskov",Venstre,779
"Freja Wirlander, Hvidovre",Radikale,773
"Christian Wegener Jørgensen, København",Enhedslisten,771
"Zishan Ali, Ballerup",Moderaterne,765
"Martin Buhl, Frederiksberg",Enhedslisten,753
"Peter la Cour, Hvidovre",Enhedslisten,752
"Bente Lerche-Thomsen, Guldborgsund",Enhedslisten,752
"Jonas Niemann, Gentofte",SF,751
"Claus Ljungberg Jørgensen, København",Venstre,749
"Marie Hansen, Kalundborg",Danmarksdemokraterne,748
"Ole Terkelsen, Valby",Socialdemokratiet,733
"Annelise Madsen, Ishøj",N,724
"Anna Spindler, Holbæk",Danmarksdemokraterne,722
"Mia Linda Møller, Næstved",Moderaterne,718
"Maria Katarina Nielsen, Frederikssund",Radikale,716
"Anders Medum Groth, Furesø",Radikale,714
"Christian Fink Elkjær, Rudersdal",Radikale,690
"Thomas Christophersen, Holbæk",Konservative,690
"Rikke Mortensen, Egedal",Radikale,683
Nana Harring,Dansk Folkeparti,683
"Thomas Skov Rasmussen, Egedal",Venstre,672
"Glenn Hansen, Vordingborg",Danmarksdemokraterne,667
"Celine Lind Jakobsen, Fredensborg",Konservative,664
"Simon Krabbe, Ballerup",Konservative,662
"Thue Christian Thann Nikolajsen, København NV",Enhedslisten,662
"Mette Bang Larsen, Frederiksberg",Enhedslisten,656
"Bente Abrahamsen, Faxe",Danmarksdemokraterne,655
"Mette Friis, Nyrup",Alternativet,652
"Jesper Tvilde, Fredensborg",Konservative,644
"Jacob Netteberg, Birkerød",Radikale,640
"Carsten Petersen, Sorø",Konservative,640
"Kristian Kirk Mailand, Bornholm",Radikale,638
Karen Esmark Hansen,T,637
"Niels Hörup, Solrød Strand",Venstre,635
"Vagn Kjær-Hansen, Brøndby",SF,633
"Jan Færch, Solrød",Konservative,625
"Mette Bram, Frederiksberg",Alternativet,617
Jette Juul,Dansk Folkeparti,612
"Sten Schmidl Søbjærg, Gribskov",Liberal Alliance,602
"Mikkel Krog, Lejre",Socialdemokratiet,592
"Jesper Hammer, Fredensborg",Venstre,591
