kandidat,parti,stemmer
"Dorthe le Fèvre, Ebeltoft",Konservative,755
"Mette Marie Thomsen, Holstebro",Venstre,754
"Bo Leander Gylling, Horsens",Danmarksdemokraterne,740
"Søren Møller Christensen, Dejbjerg",Liberal Alliance,736
"Rikke Christensen, Horsens Kommune",Radikale,732
"Thue Grum-Schwensen, Skive",SF,726
"Kasper Humle, Lemvig Kommune",Radikale,714
"Knud Nielsen, Herning",Dansk Folkeparti,713
"Peter Askjær, Samsø",Konservative,705
"Agnethe Clemmensen, Herning",Enhedslisten,699
"Thomas Kastrup Christensen, Aarhus",Dansk Folkeparti,687
"Steffen Jespersen, Horsens",Liberal Alliance,686
"Kenneth Storm, Aulum",Liberal Alliance,679
"Morten Ballegaard Sørensen, Randers",Konservative,668
"Lea Grey Haller, Åbyhøj",P,653
"Mathias Sikora, Aarhus Kommune",Radikale,628
"Sander Jensen, Aarhus",SF,626
"Diana Therese Mikkelsen, Norddjurs",Danmarksdemokraterne,624
"Thorbjørn Jacobsen, Struer",Liberal Alliance,621
"Peter Mousten, Skive",Dansk Folkeparti,621
"Kirstine Skjødt, Viborg",Konservative,610
"Ulrik Rasmussen, Syddjurs Kommune",SF,607
"Henrik Ræder Clausen, Aarhus",Dansk Folkeparti,607
"Morten Junget, Silkeborg Kommune",Radikale,598
"Aksel Rosager Johansen, Viborg",Enhedslisten,582
"Jytte Søgård Mikkelsen, Herning",SF,577
"Hans Bak, Holstebro",Liberal Alliance,577
"Emil M.D. Christensen, Aarhus",Venstre,573
"Carina Sarkkinen Jacobsen, Hedensted",SF,553
"Helle Nørgaard Lundsby, Skive",Enhedslisten,551
Lene Bach Nørgaard,Moderaterne,549
"Knud Schøler, Hinnerup",Konservative,544
"René Krongaard, Odder",Konservative,542
"Mikkel Sommer, Struer",Danmarksdemokraterne,541
"Simon Buus Olsen, Favrskov",Liberal Alliance,532
"Sebastian Halkjær-Grauert, Norddjurs",Liberal Alliance,532
"Søren Boel Olesen, Holstebro",Dansk Folkeparti,526
"Henrik Christiansen, Brande",Liberal Alliance,504
"Emilia M. Feldskov, Aarhus C",Konservative,500
"Tine Holm, Aarhus N",P,500
Søren Vanting,Moderaterne,499
"Bente Bjerremann Larsen, Syddjurs",Danmarksdemokraterne,499
"Jørgen Madsen, Silkeborg",Enhedslisten,487
"Jan Buus Larsen, Randers",Venstre,473
"Malthe Broe, Silkeborg",Venstre,471
"Esben Iversen, Rødkærsbro",Konservative,461
"John Haarup Laursen, Skanderborg",Danmarksdemokraterne,458
Poul Holm Christensen,Moderaterne,457
"Jette Tibert, Herning",Venstre,455
"Njord Fomsgaard Kvistgaard, Randers C",Socialdemokratiet,453
"Nanna Marie Muhlig, Aarhus",Venstre,432
"Marianne Bentsen, Holstebro",Enhedslisten,429
"Aksel Munch Søndergaard, Aarhus V",SF,427
"Claus Sørensen, Hedensted",Konservative,426
"Charlotte Mönniche, Skanderborg",Liberal Alliance,423
"Niels Voetmann Jepsen, Horsens Kommune",Radikale,421
"Mogens Bedsted, Odder",SF,416
"Tina Ostersen, Brande",Dansk Folkeparti,407
"Karl Højhus Jeppesen, Kibæk",Konservative,397
"Rasmus Bergholdt, Skanderborg Kommune",Radikale,393
"Tobias Daugaard, Løsning",Liberal Alliance,389
"Søren Wiese, Samsø",Venstre,384
"Esben Hedeager, Horsens",Konservative,384
"Søren Mikkelsen, Randers Kommune",Radikale,382
"Martin Vestergaard, Christiansbjerg",SF,374
"Arne V. Andersen, Ringkøbing",Liberal Alliance,371
"Ole Bøgh Vinther, Aarhus",Socialdemokratiet,344
"Jørgen Johannsen, Odder",Venstre,343
"Claus Pedersen, Ringkøbing-Skjern Kommune",Radikale,338
"Jan K. Pedersen, Hemmet",D,330
"Flemming Nielsen, Hadsten",Konservative,324
"Jimmi Elley Nielsen, Snejbjerg",Socialdemokratiet,322
"Henrik Qvist, Skanderborg",Enhedslisten,319
"Bent Jensen, Silkeborg",Venstre,318
"Peter Malbæk, Syddjurs",Liberal Alliance,312
"Lars Jensen, Løsning",Konservative,309
"Bjarke Jensen, Syddjurs Kommune",Radikale,307
Henrik Rejnholt Andersen,Moderaterne,293
"Dennis Munk Lionett, Randers",Enhedslisten,288
"Leif Gjørtz, Odder",Enhedslisten,287
"Frank Rune Kristensen Nielsen, Skanderborg",Dansk Folkeparti,285
"Ulrik Linvald, Ringkøbing-Skjern",Konservative,285
"Randi Lund Jepsen, Syddjurs",Enhedslisten,283
"Torben Krebs, Hadsten",Konservative,281
Birthe Harritz,Y,279
"Alice Holst Brask, Djursland",Konservative,279
"Jens Lindved, Århus",Enhedslisten,277
"Thomas Hammer-Jakobsen, Odder Kommune",Radikale,277
Jeppe von Berg,Moderaterne,273
"Jens Laursen-Schmidt, Struer",Konservative,266
"Jan Skat Riishøj, Østbirk",D,264
"Klavs Bryld, Grenaa",Enhedslisten,263
"Inge Jensen, Ringkøbing-Skjern",Kristendemokraterne,261
"Jensa Ottosdóttir, Randers",Kristendemokraterne,252
"Bjarne Linneberg, Skive",Konservative,251
"Emil Boost, Aarhus",R,231
"Søren Thomsen, Silkeborg",Enhedslisten,228
"Mikkel Dam Christensen, Holstebro",Venstre,226
"Kaj Meng Petersen, Ringkøbing-Skjern",Danmarksdemokraterne,225
"Steen Jonsson Agger, Aarhus Kommune",Radikale,224
"Colin Bradley, Lystrup",P,224
"Palle B. Rosenkilde, Aarhus",Kristendemokraterne,223
"Ronny Roy Nielsen, Hedensted Kommune",SF,222
Uffe Bie,Moderaterne,214
"John Madsen, Viborg",Venstre,214
"Brian Christensen, Lemvig",Kristendemokraterne,205
Søren Boje Arvidsen,Moderaterne,193
"Jytte Pedersen, Herning",D,190
"Henning Engelhardt Simonsen, Horsens",Danmarksdemokraterne,188
"Nilas Bay-Foged, Aarhus",Alternativet,182
"Thake Fogh Cordt, Favrskov",Enhedslisten,181
"Karina Dammand, Aarhus",R,176
"Jette Manthey Søgaard, Samsø",Enhedslisten,175
"Kasper Pagh, Horsens",Konservative,173
"Thor C. Jonasen, Aarhus N",Alternativet,170
"Tenna Duch Schaldemose, Aarhus C",Alternativet,166
"Claus Græsholm, Hedensted",Enhedslisten,163
"René Galsgaard, Holstebro",D,155
"Emil Karlebjerg, Aarhus N",Konservative,141
"Mads Damgaard Mortensen, Hedensted",Alternativet,137
"Kim Ries Jensen, Lemvig",Enhedslisten,137
"Morten Bak Josefsen, Aarhus",Venstre,136
"Steffen Søgaard, Randers",SF,132
