kandidat,parti,stemmer
"Lars E. Boesen, Middelfart",Radikale,57
"Henrik Sandholm, Vejle",Konservative,56
"John Rasmussen, Fredericia",Liberal Alliance,55
"Caroline Amena Lauritsen, Odense",Venstre,54
"Laurids Schack, Bramming",Venstre,53
"Helle Lausten, Aabenraa",Venstre,53
"Rune Bønnelykke, Vejle",Dansk Folkeparti,53
"Christopher Ammentorp, Vissenbjerg",Enhedslisten,52
"Carsten Sørensen, Odense",Dansk Folkeparti,52
"Michael Christensen, Aabenraa",SF,50
"Claus Bjørn Madsen, Vejle",Radikale,50
"Preben Steen, Vejle",Konservative,48
Andreas Lausen,Moderaterne,48
"Maria Dalum, Odense",Alternativet,47
"Bo Nielsen, Holsted",Alternativet,46
Christian Bjerre,Kristendemokraterne,44
"Ole Tyrsted Jørgensen, Nyborg",SF,44
"Michael Nielsen, Kerteminde",Konservative,42
"Anders Johansson, Svendborg",Konservative,42
"Christian Fini, Vejle",Liberal Alliance,41
"Bent Olsen, Nordfyn",SF,41
"Kim Andkjær Doberck, Kruså",Dansk Folkeparti,41
"Mikkel Fahlstrøm, Fanø",Enhedslisten,40
"Bo H. Hollænder, Bramming",Dansk Folkeparti,39
"Hanne Ringgaard Møller, Svendborg",Radikale,39
"Morten Pabst Petersen, Middelfart",Enhedslisten,39
"Agnete Fog, Tranekær",Radikale,38
"Zeb Meier Watz, Odense C",Radikale,38
"Coco Kjærgaard, Børkop",Alternativet,38
"Benedicte Wilson, Odense",Radikale,38
"Carsten Jäger, Otterup",Konservative,38
"Finn Hartvig Nielsen, Næsbyhoved Broby",Radikale,38
"Vivian Lindberg Larsen, Assens",Danmarksdemokraterne,37
"Astrid Fogh, Fredericia",Alternativet,37
"Hans-Christian Gjerlevsen, Aabenraa",Dansk Folkeparti,37
"Marc Dyhr Seremet-Bangert, Vojens",Liberal Alliance,36
"Ida Smed, Aabenraa",Danmarksdemokraterne,36
Bent Olsen,Moderaterne,36
"Emil Hoffmann Madsen, Fanø",Venstre,36
"Joacchim Brahtz, Faaborg",Konservative,35
"Thomas Søndergaard Ammons, Vejle",Enhedslisten,35
"Anna Mette Skov Borring, Årslev",Radikale,35
"Mads Holdgaard, Faaborg-Midtfyn",SF,34
"Emilie Haaning, Nyborg",Radikale,34
"Charlotte Aabye, Ærø",Danmarksdemokraterne,34
Dennis Soleymani,Moderaterne,33
Kamila Holt,Moderaterne,32
"Signe Vedersø Keldorff, Odense",Dansk Folkeparti,32
"Laurits Kaae, Vejle",SF,32
"Lars Kolling, Assens",Dansk Folkeparti,32
Hanna-Maria Lyng,Kristendemokraterne,30
"Victoria P. Jørgensen, Odense",Venstre,29
"Maria Weisbjerg, Faaborg",Dansk Folkeparti,29
Smita Salagare,Moderaterne,28
"Ivan Damsted, Assens",Socialdemokratiet,26
"Ole Dupont Kofod, Glamsbjerg",Alternativet,25
Karl Heinz Tønder,Kristendemokraterne,25
"Niels Jessen, Esbjerg",E,25
"Tobias Brus Mikkelsen, Sønderborg",Dansk Folkeparti,25
"Lars Mejsner, Middelfart",Danmarksdemokraterne,25
"Lars Olesen, Fredericia",SF,24
Bjarne Vium Mikkelsen,Kristendemokraterne,24
Evis Sadikaj,Moderaterne,24
"Liselotte Tranekær Fjellø-Jensen, Svendborg",Danmarksdemokraterne,24
"Bjarne Lund Henneberg, Tønder",SF,23
"Kent Larsen, Nyborg",Dansk Folkeparti,23
Kasper-Peder Von Bach,Moderaterne,23
Johannes Latter,Kristendemokraterne,22
"Carl Jørgen Heide, Ærø",Konservative,21
"Jeppe Mariager, Svendborg",Enhedslisten,20
"Frederik Edelskov, Sønderborg",Venstre,20
"Emely Wind Thomsen, Gråsten",Dansk Folkeparti,20
"Annemette Leth Nielsen, Kværndrup",Enhedslisten,20
"Ole Holm Petersen, Ærø",Venstre,20
"Ken Guldberg Jespersen, Kerteminde",Venstre,19
Allan Sørensen,Moderaterne,18
"John Hyrup Jensen, Sønderborg",SF,18
Andreas Simonsen Sinding,Moderaterne,18
Anders Friis Knudsen,Kristendemokraterne,17
"Pernille Mai Brylle, Tønder",Dansk Folkeparti,17
"Hans Biering Fonsbøl, Vejle",Alternativet,17
"Daniel Juhl, Faaborg-Midtfyn",Danmarksdemokraterne,17
"Lars Findsen, Nyborg",Danmarksdemokraterne,17
Hans-Jørgen Jagd,Moderaterne,17
Maria Falk Røjsmose,Moderaterne,16
Steen Bjerregaard Jørgensen,Kristendemokraterne,16
"Bodil Lilliegaard, Rudkøbing",Dansk Folkeparti,16
Bjarne Block,Moderaterne,16
Baltser Andersen,R,15
"Kim Lei-Jensen, Odense",Radikale,15
"Simon Nyborg Jensen, Odense",Alternativet,15
Poul Harald Holm,Kristendemokraterne,14
"Arne Raaballe, Vejle",Danmarksdemokraterne,14
"Dorthe Mehlberg, Sønderborg",Danmarksdemokraterne,13
Niclas Aarestrup,Kristendemokraterne,13
Margit Lund-Cramer,Kristendemokraterne,13
Christian Træholt,R,13
Ida Lildballe,Moderaterne,13
Thue Uhre Lauridsen,Moderaterne,13
"Thomas Skov Jensen, Odense",Enhedslisten,12
"Allan Svendsen, Tønder",Dansk Folkeparti,12
Simon Lavdal,Kristendemokraterne,12
"Birthe Oesterling Andersen, Løjt Kirkeby",Enhedslisten,11
"Jan Strandhave, Svendborg",Venstre,11
"Marianne Jäger, Nørre Højrup",Dansk Folkeparti,10
"Martin Ludvigsen, Kerteminde",Danmarksdemokraterne,10
"Jesper Mayerhofer, Odense",SF,10
"Arne Otto Ditlevsen, Kerteminde",Danmarksdemokraterne,9
"Preben Rasmussen, Aabenraa",Enhedslisten,9
"Arne Bo Nissen, Odense",Danmarksdemokraterne,9
"Julie Bruus Jensen, Odense",Venstre,9
Jørgen Steen Hansen,Moderaterne,9
"Natascha Strüwing, Tønder",Dansk Folkeparti,9
"Tonny Stenkilde, Vissenbjerg",Konservative,8
"Lone Kiilerich, Kerteminde",Dansk Folkeparti,8
"Eva Terndrup, Lindelse",Dansk Folkeparti,8
"Jette Julius Kristiansen, Aabenraa",Dansk Folkeparti,7
"Kjeld Jeggesen, Fredericia",Danmarksdemokraterne,7
Troels Lillegaard,R,7
Karl Peter Warming,Moderaterne,6
Michael Lund Markussen,Kristendemokraterne,6
"Lisa Jonasson, Sønderborg",Venstre,6
"Noah B. Bandholm, Vejle",Venstre,6
"Dirk Müller, Bogense",Enhedslisten,5
Joakim Viborg Olesen,Kristendemokraterne,5
"Ronald Kongstad, Fredericia",Danmarksdemokraterne,5
Ole J. J. Jensen,Moderaterne,5
"Stefan Göttler, Svendborg",Radikale,5
Preben Thorsen,Moderaterne,5
