kommune,kommune_dagi_id,frigivelsestidspunkt,opdateringstidspunkt,valgforbund_navn,kandidatliste_id,valgforbund_partier,valgforbund_partibogstav
Vejle,389177,2025-10-06 10:03:56,2025-10-06 10:03:56,2,"['18e546db-1d52-403a-a083-423cc726b338', 'aeb4c977-0936-4e10-84c2-8752517f042f', 'e48516f9-d16e-4798-a7f5-0c4570a9f363']","['SF - Socialistisk Folkeparti', 'Enhedslisten - De Rød-Grønne', 'Kommunistisk Parti']","['F', 'Ø', 'R']"
Mariagerfjord,389202,2025-10-06 10:10:58,2025-10-06 10:10:58,"Valgforbund - A, F, Å","['65e2879d-6cd9-43a7-af8a-7578a75b3ca9', '8469bd63-7023-4abb-9ba4-ee490b9863ba', 'cf5fc68d-d612-497b-a8e3-8e00c5d7eda1']","['Alternativet', 'SF - Socialistisk Folkeparti', 'Socialdemokratiet']","['Å', 'F', 'A']"
Mariagerfjord,389202,2025-10-06 10:10:58,2025-10-06 10:10:58,"Valgforbund - C, I, K, O, V, Æ","['247a7dbe-cb28-470a-96e1-4055693a8caa', '29dbccb2-5474-47cf-bd58-c22a4fc3d934', '6952f78e-9212-4189-aef1-633ae00df550', '915ebfb4-aff1-43a7-9db8-aa238fd0fe22', 'd9003947-f4bd-4e1c-8df6-e135024ee141', 'debdea80-7f92-4b26-a393-ab0923089aa4']","['Danmarksdemokraterne - Inger Støjberg', 'Liberal Alliance', 'Dansk Folkeparti', 'Det Konservative Folkeparti', 'Venstre, Danmarks Liberale Parti', 'KD - Kristendemokraterne']","['Æ', 'I', 'O', 'C', 'V', 'K']"
Rudersdal,389127,2025-10-06 11:04:31,2025-10-06 11:04:31,V4,"['157ef614-e49d-4099-9594-08c8e9610dea', '6e7b759b-8ab0-4877-98c3-8d6ae51e08b0']","['Enhedslisten - De Rød-Grønne', 'Alternativet']","['Ø', 'Å']"
Rudersdal,389127,2025-10-06 11:04:31,2025-10-06 11:04:31,V2,"['5deb70fc-e7c8-4487-a36f-751db93c4a1a', 'a2365794-6469-4d5c-8ca0-f61bd1aed675']","['Liberal Alliance', 'Dansk Folkeparti']","['I', 'O']"
Rudersdal,389127,2025-10-06 11:04:31,2025-10-06 11:04:31,V1,"['723432e1-d52a-4061-b4d0-9c1e7c70034a', 'c1fb94e9-0786-444d-af30-7d30a9156ae5', 'fbb24a6e-2a9d-4c81-9ad0-5dab9b22115b']","['Radikale Venstre', 'SF - Socialistisk Folkeparti', 'Lokallisten']","['B', 'F', 'L']"
Rudersdal,389127,2025-10-06 11:04:31,2025-10-06 11:04:31,V3,"['2d40a359-902a-4589-97d5-cfc83fd09042', 'fe108212-a4aa-4b5b-a398-b44c83340c6c']","['Moderaterne', 'Det Konservative Folkeparti']","['M', 'C']"
Frederikssund,389130,2025-10-06 12:02:09,2025-10-06 12:02:09,"Valgforbund: Danmarksdemokraterne - Inger Støjberg, Dansk Folkeparti, Det Konservative Folkeparti, Liberal Alliance og Venstre - Danmarks Liberale Parti","['446ecbd0-5259-4451-b8ad-356aeb38900c', '4834e6ad-9c91-4182-8c37-3f08ebf8c342', '58f7b6f0-f031-45a2-84f6-7ac34bc7199f', 'cae3d6c8-1f50-4549-9a04-7bbe45ff58f2', 'efba674f-0599-4521-bb4e-363072f66063']","['Det Konservative Folkeparti', 'Danmarksdemokraterne - Inger Støjberg', 'Liberal Alliance', 'Venstre, Danmarks Liberale Parti', 'Dansk Folkeparti']","['C', 'Æ', 'I', 'V', 'O']"
Frederikssund,389130,2025-10-06 12:02:09,2025-10-06 12:02:09,Valgforbund: Moderaterne og Radikale Venstre,"['1e70cde5-3e1c-413a-9d23-4321c95924bd', '59e1e754-2384-4e5a-997e-8b94a992246a']","['Moderaterne', 'Radikale Venstre']","['M', 'B']"
Frederikssund,389130,2025-10-06 12:02:09,2025-10-06 12:02:09,"Valgforbund: Alternativet, Enhedslisten - De Rød-Grønne, SF - Socialistisk Folkeparti og Socialdemokratiet","['50bbc6ff-a1ca-40e4-aa23-b136f0ef7074', '597ea140-7e4e-43ac-963c-03a5e4e364ca', 'be51c4bd-f875-4dfc-9ade-9ad1a902f992', 'c84c0771-cfba-4394-bfe7-cd9be1c3e189']","['Enhedslisten - De Rød-Grønne', 'Socialdemokratiet', 'Alternativet', 'SF - Socialistisk Folkeparti']","['Ø', 'A', 'Å', 'F']"
