kommune,kommune_dagi_id,frigivelsestidspunkt,opdateringstidspunkt,valgforbund_navn,kandidatliste_id,valgforbund_partier,valgforbund_partibogstav
Glostrup,389110,2025-10-06 11:25:49,2025-10-06 11:25:49,"Valgforbund: U, Æ","['9ca822c8-18b2-4fd9-acfc-7f56c831eef7', 'af95af6d-ea76-4f93-9de3-b419ebc4e581']","['Danmarksdemokraterne - Inger Støjberg', 'Bylisten']","['Æ', 'U']"
Glostrup,389110,2025-10-06 11:25:49,2025-10-06 11:25:49,"Valgforbund: A, M","['91447bb4-f309-4ade-942b-ba86875d52f0', 'bbf08fdb-cbfb-44ee-b311-226d91c01e73']","['Socialdemokratiet', 'Moderaterne']","['A', 'M']"
Glostrup,389110,2025-10-06 11:25:49,2025-10-06 11:25:49,"Valgforbund: C, D","['4cab312c-d68c-4a47-8940-84c84c6b80ac', 'd7b1371a-9d27-4d4a-b259-42609245502e']","['Nye Borgerlige', 'Det Konservative Folkeparti']","['D', 'C']"
Aalborg,389206,2025-10-06 13:23:49,2025-10-06 13:23:49,BFØÅ,"['872e6002-f7f5-4591-b49f-1c641c465b5e', '97701cef-7cac-421b-99b6-aa3b6ee7cdf9', 'bf3ba328-7e2c-42cf-beb3-d1055ddb686a', 'df80902a-dbd8-49eb-9a0e-e3b4e73c980b']","['SF - Socialistisk Folkeparti', 'Radikale Venstre', 'Enhedslisten - De Rød-Grønne', 'Alternativet']","['F', 'B', 'Ø', 'Å']"
Aalborg,389206,2025-10-06 13:23:49,2025-10-06 13:23:49,AM,"['9b0256f6-e280-4e79-8d70-1537d459c442', 'b3b4d33b-17aa-4b87-aad9-5b7e8fb7f5a8']","['Moderaterne', 'Socialdemokratiet']","['M', 'A']"
Aalborg,389206,2025-10-06 13:23:49,2025-10-06 13:23:49,CIKOVÆ,"['9f996cf1-dd2e-4c6a-93fd-10f28c5e1241', 'a1f01be5-d52d-4009-9f59-eb91a4742908', 'ae179066-c652-4e61-8a96-5d14ae9661a8', 'b957ed96-f6d2-4bfb-bb03-b4ed2d1d4d8f', 'd71f684a-7cc8-40a7-bf83-96af8fcc43e3', 'ee522a92-2ff7-4c20-8f70-35c405f7227a']","['Liberal Alliance', 'Kristendemokraterne', 'Dansk Folkeparti', 'Venstre, Danmarks Liberale Parti', 'Danmarksdemokraterne - Inger Støjberg', 'Det Konservative Folkeparti']","['I', 'K', 'O', 'V', 'Æ', 'C']"
Læsø,389203,2025-10-06 11:03:16,2025-10-06 11:03:16,L-V-Æ,"['5edc04a6-bbf7-4ba9-b5b4-5c0141dceefa', '9aa6a365-4dd1-4542-95e3-477017bf6258', 'cae45565-a850-4027-a3c6-d2f563e0578f']","['Venstre, Danmarks Liberale Parti', 'Læsø Borgerliste', 'Danmarksdemokraterne - Inger Støjberg']","['V', 'L', 'Æ']"
Nordfyns,389163,2025-10-06 10:43:31,2025-10-06 10:43:31,Valgforbund 3,"['3b3f00ee-288e-4f33-9599-aa66aabd52d3', '43bfbdc0-a7b1-44fb-974d-8d078e980a3e', 'aab929e8-d7a8-45c2-aef2-1339a4052463']","['Dansk Folkeparti', 'Danmarksdemokraterne', 'Venstre']","['O', 'Æ', 'V']"
Nordfyns,389163,2025-10-06 10:43:31,2025-10-06 10:43:31,Valgforbund 1,"['1a019e10-147b-4e2e-a5e1-939300fb93d1', 'e47a6001-30a4-4465-8916-5aac4b197bb9']","['Liberal Alliance', 'Det Konservative Folkeparti']","['I', 'C']"
Nordfyns,389163,2025-10-06 10:43:31,2025-10-06 10:43:31,Valgforbund 2,"['47b0515a-1f15-4576-bb48-932c6aea73e7', '6261698d-e780-4b54-ab20-b3ea768dd173', 'eacf68dc-28e8-4565-bfb2-b6e287fa2658']","['Socialistisk Folkeparti - SF', 'Radikale Venstre', 'Enhedslisten']","['F', 'B', 'Ø']"
Favrskov,389188,2025-10-06 10:01:25,2025-10-06 10:01:25,VF2,"['9a05a8f0-c867-41a5-a866-225069c59419', 'bc3fd319-761a-402e-bc5c-db75a31060aa', 'e5c336cb-9fe8-4b5f-b3c1-b906a64f7be3', 'f1a2c587-3777-4ddb-8f13-85d01998d2f1']","['SF - Socialistisk Folkeparti', 'Alternativet', 'Radikale Venstre', 'Enhedslisten - De Rød-Grønne']","['F', 'Å', 'B', 'Ø']"
Favrskov,389188,2025-10-06 10:01:25,2025-10-06 10:01:25,VF1,"['3c1bb563-565d-4f19-8993-c5cbe2566ad3', '408f0425-f3b6-4fc3-bdd6-2f257e9181a8', 'ce888947-65d2-463d-b432-5efcfd65a0a2', 'e7728c11-4b54-4400-b2d2-43ac8247fb9f', 'f0661158-14c3-4d17-93f1-858d1d197704']","['Dansk Folkeparti', 'Liberal Alliance', 'Venstre, Danmarks Liberale Parti', 'Danmarksdemokraterne - Inger Støjberg', 'Det Konservative Folkeparti']","['O', 'I', 'V', 'Æ', 'C']"
Odder,389189,2025-10-06 11:37:21,2025-10-06 11:37:21,Valgforbund 1,"['44a5cbec-b71a-4fda-bf6e-0c6ab9f137e6', '770ca116-c7fc-4576-a492-c79cbd97b359', 'b1d1194b-8b9b-42dd-be34-aeb180a19522', 'b2382ca9-779a-49fe-ae8c-d41e994e3143', 'fab3e07c-ebaf-4410-ac1a-ac1473acbde7']","['Enhedslisten - De Rød-Grønne', 'Socialdemokratiet', 'Moderaterne', 'SF - Socialistisk Folkeparti', 'Radikale Venstre']","['Ø', 'A', 'M', 'F', 'B']"
Odder,389189,2025-10-06 11:37:21,2025-10-06 11:37:21,Valgforbund 2,"['00ae965f-ec45-4e9a-92e8-4e70e0e3aa6a', '61e95bc0-d7d8-49ad-a07a-3308cd3dea2a', '7737dbee-8e88-44e2-be6a-0d78c5ae5df2']","['Det Konservative Folkeparti', 'Liberal Alliance', 'Venstre, Danmarks Liberale Parti']","['C', 'I', 'V']"
Rudersdal,389127,2025-10-06 14:51:31,2025-10-06 14:51:31,V2,"['55537781-d5a8-4da4-95aa-4cab3850c7f9', '33fcba7c-cd75-4a69-8bc5-f4c9b0474129']","['Liberal Alliance', 'Dansk Folkeparti']","['I', 'O']"
Rudersdal,389127,2025-10-06 14:51:31,2025-10-06 14:51:31,V4,"['f5645ac9-bd36-4394-a674-27df12cf6340', 'd5e4e6a2-1bb8-456b-a284-9bb3254ab1fe']","['Alternativet', 'Enhedslisten - De Rød-Grønne']","['Å', 'Ø']"
Rudersdal,389127,2025-10-06 14:51:31,2025-10-06 14:51:31,V1,"['2186fe32-0a81-435c-8574-3af5c7b3d857', '5fc0308c-9156-4dd9-976a-971af2470517', 'a8a662d2-3d20-4764-b38a-93ebba71d230']","['Lokallisten', 'SF - Socialistisk Folkeparti', 'Radikale Venstre']","['L', 'F', 'B']"
Rudersdal,389127,2025-10-06 14:51:31,2025-10-06 14:51:31,V3,"['e8b6ebe3-3a2c-40a9-b530-0e1c01ea9203', '74516599-a442-4094-a3f1-de3fe1847fab']","['Det Konservative Folkeparti', 'Moderaterne']","['C', 'M']"
Vallensbæk,389120,2025-10-06 10:29:00,2025-10-06 10:29:00,VF2,"['01ff9aa2-f540-4a15-a476-2557528ee403', 'b6135211-0e2f-4037-8c41-95cdf74843cd', 'cba6a9c1-dc34-4229-908a-a2088941d58d']","['Dansk Folkeparti', 'Venstre, Danmarks Liberale Parti', 'Liberal Alliance']","['O', 'V', 'I']"
Vallensbæk,389120,2025-10-06 10:29:00,2025-10-06 10:29:00,VF1,"['167f8474-e8e9-4709-af52-3f902306f19b', 'd43840c6-862c-432f-b845-936c7c6efc1c']","['Enhedslisten - De Rød-Grønne', 'SF - Socialistisk Folkeparti']","['Ø', 'F']"
Fanø,389171,2025-10-06 14:01:09,2025-10-06 14:01:09,Valgforbund A - F - Å,"['9d635460-664a-4dbf-9006-e30d90b429cb', 'c27b3395-41ce-417c-bcb9-fcd5aecc66a5', 'ee1b51ba-c025-4256-91db-1fdd53813996']","['Socialdemokratiet', 'SF - Socialistisk  Folkeparti', 'Alternativet']","['A', 'F', 'Å']"
Fanø,389171,2025-10-06 14:01:09,2025-10-06 14:01:09,Valgforbund B - L - Ø,"['38907ec5-d0dc-4751-877e-0aee2f8ec731', '5c721195-eff8-4bce-9d50-5fd057d2998a', '68b52751-1283-43df-80a9-ee90f397bab8']","['Fanø Borgerliste', 'Enhedslisten - De Rød-Grønne', 'Radikale Venstre']","['L', 'Ø', 'B']"
Hørsholm,389126,2025-10-06 10:06:12,2025-10-06 10:06:12,VF1: Det Konservative Folkeparti & Moderaterne,"['20d80ebb-6ec8-43e0-8040-ad5d77db13a2', 'bca16dde-160c-4afe-b666-60a41a79c2f5']","['Moderaterne', 'Det Konservative Folkeparti']","['M', 'C']"
Hørsholm,389126,2025-10-06 10:06:12,2025-10-06 10:06:12,VF5: Socialdemokratiet & SocialKonservative,"['aca9c4c8-f9e2-448e-87ce-eccd6ff95806', 'f81ca84d-d6d5-43f8-a515-f33d629e881b']","['Socialdemokratiet', 'SocialKonservative']","['A', 'Q']"
Hørsholm,389126,2025-10-06 10:06:12,2025-10-06 10:06:12,"VF2: Liberal Alliance & Venstre, Danmarks Liberale Parti","['43fb0535-f4bd-4f3d-9713-f712c24e039b', 'f5e23636-705b-4a38-b79a-184e1181b1e0']","['Venstre, Danmarks Liberale Parti', 'Liberal Alliance']","['V', 'I']"
Hørsholm,389126,2025-10-06 10:06:12,2025-10-06 10:06:12,VF3: Listen Anne Ehrenreich & Borgerlisten Hørsholm,"['6fad85fe-35d0-46c5-aa2a-ea5f0eceff52', 'a60014ef-9156-4795-8ed3-d135cfde830e']","['Listen Anne Ehrenreich', 'Borgerlisten Hørsholm']","['E', 'T']"
Hørsholm,389126,2025-10-06 10:06:12,2025-10-06 10:06:12,VF4: Radikale Venstre & SF - Socialistisk Folkeparti,"['35aa30a5-2854-423c-be20-d9031389ffd8', 'ea01e826-45b3-476e-bda9-6e46b5057826']","['SF - Socialistisk Folkeparti', 'Radikale Venstre']","['F', 'B']"
Slagelse,389144,2025-10-07 06:30:00,2025-10-07 06:30:00,"C, I, V, Æ","['30908b84-284b-4b7b-9c1e-36297233f7a8', '96cb6c68-354f-4c09-a4d3-9d1a6d20edff', 'c27c1488-eb1f-4f7f-ade8-e7e36c768af2', 'c8f614f9-9309-422b-a769-eed99c28f84f']","['Det Konservative Folkeparti', 'Liberal Alliance', 'Danmarksdemokraterne', 'Venstre']","['C', 'I', 'Æ', 'V']"
Slagelse,389144,2025-10-07 06:30:00,2025-10-07 06:30:00,"A, F","['965c4ac8-427d-444d-ab26-a6ae88d64107', 'e3ed8246-f0d1-4a6d-8c00-09910080e1f0']","['Socialistisk Folkeparti', 'Socialdemokratiet']","['F', 'A']"
Slagelse,389144,2025-10-07 06:30:00,2025-10-07 06:30:00,"B, L, T","['16bd0bc7-c0fa-40cf-9f14-7e8a5b576c80', '8394f1af-7924-4106-9ace-e57e1f199737', 'c090d6e0-f057-4928-924c-0bc153306f97']","['Storebæltslisten', 'Radikale Venstre', 'Trelleborglisten']","['L', 'B', 'T']"
Vejen,389174,2025-10-06 10:33:31,2025-10-06 10:33:31,Valgforbund BOV,"['4c2c726c-f3f5-4d9b-a03c-a85807e9a295', '605f202b-a2bc-458b-9a68-a2c88e89e72d', 'f856a95c-ab8f-4a02-99ed-5cfb3fcc08d4']","['Det Radikale Venstre', 'Venstre, Danmarks Liberale Parti', 'Dansk Folkeparti']","['B', 'V', 'O']"
Vejen,389174,2025-10-06 10:33:31,2025-10-06 10:33:31,Valgforbund AFMÅ,"['1449b089-fb60-4125-9c7b-ebf9436ab629', '67af087d-0761-4771-a08e-0e24ba98d1cb', '8c781604-f08a-488f-9224-57443d7972fc', 'f82e2e59-5420-4863-8a30-eb5bf4064a58']","['Moderaterne', 'Socialdemokratiet', 'Socialistisk Folkeparti', 'Alternativet']","['M', 'A', 'F', 'Å']"
Vejen,389174,2025-10-06 10:33:31,2025-10-06 10:33:31,Valgforbund CIÆ,"['5e09f3c3-2c25-4bf9-9082-3682539c9a82', '767559fd-f748-4629-a239-e6e58d2cbb45', 'c768da36-a535-4c38-b61a-0b404eaa8937']","['Det Konservative Folkeparti', 'Danmarksdemokraterne - Inger Støjberg', 'Liberal Alliance']","['C', 'Æ', 'I']"
Allerød,389121,2025-10-06 10:36:45,2025-10-06 10:36:45,"Forbund med A, B, F og Ø","['6b7e5089-50bb-42c0-80c7-e8cab04fdc30', 'bed72a2a-6774-4ce8-bfa9-cf9e69332894', 'c2220453-b161-4e09-ace9-ca255e595bf0', 'ecb64f32-a4a8-49ed-b35f-cad667593f5e']","['SF - Socialistisk Folkeparti', 'Radikale Venstre', 'Enhedslisten - De Rød-Grønne', 'Socialdemokratiet']","['F', 'B', 'Ø', 'A']"
Allerød,389121,2025-10-06 10:36:45,2025-10-06 10:36:45,"Valgforbund med I, O og U","['00b112ce-3ce0-44e6-a30c-dd457840bdca', '9100ca09-03c4-40af-ba6b-396812495d77', 'cab75600-dd2d-447a-a1e0-1e8e73e88c6f']","['Allerød Listen', 'Dansk Folkeparti', 'Liberal Alliance']","['U', 'O', 'I']"
Allerød,389121,2025-10-06 10:36:45,2025-10-06 10:36:45,Valgforbund med M og V,"['597c834f-def8-4ab3-badc-da33303e99f4', 'e196504b-ef26-4787-a40e-05c289b9307a']","['Venstre, Danmarks Liberale Parti', 'Moderaterne']","['V', 'M']"
Viborg,389196,2025-10-06 11:11:47,2025-10-06 11:11:47,VF1,"['60b5e258-da9f-409f-a164-6fb921ce8c0d', '6c01d7ad-eeaf-4a40-8c26-0cc52e0d2982']","['Venstre, Danmarks Liberale Parti', 'Moderaterne']","['V', 'M']"
Viborg,389196,2025-10-06 11:11:47,2025-10-06 11:11:47,VF5,"['ced91779-197c-4dc3-940a-db7156644590', '3d4e994b-7535-4f5b-b0dd-df31515c61a9']","['Enhedslisten - De Rød-Grønne', 'SF - Socialistisk Folkeparti']","['Ø', 'F']"
Viborg,389196,2025-10-06 11:11:47,2025-10-06 11:11:47,VF2,"['7d93f931-30d7-490b-a630-9cee3e052f2d', '491d9623-9098-4f71-9f9e-8d93b14fdcfd', '68ba99a5-df91-4b9d-82f8-14acf3ecedec']","['Alternativet', 'Kristendemokraterne', 'Radikale Venstre']","['Å', 'K', 'B']"
Viborg,389196,2025-10-06 11:11:47,2025-10-06 11:11:47,VF3,"['563d28c3-f1e4-4608-92de-f69a76c3cf99', '8076c6a3-a2b7-4dfb-a5a8-89f9d4d13620', 'd44cf727-3df8-4715-ae6a-cb8d8eb07aaa']","['Dansk Folkeparti', 'Det Konservative Folkeparti', 'Liberal Alliance']","['O', 'C', 'I']"
Viborg,389196,2025-10-06 11:11:47,2025-10-06 11:11:47,VF4,"['046358c6-d662-4d08-b0f5-301a85e959b7', 'd5d1b208-f3bb-4216-b4fe-9380800f115d']","['Danmarksdemokraterne - Inger Støjberg', 'Velfærdsdemokraterne']","['Æ', 'Y']"
Kolding,389176,2025-10-06 12:00:24,2025-10-06 12:00:24,V2,"['34520d5e-bada-4e26-a837-6152eaa7e1cc', '8c793aa3-1605-4800-a5af-a699b3e6b544', '9d85371a-4e0e-474d-b372-5acd60fa7094', 'c64a2d75-c21e-4df8-84ce-587bd1089841']","['Dansk Folkeparti', 'Moderaterne', 'Venstre, Danmarks Liberale Parti', 'Borgernes Lokal Liste']","['O', 'M', 'V', 'J']"
Kolding,389176,2025-10-06 12:00:24,2025-10-06 12:00:24,V1,"['06dcb027-1e7f-4559-b679-3c60d5c083fe', '2e672c82-7327-4dba-a835-378825213a9b', '4b91e7d6-496e-4765-88cd-c294374bdb20', 'c5ac4090-ffc1-40a9-8379-a17d37044d35']","['Enhedslisten - De Rød-Grønne', 'SF - Socialistisk Folkeparti', 'Socialdemokratiet', 'Radikale Venstre']","['Ø', 'F', 'A', 'B']"
Kolding,389176,2025-10-06 12:00:24,2025-10-06 12:00:24,V3,"['742ce5a2-d8e3-4d40-9c62-e6b5baa4f966', '96353f4e-dac5-423b-b3be-e4faf2178ccf', 'a6e6733b-c353-4f25-bb2f-1c3b8f276d61', 'b0915fcc-00b1-4dc5-a6e6-f0149157a2b3']","['Kristendemokraterne', 'Det Konservative Folkeparti', 'Liberal Alliance', 'Danmarksdemokraterne - Inger Støjberg']","['K', 'C', 'I', 'Æ']"
Lolland,389150,2025-10-06 10:23:01,2025-10-06 10:23:01,VF2,"['86cccf54-8efb-44a3-90cb-77f8fa957202', '8e240e39-7eac-46ca-80cc-6237e1b57a07', '93a7790b-91dc-4968-a2f6-21b30efd9617']","['Danmarksdemokraterne - Inger Støjberg', 'Det Konservative Folkeparti', 'Liberal Alliance']","['Æ', 'C', 'I']"
Lolland,389150,2025-10-06 10:23:01,2025-10-06 10:23:01,VF1,"['863e0efc-b9dd-4b77-86fd-f9f352e756e4', 'c8891430-76f4-4f56-971a-c8f07a854f45']","['Socialistisk Folkeparti', 'Socialdemokratiet']","['F', 'A']"
Lolland,389150,2025-10-06 10:23:01,2025-10-06 10:23:01,VF4,"['c1b094dc-2446-4cdc-ba66-701cead48e67', 'c5e30f68-cc4c-4405-9fa6-083f639a0b21']","['Vestlolland', 'Enhedslisten - De Rød-Grønne']","['D', 'Ø']"
Lolland,389150,2025-10-06 10:23:01,2025-10-06 10:23:01,VF3,"['5e8bb39a-0519-4401-8566-acd9639c22b4', '7770ef6c-0f37-4819-a3d3-12c26b150ce6']","['Radikale Venstre', 'Venstre, Danmarks Liberale Parti']","['B', 'V']"
Lejre,389146,2025-10-06 10:05:27,2025-10-06 10:05:27,Valgforbund 3,"['11427de9-b784-4161-a0de-7cf3f4be8304', '16ded358-ccad-47bb-9ad7-4eacd0ec98bc', '49ae6263-9e82-413f-8275-595867291c94', '883c5cdf-44d5-4d17-92fc-449885ab00f4', 'bdb0312b-10d1-4321-98b5-24bec237d45a']","['Moderaterne', 'Danmarksdemokraterne - Inger Støjberg', 'Det Konservative Folkeparti', 'Liberal Alliance', 'Dansk Folkeparti']","['M', 'Æ', 'C', 'I', 'O']"
Lejre,389146,2025-10-06 10:05:27,2025-10-06 10:05:27,Valgforbund 1,"['032aaff8-53df-41e8-b866-f92931d84556', '08e3dd8c-d1ab-40de-a3dd-77a9c26868a2']","['Radikale Venstre', 'Venstre, Danmarks Liberale Parti']","['B', 'V']"
Lejre,389146,2025-10-06 10:05:27,2025-10-06 10:05:27,Valgforbund 2,"['066e0850-77f9-4e5c-861a-4f898271a043', '187ca99b-3be4-43c3-a87c-5b8472cf4ffe', '945482a9-feda-4249-9937-a7f0f55e40af', 'aab82477-82ff-4c55-8bc9-17ab7baa625c']","['Alternativet', 'Enhedslisten', 'Socialdemokratiet', 'SF - Socialistisk Folkeparti']","['Å', 'Ø', 'A', 'F']"
Stevns,389147,2025-10-06 10:42:00,2025-10-06 10:42:00,Valgforbund 1,"['2ddf8a6e-8126-4947-8558-765e704a320c', '77dee41a-d869-4204-b28f-b80cc26e0987', '7f6b450c-5944-4146-8709-62a81fce62a7', '9310d299-b374-41ab-8234-47537aca4544', 'b483eefb-2fb6-465a-a8a2-8738026b95ed']","['Liberal Alliance', 'Danmarksdemokraterne - Inger Støjberg', 'Det Konservative Folkeparti', 'Dansk Folkeparti', 'Moderaterne']","['I', 'Æ', 'C', 'O', 'M']"
Stevns,389147,2025-10-06 10:42:00,2025-10-06 10:42:00,Valgforbund 2,"['161e6ba1-33d4-4f97-91e3-074ce6760778', 'b91a6b19-3daa-45ab-92a9-4e0a0774b5bf', 'ee05b1e2-107a-4b58-ac3e-70656d09728f', 'f4354591-79bf-403a-8adb-6ade83b36814']","['SF - Socialistisk Folkeparti', 'Enhedslisten - De Rød-Grønne', 'Alternativet', 'Radikale Venstre']","['F', 'Ø', 'Å', 'B']"
Rebild,389204,2025-10-07 07:28:37,2025-10-07 07:28:37,ALR,"['e4ac1929-70b8-4ed5-865c-f0fead84102a', 'f5ec1157-26e2-4c37-b2d8-72bc84d299e8', 'f92b3e56-efac-4ee6-ab69-0b44cc91c6bf']","['Rebild Listen', 'Den Sociale Fællesliste', 'Socialdemokratiet']","['R', 'L', 'A']"
Rebild,389204,2025-10-07 07:28:37,2025-10-07 07:28:37,COVÆ,"['4f49e654-9ee6-411c-b70b-8f5672b8a8e9', 'ba1876d2-a00e-47c0-8bb9-77f4be7382d5', 'e9d6cdb5-b312-48a8-a1cd-a773b8a1a2d2', 'fcc0af90-6919-4e5c-a956-0297f6d296fc']","['Det Konservative Folkeparti', 'Venstre, Danmarks Liberale Parti', 'Dansk Folkeparti', 'Danmarksdemokraterne - Inger Støjberg']","['C', 'V', 'O', 'Æ']"
Rebild,389204,2025-10-07 07:28:37,2025-10-07 07:28:37,BFØ,"['85c797a1-0db5-4ed1-81fc-74319246976b', 'e639370d-0827-4632-ac03-02a2fbfe3d4d', 'e680d821-0a69-4bed-9902-fa3b97f47b1f']","['Radikale Venstre', 'Enhedslisten - De Rød-Grønne', 'SF - Socialistisk Folkeparti']","['B', 'Ø', 'F']"
Herning,389181,2025-10-06 10:12:43,2025-10-06 10:12:43,F og Ø,"['d6f3e8cf-8514-4592-b7a7-1f91fe3e4847', 'edba6a2c-8f32-4af6-a119-cc46e2531d7d']","['Enhedslisten', 'Socialistisk Folkeparti']","['Ø', 'F']"
Herning,389181,2025-10-06 10:12:43,2025-10-06 10:12:43,A og L,"['6ae17215-16a1-489f-9bc9-27d77c621126', 'e5eb84ad-d925-4ab1-b2b6-581c5330acd3']","['Borgerlisten', 'Socialdemokratiet']","['L', 'A']"
Herning,389181,2025-10-06 10:12:43,2025-10-06 10:12:43,"B, M og V","['4eebb95f-2f51-4880-ba21-a4384a79759b', '930bd7ef-26b4-4941-a34e-01d5b5e81198', 'fbd30483-a73f-4230-801b-7f19d29e3675']","['Moderaterne', 'Venstre, Danmarks Liberale Parti', 'Radikale Venstre']","['M', 'V', 'B']"
Herning,389181,2025-10-06 10:12:43,2025-10-06 10:12:43,"C, D, I, K, O og Æ","['096495b2-70bc-4414-8352-181716157821', '0b767041-8789-49f7-9e25-a8c7ff2eeac8', '3f0637d4-d57c-4bab-9dd2-bae73c4e8084', '5a57a7e2-8228-4102-b09e-e4437b83be9d', '65edba45-8ee8-45b1-a144-f28c9cefa2d7', 'ddff3428-8e1c-4582-b954-1f482ec2ca6b']","['KristenDemokraterne', 'Liberal Alliance', 'Danmarksdemokraterne - Inger Støjberg', 'Nye Borgerlige', 'Det Konservative Folkeparti', 'Dansk Folkeparti']","['K', 'I', 'Æ', 'D', 'C', 'O']"
Hillerød,389125,2025-10-06 10:13:43,2025-10-06 10:13:43,Socialdemokratiet og Radikale Venstre,"['8837dfbc-a0e4-4ea5-84da-3b017f9fa58c', '9797d677-451f-4534-8aff-3e43b8f9fac4']","['Socialdemokratiet', 'Radikale Venstre']","['A', 'B']"
Hillerød,389125,2025-10-06 10:13:43,2025-10-06 10:13:43,SF - Socialistisk Folkeparti og Enhedslisten - De rød-grønne,"['8a90d816-1bef-45a4-aa34-27136713d2bc', 'f04d2e7a-36d3-4c50-a152-16cd19480d99']","['Enhedslisten - De rød-grønne', 'SF - Socialistisk Folkeparti']","['Ø', 'F']"
Hillerød,389125,2025-10-06 10:13:43,2025-10-06 10:13:43,"Det Konservative Folkeparti,  Liberal Alliance, Dansk Folkeparti, Venstre, Danmarks Liberale Parti og Danmarksdemokraterne - Inger Støjberg","['09ce82d4-f815-485b-b072-66e10b4e8079', '2cf898dc-1e49-4a4c-88d4-6c7a80cac73b', '401b5726-7f26-4ff6-8af3-3249511e2e6f', 'ca5f9c70-aeb6-422f-8375-a02111136944', 'e08903a1-bee6-428b-940a-9fbdfdcacf99']","['Liberal Alliance', 'Dansk Folkeparti', 'Danmarksdemokraterne - Inger Støjberg', 'Det Konservative Folkeparti', 'Venstre, Danmarks Liberale Parti']","['I', 'O', 'Æ', 'C', 'V']"
Skive,389195,2025-10-06 10:00:58,2025-10-06 10:00:58,III. Radikale Venstre og Skive-Listen,"['9498e8ac-b0ba-4ba9-b7a0-15fb5b71e60e', 'eb35d546-15eb-4442-9105-f09058a378bb']","['Radikale Venstre', 'Skive-Listen']","['B', 'L']"
Skive,389195,2025-10-06 10:00:58,2025-10-06 10:00:58,II. SF - Socialistisk Folkeparti og Enhedslisten - De Rød-Grønne,"['79ec896c-fa2e-4f63-990f-168595ca5ba5', 'ccd9d4ae-66cc-447d-b2bc-64930f730c70']","['SF - Socialistisk Folkeparti', 'Enhedslisten De Rød-Grønne']","['F', 'Ø']"
Skive,389195,2025-10-06 10:00:58,2025-10-06 10:00:58,"I.  Det Konservative Folkeparti, Liberal Alliance, Dansk Folkeparti og Danmarksdemokraterne - Inger Støjberg","['5d553002-900e-45c8-9949-1bdbfd205821', '702fd0db-a3f7-4dd5-837c-3df3113876b8', 'b1615734-cd1f-4128-8c81-e500475c92e8', 'bc4b2a46-ff1d-4fe6-9738-9f0430745e18']","['Det Konservative Folkeparti', 'Dansk Folkeparti', 'Danmarksdemokraterne - Inger Støjberg', 'Liberal Alliance']","['C', 'O', 'Æ', 'I']"
Skive,389195,2025-10-06 10:00:58,2025-10-06 10:00:58,IV. Socialdemokratiet og Moderaterne,"['0542961c-a737-44a8-8570-e1c621138349', 'f30616ba-24b3-4da4-ac6c-c28d93f58b7a']","['Moderaterne', 'Socialdemokratiet']","['M', 'A']"
Tårnby,389119,2025-10-07 06:50:18,2025-10-07 06:50:18,V3,"['2c0a929f-ce8c-424a-95e5-bee13db368cc', '3f4cb3d9-85b2-49fc-bf87-6203144e3119', '87d82df2-bc9a-42f6-be7b-e84cad266d58', 'c38f0a83-7c1b-48ac-b7cb-f0d9007b261e', 'ce992143-f886-4c9c-9e4b-9f96337ba57c', 'ec5611ae-0daa-431c-ba18-da5a7e7f289c']","['Venstre, Danmarks Liberale Parti', 'Moderaterne', 'Dansk Folkeparti', 'Danmarksdemokraterne - Inger Støjberg', 'Det Konservative Folkeparti', 'Liberal Alliance']","['V', 'M', 'O', 'Æ', 'C', 'I']"
Tårnby,389119,2025-10-07 06:50:18,2025-10-07 06:50:18,V1,"['13fe17b9-2dc2-42dd-a458-709c58fe0e1f', '334f1242-0047-4983-b48a-3ce5b9c7027b']","['Velfærdslisten', 'Socialdemokratiet']","['E', 'A']"
Tårnby,389119,2025-10-07 06:50:18,2025-10-07 06:50:18,V2,"['2600d689-807e-4b03-af7b-dc8abc3c02a0', '6ec26b22-860e-4876-9f3f-b1a5b2e2d07e', 'ee027c6a-bba0-41be-a702-73b0fa2113ab']","['Radikale Venstre', 'SF - Socialistisk Folkeparti', 'Enhedslisten - De Rød-Grønne']","['B', 'F', 'Ø']"
Norddjurs,389187,2025-10-06 11:23:19,2025-10-06 11:23:19,VF1,"['257e29d3-437a-40be-8758-0e61ed6974bf', '271e3be6-01b7-48ba-98e1-4e84e1d020e2', '33275641-6b44-4643-9e3a-b5b8e6d8368e', '89e21075-6d34-40aa-a720-ddbbbcbdc0ed', 'ea4e2a54-1b5b-4a0a-b381-b47bee7b9f1a']","['Danmarksdemokraterne - Inger Støjberg', 'Dansk Folkeparti', 'Venstre, Danmarks Liberale Parti', 'Det Konservative Folkeparti', 'Liberal Alliance']","['Æ', 'O', 'V', 'C', 'I']"
Norddjurs,389187,2025-10-06 11:23:19,2025-10-06 11:23:19,VF2,"['03a36edf-9598-4156-81c3-c6ffe52bf8fa', '3c19e38b-024b-4c7a-9a92-f89630aca839', '59fe3c33-d19c-49e1-a891-f82eb5a82cda', 'fda48f42-a259-45d7-8f77-be71ef7d7451']","['Natur- og Velfærdslisten', 'Socialdemokratiet', 'Enhedslisten - De Rød-Grønne', 'SF - Socialistisk Folkeparti']","['N', 'A', 'Ø', 'F']"
