kandidat,parti,kommune,stemmer
Signe Vedersø Keldorff,Dansk Folkeparti,Odense Kommune,1996
Klaus Flæng,Socialdemokratiet,Holstebro Kommune,1992
Jakob Spliid,Venstre,Sorø Kommune,1973
Frank Schmidt-Hansen,Konservative,Vejen Kommune,1972
Jesper Würtzen,Socialdemokratiet,Ballerup Kommune,1971
Matilde Dueholm,Socialdemokratiet,Aarhus Kommune,1970
Birgitte Munk Grunnet,Socialdemokratiet,Kolding Kommune,1966
Steffen Drejer,Konservative,Viborg Kommune,1934
Jørgen Nielsen,Konservative,Langeland Kommune,1931
Leif Skaarup,Socialdemokratiet,Mariagerfjord Kommune,1919
Marlene Ambo-Rasmussen,Venstre,Odense Kommune,1919
Isabella Heilmann,Enhedslisten,Aarhus Kommune,1915
Jesper Kjeldsen,Socialdemokratiet,Aarhus Kommune,1909
Stephanie Storbank,Venstre,Billund Kommune,1902
Torben Froberg Poulsen,Venstre,Aalborg Kommune,1896
Thomas Lykke Pedersen,Socialdemokratiet,Fredensborg Kommune,1895
Mette Landtved-Holm,Venstre,Nordfyns Kommune,1888
Kenneth Sørensen,Venstre,Næstved Kommune,1879
Kathrine Frøhlich,SF,Silkeborg Kommune,1875
Michael Nedersøe,Dansk Folkeparti,Horsens Kommune,1872
Paw Karslund,Dansk Folkeparti,Tårnby Kommune,1865
Ole Bondo Christensen,Socialdemokratiet,Furesø Kommune,1861
Ulla Vestergaard,Socialdemokratiet,Thisted Kommune,1833
Michael Nielsen,Konservative,Kerteminde Kommune,1830
Christopher Røhl,Radikale,Københavns Kommune,1806
Karsten Søndergaard,Venstre,Egedal Kommune,1794
Karoline Lindgaard,Alternativet,Københavns Kommune,1793
Evald Lange Rise,Socialdemokratiet,Aalborg Kommune,1771
Maja Højgaard,Socialdemokratiet,Brøndby Kommune,1737
Mikael Simonsen,Liberal Alliance,Aalborg Kommune,1736
Søren Kusk,Socialdemokratiet,Aalborg Kommune,1711
Johannes Lundsfryd Jensen,Socialdemokratiet,Middelfart Kommune,1702
Mads Panny,Socialdemokratiet,Viborg Kommune,1698
Rasmus Brandstrup Larsen,Venstre,Holbæk Kommune,1692
Jens Dahlgaard,Socialdemokratiet,Morsø Kommune,1684
Henrik Rasmussen,Konservative,Vallensbæk Kommune,1682
Anne Honoré Østergaard,Venstre,Aalborg Kommune,1680
Kristian Pihl,Venstre,Silkeborg Kommune,1658
Martin Ravn,Venstre,Horsens Kommune,1657
Laura Holm,Konservative,Mariagerfjord Kommune,1647
Peter Lindholt,Danmarksdemokraterne,Aalborg Kommune,1638
Serdal Benli,SF,Gladsaxe Kommune,1636
Lone Jakobi,Socialdemokratiet,Odder Kommune,1635
Anne Madsen,Socialdemokratiet,Sorø Kommune,1624
Astrid Søborg,Venstre,Gladsaxe Kommune,1618
Christina Foldager,Konservative,Kolding Kommune,1598
Anne Heeager,Radikale,Skanderborg Kommune,1592
Mette Kristensen,Venstre,Svendborg Kommune,1592
Lea F. Poulsen,Radikale,Herning Kommune,1591
Christina Falkberg,Radikale,Gladsaxe Kommune,1577
Iben Lehmann Rasmussen,SF,Kolding Kommune,1575
Erling Bonnesen,Venstre,Faaborg-Midtfyn Kommune,1568
Martin Jakobsen,Konservative,Silkeborg Kommune,1565
Martin Christensen,Venstre,Aarhus Kommune,1560
Jørn Chemnitz,SF,Kolding Kommune,1555
Anne Sofie Stjernholm,Socialdemokratiet,Vejle Kommune,1551
Anders Møllegård,Venstre,Middelfart Kommune,1542
Kjeld Stærk,Venstre,Sønderborg Kommune,1540
Thomas Nicolaisen,Radikale,Odsherred Kommune,1534
Gitte Henriksen,SF,Odsherred Kommune,1534
Vicky Holst Rasmussen,Socialdemokratiet,Egedal Kommune,1532
Sara Bek,SF,Vejle Kommune,1532
Anette Poulsen,Socialdemokratiet,Aarhus Kommune,1531
Cecilie Lindahl,Radikale,Lyngby-Taarbæk Kommune,1530
Mads Engelund Larsen,Dansk Folkeparti,Esbjerg Kommune,1513
Morten Slotved,Konservative,Hørsholm Kommune,1512
Cecilie Roed Schultz,Enhedslisten,Fredericia Kommune,1511
Jakob Bille,Liberal Alliance,Horsens Kommune,1503
Henning Urban Dam,Socialdemokratiet,Stevns Kommune,1499
Nicolaj Aarøe,Konservative,Esbjerg Kommune,1493
Lotte Friis Böing,Konservative,Aarhus Kommune,1492
Lars Carstensen,Konservative,Furesø Kommune,1488
Lars Scheby,Venstre,Faaborg-Midtfyn Kommune,1475
Nicolai Bechfeldt,Venstre,Furesø Kommune,1473
May-Britt Andrea Andersen,Konservative,Esbjerg Kommune,1472
Kenneth Krog,Venstre,Holstebro Kommune,1469
Christoffer Buster Reinhardt,Konservative,Rudersdal Kommune,1464
Mikkel B. Dam,Liberal Alliance,Faxe Kommune,1460
Mikkel Bjørn,Dansk Folkeparti,Københavns Kommune,1459
Jesper Skov Mikkelsen,Venstre,Mariagerfjord Kommune,1458
Didde Lauritzen,Socialdemokratiet,Sønderborg Kommune,1458
Anita Uggerholt Eriksen,T,Tønder Kommune,1454
Tina Beck-Nilsson,Socialdemokratiet,Kalundborg Kommune,1449
Jakob Helles,Liberal Alliance,Vordingborg Kommune,1449
Bettina Bøcker Kjeldsen,Socialdemokratiet,Brønderslev Kommune,1446
Bjarke Abel,Socialdemokratiet,Greve Kommune,1441
Albert Rosenkrantz Conradsen,SF,Aarhus Kommune,1421
Kristian Hald,E,Kerteminde Kommune,1398
Shukri Hamda Dol,Enhedslisten,Københavns Kommune,1398
Sandie Eis Ravn,Socialdemokratiet,Varde Kommune,1396
Lars Aslan Rasmussen,Socialdemokratiet,Københavns Kommune,1393
Michael Christensen,Liberal Alliance,Aarhus Kommune,1390
Signe Nøhr,Konservative,Vesthimmerlands Kommune,1381
Kim Jepsen,Socialdemokratiet,Skive Kommune,1376
Marie-Louise Brehm Nielsen,J,Lolland Kommune,1376
Rosa Sulaiman,Socialdemokratiet,Aalborg Kommune,1359
Helene Brochmann,SF,Gentofte Kommune,1352
Diane Aarestrup,Socialdemokratiet,Jammerbugt Kommune,1343
Mette Ahm-Petersen,Socialdemokratiet,Ringsted Kommune,1329
Camilla Eva Hallenberg,Venstre,Vejle Kommune,1317
Rune Bønnelykke,Dansk Folkeparti,Vejle Kommune,1309
Signe Haahr Lindegaard,Enhedslisten,Silkeborg Kommune,1306
Søren Lerche,SF,Hillerød Kommune,1305
Søren Revsbæk,Liberal Alliance,Næstved Kommune,1301
Astrid Recinella,G,Gribskov Kommune,1298
Karin Schwartz,Socialdemokratiet,Esbjerg Kommune,1297
Kasper Schneider,Liberal Alliance,Næstved Kommune,1296
Claus Behrendsen,Radikale,Vejle Kommune,1295
Ole Vive,Venstre,Faxe Kommune,1288
Mark Grossmann,Venstre,Odense Kommune,1279
John Larsen,Socialdemokratiet,Odsherred Kommune,1278
Mads Thomsen,Socialdemokratiet,Odense Kommune,1275
Rune Lyager,L,Ikast-Brande Kommune,1274
Søren Stavnskær,Danmarksdemokraterne,Holbæk Kommune,1271
Jesper Greth,Venstre,Rebild Kommune,1269
Kim Kliver,Venstre,Solrød Kommune,1265
Sofie Mosgaard,Venstre,Odense Kommune,1261
Muuse Cali,Radikale,Odense Kommune,1261
