kandidat,parti,kommune,stemmer
Maha Gilani,Radikale,Brøndby Kommune,295
Kevin Alex Rasmussen,Enhedslisten,Guldborgsund Kommune,295
Sarah Nørris,Enhedslisten,Esbjerg Kommune,294
Amalie Kallesøe Bergholdt,Socialdemokratiet,Middelfart Kommune,294
Thomas Majgaard Byrsing,Danmarksdemokraterne,Kolding Kommune,293
Anette Hyre-Jensen,Socialdemokratiet,Fredericia Kommune,293
Linda Kofoed Persson,Konservative,Bornholms Regionskommune,293
Peter Adolfsen Løhmann,Socialdemokratiet,Aarhus Kommune,293
Nina Strøm Tønnes,Socialdemokratiet,Høje-Taastrup Kommune,293
Emil Larsen,Konservative,Stevns Kommune,293
Clara Rao,Venstre,Allerød Kommune,293
Lisbeth Straarup,Danmarksdemokraterne,Billund Kommune,293
Thomas Huge,Venstre,Guldborgsund Kommune,293
Claus Beck,Liberal Alliance,Aalborg Kommune,292
Janus Kyhl,Konservative,Helsingør Kommune,292
Niels Søren Rasmussen,Venstre,Syddjurs Kommune,292
Kurt Scheelsbeck,Konservative,Høje-Taastrup Kommune,292
Annette Jensen,Venstre,Hjørring Kommune,292
Marianne Olsen,Socialdemokratiet,Næstved Kommune,292
Kari Astrid Thynebjerg,SF,Furesø Kommune,292
Emilie U. Andersen-Ranberg,Radikale,Hørsholm Kommune,291
Lars Søndergaard,Venstre,Fredensborg Kommune,291
Kasper Vindbjerg,SF,Norddjurs Kommune,291
Sif Thomsen,Socialdemokratiet,Holbæk Kommune,291
Felex Pedersen,Socialdemokratiet,Odsherred Kommune,291
Signe Thy Thomsen,SF,Favrskov Kommune,291
Peter Poulsen,Venstre,Norddjurs Kommune,290
Alex Haurand,SF,Kerteminde Kommune,290
Lene Ladegaard,Venstre,Vesthimmerlands Kommune,290
Jens Dissing Odgaard,Venstre,Lyngby-Taarbæk Kommune,289
Tina Agergaard Hansen,Venstre,Varde Kommune,289
Stefan Karlborg,Venstre,Hjørring Kommune,289
Poul Kristensen,Socialdemokratiet,Faaborg-Midtfyn Kommune,288
Frank Rune Kristensen Nielsen,Dansk Folkeparti,Skanderborg Kommune,288
Susanne Olander,Socialdemokratiet,Thisted Kommune,288
Leif Curdes,Slesvigsk Parti,Sønderborg Kommune,288
Rasmus Hebsgaard,Konservative,Ikast-Brande Kommune,288
Sine Reffstrup,Socialdemokratiet,Ringsted Kommune,288
Lise Tønner,L,Gladsaxe Kommune,288
Mustafa Diken,Venstre,Svendborg Kommune,288
Ulla Flintholm,Venstre,Jammerbugt Kommune,288
Yildiz Akdogan,Socialdemokratiet,Københavns Kommune,288
Fritz Birk Sørensen,Socialdemokratiet,Norddjurs Kommune,288
Bodil Pedersen,Socialdemokratiet,Holstebro Kommune,287
Glenn Lundt,Venstre,Kolding Kommune,287
Gunnar Lisby Kjær,Venstre,Lemvig Kommune,287
Ole Wessung,Konservative,Hørsholm Kommune,287
Jakob Riddersholm,Danmarksdemokraterne,Billund Kommune,287
Joakim Rex Blankschøn,Socialdemokratiet,Næstved Kommune,287
Jette Jacobsen,Venstre,Haderslev Kommune,287
Mads Cort,Liberal Alliance,Svendborg Kommune,286
René Schneider,Konservative,Favrskov Kommune,286
Niels Bjerre Degn,Socialdemokratiet,Furesø Kommune,286
Sebastian Bærnthsen,Venstre,Bornholms Regionskommune,286
Tina Ostersen,Dansk Folkeparti,Ikast-Brande Kommune,286
Anders Bo Jørgensen,J,Lolland Kommune,286
Søren B. Scott,Alternativet,Københavns Kommune,286
Lone Mortensen,Venstre,Greve Kommune,286
Mona Musse,Enhedslisten,Ringsted Kommune,285
Susanne Marianne Møller,Danmarksdemokraterne,Frederikshavn Kommune,285
Johnny B. L. Dahlgaard,Venstre,Ringsted Kommune,285
Peter Ravn,Socialdemokratiet,Syddjurs Kommune,284
Henrik Madsen,Konservative,Kerteminde Kommune,284
Monika Karpinska Dollerup,Konservative,Tårnby Kommune,284
Lars Kjærhus,Venstre,Billund Kommune,284
Otto Madsen,Dansk Folkeparti,Ishøj Kommune,284
Ulrik Appel,Enhedslisten,Aalborg Kommune,284
Ole Roed,Liberal Alliance,Hillerød Kommune,283
Benny Bindslev,Danmarksdemokraterne,Tårnby Kommune,283
Nicklas Verne,Konservative,Viborg Kommune,282
Jimmi Krøyer,Socialdemokratiet,Faaborg-Midtfyn Kommune,282
Peter Malbæk,Liberal Alliance,Syddjurs Kommune,282
Poul Holm Christensen,Moderaterne,Aarhus Kommune,282
Frederik Dehlholm,Enhedslisten,Gentofte Kommune,282
Brian Mørch,Danmarksdemokraterne,Solrød Kommune,282
Edris Qasimi,Radikale,Sorø Kommune,282
Bo Ritterbusch,Liberal Alliance,Mariagerfjord Kommune,282
Aladdin Yildirim,Konservative,Ringsted Kommune,282
Jørgen Franck,Enhedslisten,Gladsaxe Kommune,282
Ole Steen Hansen,Socialdemokratiet,Fredericia Kommune,282
Markus Zhen Wei Jin,Venstre,Furesø Kommune,281
Linda Frederiksen,Socialdemokratiet,Næstved Kommune,281
Bjarne Lund Henneberg,SF,Tønder Kommune,281
Ozan Yücelbas,Venstre,Horsens Kommune,281
Erik Back,Konservative,Aarhus Kommune,281
Michael Najbjerg Jakobsen,Venstre,Herning Kommune,280
Jonas Helgesen,Socialdemokratiet,Ringsted Kommune,280
Palle Dahl,Danmarksdemokraterne,Fredericia Kommune,280
Johnny Beck,Socialdemokratiet,Vejle Kommune,280
Martin Vendel Nielsen,Konservative,Lyngby-Taarbæk Kommune,280
Jens Friis Felber,Venstre,Haderslev Kommune,280
Claus Hjort,Liberal Alliance,Greve Kommune,279
Mads Sejbjerg Middelhede,SF,Silkeborg Kommune,279
Lasse Schmücker,Enhedslisten,Middelfart Kommune,279
Casper Larsen,Socialdemokratiet,Holbæk Kommune,279
Thomas Spange Olsen,Enhedslisten,Faxe Kommune,279
Leif Utermöhl,L,Lolland Kommune,279
Julie Skov Kjærby,Konservative,Odense Kommune,279
Peter Skriver Nielsen,Socialdemokratiet,Thisted Kommune,279
Carsten Nielsen,Socialdemokratiet,Fredensborg Kommune,279
Mia Tang,Konservative,Dragør Kommune,278
Sidse G. Vangsted,Socialdemokratiet,Syddjurs Kommune,278
Børge Egebak,Danmarksdemokraterne,Frederikshavn Kommune,278
Bo Leander Gylling,Danmarksdemokraterne,Horsens Kommune,278
Erik Lorenz,Enhedslisten,Herning Kommune,278
Erik Lorenzen,Socialdemokratiet,Sønderborg Kommune,277
Anette Fynbo Blem,T,Solrød Kommune,277
Thake Fogh Cordt,Enhedslisten,Favrskov Kommune,277
Jacob Bjørnskov Nielsen,Socialdemokratiet,Middelfart Kommune,277
Per Carøe,Venstre,Rudersdal Kommune,277
Christoffer Rüsz,Socialdemokratiet,Aalborg Kommune,276
Søren Brenøe,Radikale,Bornholms Regionskommune,276
Jørgen Smed,Venstre,Haderslev Kommune,276
Michael Melchert,Liberal Alliance,Albertslund Kommune,276
Harun Avdal,Socialdemokratiet,Helsingør Kommune,276
Rico Carlsen,Venstre,Næstved Kommune,276
Ulla Hardy-Hansen,E,Fredensborg Kommune,275
Henriette Toftegaard,Konservative,Odder Kommune,275
Morten Høgh,Venstre,Vesthimmerlands Kommune,275
Allan Tirsgaard,Konservative,Faxe Kommune,275
Suzan Daoud,Socialdemokratiet,Fredensborg Kommune,275
Harry Voigt,Danmarksdemokraterne,Varde Kommune,274
Annette Raaschou van der Star,Socialdemokratiet,Sorø Kommune,274
Anette Jensen Smith,Alternativet,Mariagerfjord Kommune,274
Tom Hartvig Nielsen,Socialdemokratiet,Sønderborg Kommune,274
Jesper Højmark Esbensen,Konservative,Sønderborg Kommune,274
Oguzcan Yüksel,Socialdemokratiet,Høje-Taastrup Kommune,274
Jørn Poulsen,Venstre,Billund Kommune,274
Jonas Anhøj Henriksen,L,Kalundborg Kommune,274
Bo Buchreitz,SF,Aarhus Kommune,273
Rud Larris,Enhedslisten,Aarhus Kommune,273
Kurt Johansen,Venstre,Viborg Kommune,273
Noor Meng,Venstre,Esbjerg Kommune,273
Thomas Kristensen,Venstre,Ikast-Brande Kommune,272
Lars Appel,Liberal Alliance,Silkeborg Kommune,272
Tobias Brus Mikkelsen,Dansk Folkeparti,Sønderborg Kommune,272
Casper Strunge,Konservative,Lyngby-Taarbæk Kommune,272
Kassandra Hansen,Socialdemokratiet,Gentofte Kommune,272
Henrik Pihl Jessen,Venstre,Vejen Kommune,272
Harun Muharemovic,Socialdemokratiet,Brøndby Kommune,272
Charlotte Hvid Gregersen,Liberal Alliance,Silkeborg Kommune,271
Laura Rosenvinge,Socialdemokratiet,Københavns Kommune,271
Karen Østergaard,Socialdemokratiet,Mariagerfjord Kommune,271
Frederik Brix Pedersen,SF,Hillerød Kommune,271
Jacob Dahl,Danmarksdemokraterne,Horsens Kommune,271
Mads-Magnus Dam,Dansk Folkeparti,Tønder Kommune,271
Nikolaj Lykke Vad,Socialdemokratiet,Kalundborg Kommune,271
Stine Østlund,Konservative,Hillerød Kommune,271
Laurits Monefeldt,Konservative,Vordingborg Kommune,270
Richard Sandbæk,Konservative,Lyngby-Taarbæk Kommune,270
Martin Lønborg,Liberal Alliance,Tårnby Kommune,270
Martin Barfoed,Konservative,Rudersdal Kommune,270
Carsten Zacho,Liberal Alliance,Brøndby Kommune,270
Jørgen Christiansen,Venstre,Skive Kommune,270
Mikkel Skovby,L,Albertslund Kommune,270
Carsten Fuhr,Konservative,Tårnby Kommune,270
Marie Holmgaard,Liberal Alliance,Nordfyns Kommune,270
Tine Grau Poulsen,Venstre,Assens Kommune,270
Daniel Irvold,Radikale,Vordingborg Kommune,269
Michael Buch-Barnes,Socialdemokratiet,Brøndby Kommune,269
Betina Asbæk,Moderaterne,Gentofte Kommune,269
Gert Bækgaard,Venstre,Ikast-Brande Kommune,269
Henrik Ræder Clausen,Dansk Folkeparti,Aarhus Kommune,269
Niels Peter Giliamsen,L,Rebild Kommune,269
Lotte Stoltenborg,L,Ikast-Brande Kommune,269
Peder Månsson,L,Faaborg-Midtfyn Kommune,269
Lennarth Hansen,Venstre,Kolding Kommune,269
Tanja Bachmann Hansen,Socialdemokratiet,Vejen Kommune,269
Bertram Fosnæs,Enhedslisten,Aarhus Kommune,268
Per Kragelund,Venstre,Mariagerfjord Kommune,268
Bjarne Larsen,Venstre,Billund Kommune,268
Winnie Nielsen,Socialdemokratiet,Viborg Kommune,268
Sebastian Bloch Jensen,SF,Bornholms Regionskommune,268
Michael Christensen,Konservative,Faxe Kommune,268
Mark Nathansen,Radikale,Lyngby-Taarbæk Kommune,268
Ricky Roy Nielsen,SF,Vejle Kommune,268
Liv Gam,T,Tårnby Kommune,268
Jan Andersen,Venstre,Mariagerfjord Kommune,268
Anne Vejrum,Venstre,Brønderslev Kommune,267
Thomas Hjorth Rasmussen,Socialdemokratiet,Ishøj Kommune,267
Jacob Uglebjerg,U,Odense Kommune,267
Carsten Kruuse,Liberal Alliance,Aarhus Kommune,267
Henning Jørgensen,SF,Brønderslev Kommune,266
Manuel Vigilius,Konservative,Hillerød Kommune,266
Ditlev Friderichsen,Konservative,Lolland Kommune,266
Murat Kütük,Socialdemokratiet,Ishøj Kommune,266
Jakob Venø Heiwald,Danmarksdemokraterne,Vejle Kommune,266
Sabrina Bech Bartholin,E,Esbjerg Kommune,266
Gregers Frederiksen,Venstre,Skive Kommune,266
Michael Kristensen,Socialdemokratiet,Samsø Kommune,266
Dan Skovlyst,Danmarksdemokraterne,Herning Kommune,266
Rikke Fonnesbæk,Socialdemokratiet,Mariagerfjord Kommune,266
Trine Gaarde Dahlberg,SF,Vejle Kommune,266
Kasper Nygaard,Moderaterne,Sorø Kommune,265
Tine Toft,SF,Varde Kommune,265
Michala Beier Kjeldsen,Radikale,Gribskov Kommune,265
Vicki Munksgaard,Danmarksdemokraterne,Lemvig Kommune,265
Marianne Dræby Zuccarello,Socialdemokratiet,Lemvig Kommune,265
Bente Abrahamsen,Danmarksdemokraterne,Faxe Kommune,265
Knud Knudsen,Venstre,Lolland Kommune,265
Kristian Olesen,Liberal Alliance,Viborg Kommune,264
Michael Svarrer,SF,Gribskov Kommune,264
Peter Munch,Venstre,Faxe Kommune,263
Jonathan Kristensen,SF,Egedal Kommune,263
Lesia Havryliuk,Socialdemokratiet,Vesthimmerlands Kommune,263
Bjarne Nielsen,Liberal Alliance,Stevns Kommune,262
Klaus Bach,Socialdemokratiet,Tårnby Kommune,262
Jane Grøn,Socialdemokratiet,Mariagerfjord Kommune,262
Mads Brodersen,SF,Middelfart Kommune,262
Jim Zakaria,Dansk Folkeparti,Vejen Kommune,262
Brian Nielsen,T,Thisted Kommune,261
Christian Skou Larsen,SF,Vallensbæk Kommune,261
Simon Knudstrup,SF,Ballerup Kommune,260
Maria Grøndahl,SF,Rødovre Kommune,260
Max Schmeling,R,Rebild Kommune,260
Martin Rosenkilde,SF,Rudersdal Kommune,260
Michelle Sundahl,Dansk Folkeparti,Viborg Kommune,260
Henrik Bang,Enhedslisten,Lyngby-Taarbæk Kommune,260
Lars Møller,Socialdemokratiet,Norddjurs Kommune,260
Eva Birch Christensen,Enhedslisten,Vordingborg Kommune,259
Jesper Elbæk,Danmarksdemokraterne,Skive Kommune,259
Eva Carlslund,Socialdemokratiet,Odder Kommune,259
Jytte Schmidt,SF,Norddjurs Kommune,259
Bo Jakobsen,Radikale,Nordfyns Kommune,259
Klaus Rafael Jensen,Konservative,Odder Kommune,259
Jeanette Sagan,Konservative,Rebild Kommune,259
Emil Viskum,Enhedslisten,Høje-Taastrup Kommune,259
Teit Andersen,Konservative,Gentofte Kommune,259
Martin Risgaard,Moderaterne,Aarhus Kommune,259
Julie Kleis,Liberal Alliance,Næstved Kommune,258
Daniel Frigast,Konservative,Gribskov Kommune,258
Kasper B. G. Lauritsen,Socialdemokratiet,Holstebro Kommune,258
Thomas Les Rasmussen,Socialdemokratiet,Rudersdal Kommune,258
Tim Christensen,Socialdemokratiet,Stevns Kommune,258
Jannie Boysen Westergaard,Konservative,Haderslev Kommune,258
Malene Søndergaard Nyby,Venstre,Morsø Kommune,258
Poul Erik Kjær,Venstre,Tønder Kommune,258
Brian M. Bisgaard,Socialdemokratiet,Faaborg-Midtfyn Kommune,258
Martin Prentow,Socialdemokratiet,Hjørring Kommune,257
Morten Rønager,Liberal Alliance,Rudersdal Kommune,257
Per Halsboe-Larsen,Socialdemokratiet,Jammerbugt Kommune,257
Jonas Sivesgaard,Enhedslisten,Frederikshavn Kommune,257
Lizette Laugesen,Danmarksdemokraterne,Næstved Kommune,257
Pernille Sølvhøi,Danmarksdemokraterne,Guldborgsund Kommune,256
Peter Hjulmann,Venstre,Rebild Kommune,256
Mikkel Dodt Fregerslev,Konservative,Fredensborg Kommune,256
Klaus Riis Klæstrup,Venstre,Brønderslev Kommune,256
Ane Palsberg,Radikale,Gentofte Kommune,256
Tim Jensen,Socialdemokratiet,Hjørring Kommune,256
Lene Hatt,SF,Guldborgsund Kommune,256
Helle Have,Liberal Alliance,Haderslev Kommune,256
Emma Klug,Liberal Alliance,Greve Kommune,256
Kasper Kjær Jensen,Liberal Alliance,Vejen Kommune,256
Mustapha Badr,Venstre,Kalundborg Kommune,256
Anette Abildgaard Larsen,Konservative,Tønder Kommune,255
Peter Mousten Vestergaard,Dansk Folkeparti,Skive Kommune,255
Thomas Sørensen,Konservative,Silkeborg Kommune,255
Henrik Viholm,Liberal Alliance,Aalborg Kommune,254
Morten Haubro,Dansk Folkeparti,Kerteminde Kommune,254
Maria Sørensen,Enhedslisten,Favrskov Kommune,254
Karen Tilma,Konservative,Brønderslev Kommune,254
Jørgen Pontoppidan,Venstre,Mariagerfjord Kommune,254
Morten Weiss-Pedersen,Konservative,Middelfart Kommune,254
Torben Christensen,Radikale,Favrskov Kommune,254
Kasper Borg,SF,Vordingborg Kommune,253
Tommy Lindegaard,Enhedslisten,Næstved Kommune,253
Sebastian Kaimson,Konservative,Aarhus Kommune,253
Charlotte Lund,Enhedslisten,Københavns Kommune,253
Katrine Folmann von Arenstorff,Dansk Folkeparti,Guldborgsund Kommune,253
Steen Dahlstrøm,Socialdemokratiet,Middelfart Kommune,253
Carsten Thrane,Socialdemokratiet,Svendborg Kommune,252
Sarah Brandt-Kofoed,Venstre,Furesø Kommune,252
Ulla Sørensen,Socialdemokratiet,Middelfart Kommune,252
Caroline Victoria Christensen,Socialdemokratiet,Hørsholm Kommune,252
Kristian Siig,Danmarksdemokraterne,Lemvig Kommune,252
Anita E. H. Olesen,Venstre,Samsø Kommune,252
Mona Fedders Prag,Enhedslisten,Brøndby Kommune,252
Asger Kristensen,Venstre,Haderslev Kommune,252
Duygu A. Ngotho,Socialdemokratiet,Helsingør Kommune,251
Laila Jerming Graf,SF,Favrskov Kommune,251
Jacob Skjærris,Konservative,Aarhus Kommune,251
Martin Mickey,Liberal Alliance,Lolland Kommune,251
Jan Fink Mejlgaard,Socialdemokratiet,Thisted Kommune,251
Ann Maria Tjagvad,Konservative,Vallensbæk Kommune,251
Mia Povlsen,Konservative,Hjørring Kommune,251
Alma Hartmann Jensen,Konservative,Lyngby-Taarbæk Kommune,251
Helle Sommer,Danmarksdemokraterne,Viborg Kommune,251
Christiane Falke,Liberal Alliance,Odense Kommune,251
Jakob Villadsen,SF,Holbæk Kommune,250
Jannie Bertz,SF,Haderslev Kommune,250
Karin Nødgaard,Venstre,Ringsted Kommune,250
Jacqueline Kristensen,Liberal Alliance,Gladsaxe Kommune,250
H. C. Holst,Venstre,Brønderslev Kommune,250
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,Varde Kommune,250
Per Roth,Danmarksdemokraterne,Mariagerfjord Kommune,250
Adeel Akhtar,Socialdemokratiet,Brøndby Kommune,250
Jens Damgaard Gøtzsche,Konservative,Rødovre Kommune,249
Per Bødker Andersen,Socialdemokratiet,Kolding Kommune,249
Peter Uno Andersen,Socialdemokratiet,Thisted Kommune,249
Majbrit Pedersen,SF,Lyngby-Taarbæk Kommune,249
Bjørn Allerelli Andersen,Socialdemokratiet,Sønderborg Kommune,249
Lene Ross Skou,Danmarksdemokraterne,Kolding Kommune,249
Søren Hyldgård Poulsen,Dansk Folkeparti,Aarhus Kommune,249
Gitte Eriksen,Konservative,Vejle Kommune,248
Flemming Gjelstrup,Socialdemokratiet,Tønder Kommune,248
Annette Dyrbye Jensen,Danmarksdemokraterne,Hjørring Kommune,248
Nicolai Holmgaard Juul,SF,Kolding Kommune,248
Jesper Hartøft,SF,Holbæk Kommune,247
Martin Raghner,Konservative,Norddjurs Kommune,247
Peter Fallesen,Socialdemokratiet,Vejen Kommune,246
Mette Bay Velling,Venstre,Mariagerfjord Kommune,246
Bo Jessen,T,Tønder Kommune,246
Natalia Rafn,Enhedslisten,Skanderborg Kommune,246
Erling Thrane,Socialdemokratiet,Varde Kommune,246
Morten Ahmt,Danmarksdemokraterne,Lolland Kommune,246
Karina Konrad,Alternativet,Aarhus Kommune,245
Taner Genc,SF,Ballerup Kommune,245
Tina B. Nielsen,Dansk Folkeparti,Albertslund Kommune,245
Carsten Dyhre Hansen,Danmarksdemokraterne,Haderslev Kommune,245
Rasmus Oxfeldt Larsen,Socialdemokratiet,Vordingborg Kommune,245
Anna Spring,Venstre,Stevns Kommune,245
Hans Munk,Radikale,Kalundborg Kommune,245
John Karlsson,Socialdemokratiet,Frederikshavn Kommune,245
Joachim Boldsen,Konservative,Hørsholm Kommune,245
Martin Kirkholm Braun,Konservative,Hjørring Kommune,245
Alia Chapook,Radikale,Aarhus Kommune,244
Joakim Reingaard,Liberal Alliance,Odsherred Kommune,244
Christian G. Jensen,Venstre,Favrskov Kommune,244
Harun Güler,Socialdemokratiet,Horsens Kommune,244
Søren Timmermann Olesen,Konservative,Rebild Kommune,244
Erdal Colak,Socialdemokratiet,Vallensbæk Kommune,244
Mette Ejby Pallesen,Socialdemokratiet,Vejle Kommune,244
Preben Storm,Socialdemokratiet,Sønderborg Kommune,244
Jakob Hassingboe,Socialdemokratiet,Brønderslev Kommune,244
Gert Dyekjær,Konservative,Helsingør Kommune,244
Rudi Steen Hansen,Konservative,Vejen Kommune,244
Benjamin Christensen,SF,Aalborg Kommune,244
Maya Ryom,SF,Vejen Kommune,243
Anna Aubertin,Socialdemokratiet,Rebild Kommune,243
Jacob Kamper,Socialdemokratiet,Vordingborg Kommune,243
Emil Sloth,Alternativet,Københavns Kommune,243
Kirsten Winther Almind,SF,Viborg Kommune,243
Peter Esmann,SF,Aarhus Kommune,243
Henrik Klitgaard,T,Hørsholm Kommune,242
Anna Katrine Leth Rehn,SF,Odense Kommune,242
John Jakobsen,Venstre,Faaborg-Midtfyn Kommune,242
Majken Andersen,Liberal Alliance,Middelfart Kommune,242
Susanne Damsgaard,Danmarksdemokraterne,Gladsaxe Kommune,242
Gitte Sturm,Danmarksdemokraterne,Aarhus Kommune,242
Lars Lund Hansen,Liberal Alliance,Tønder Kommune,242
Bjarne Burgdorff,Danmarksdemokraterne,Varde Kommune,242
Lissy Juliane Mikkelsen,Enhedslisten,Morsø Kommune,242
Martin Frøland,Konservative,Gentofte Kommune,242
Jimmie Mathiesen,Socialdemokratiet,Vejen Kommune,241
Paw Østergaard Jensen,Socialdemokratiet,Albertslund Kommune,241
Knud Holt Nielsen,Enhedslisten,Københavns Kommune,241
Lars Larsen,Konservative,Odder Kommune,241
Anja Busch,Danmarksdemokraterne,Faaborg-Midtfyn Kommune,241
Jonas Munkholm Jensen,L,Lemvig Kommune,241
Stephan Arnold,Venstre,Horsens Kommune,241
Villy Hove,Danmarksdemokraterne,Holstebro Kommune,241
Martin Rosenkrantz,SF,Rødovre Kommune,241
Kim Laugesen,Danmarksdemokraterne,Næstved Kommune,241
Søren Visti,SF,Frederikshavn Kommune,240
Thomas Stubbe Teglbjærg,Radikale,Aarhus Kommune,240
Katrine Hassenkam,Enhedslisten,Københavns Kommune,240
Brian Gellert,Liberal Alliance,Haderslev Kommune,240
Asger Madsen,Venstre,Holbæk Kommune,240
Seyit Ahmet Ozkan,L,Ishøj Kommune,240
Sanne Abildgaard Svane,SF,Horsens Kommune,240
Lisbeth Kjærholt,Venstre,Høje-Taastrup Kommune,240
Peter Wallenskog,Danmarksdemokraterne,Frederikshavn Kommune,239
Thomas Radtleff,Konservative,Høje-Taastrup Kommune,239
Lars Hørsman,L,Rebild Kommune,239
Kim Bach,Konservative,Hjørring Kommune,239
Martin Ramsdal,Socialdemokratiet,Fredericia Kommune,239
Louise Colding,Socialdemokratiet,Hillerød Kommune,239
Camilla Lykke Sørensen,Venstre,Assens Kommune,239
Linda Bollerup,SF,Faaborg-Midtfyn Kommune,238
Lars Lyhne,Venstre,Ikast-Brande Kommune,238
Morten Møller,E,Esbjerg Kommune,238
Finn Brostrup,Dansk Folkeparti,Ikast-Brande Kommune,238
Henning Elmelund,Socialdemokratiet,Brøndby Kommune,238
Lene Skallebæk,Konservative,Brøndby Kommune,238
Lizette Cramon,Konservative,Ishøj Kommune,238
Mogens Brag,Venstre,Frederikshavn Kommune,238
Allan Werk,Venstre,Odder Kommune,237
Linda Gade,Dansk Folkeparti,Gladsaxe Kommune,236
Bente Lerche-Thomsen,Enhedslisten,Guldborgsund Kommune,236
Esther Michelsen Kjeldahl,Enhedslisten,Holbæk Kommune,236
Helle Vallentin,Enhedslisten,Furesø Kommune,236
Henrik Christian Løwenheim Kjærsvold-Niclasen,Venstre,Dragør Kommune,236
Henning Sloth,Danmarksdemokraterne,Lemvig Kommune,236
Søren Andersen,Konservative,Fredericia Kommune,236
Peter Poulsen,Socialdemokratiet,Helsingør Kommune,236
Susanne Cornelius,Konservative,Ringsted Kommune,236
Inger Marie Kristensen,Venstre,Varde Kommune,236
Hans Henrik Sørensen,Danmarksdemokraterne,Mariagerfjord Kommune,236
Malene Hansen,Socialdemokratiet,Kerteminde Kommune,236
Desalegn Tufa,Socialdemokratiet,Sønderborg Kommune,236
Iza Alfredsen,T,Ærø Kommune,236
Annette Wiencken,Konservative,Hørsholm Kommune,235
Kit Kielstrup,Moderaterne,Vejle Kommune,235
Lone Clausen,Socialdemokratiet,Brønderslev Kommune,235
Olaf Johannes Prien,SF,Halsnæs Kommune,235
Allan Thomsen,SF,Vejen Kommune,235
Patrick Elm,Dansk Folkeparti,Næstved Kommune,235
Sofie Schmahl,Venstre,Billund Kommune,235
Lasse Mogensen,Venstre,Nordfyns Kommune,234
Helge Bo Jensen,Enhedslisten,Albertslund Kommune,234
Mahmut Erdem,Socialdemokratiet,Brøndby Kommune,234
Ole Lyngby Pedersen,Venstre,Odder Kommune,234
Ole Maagaard Pedersen,Venstre,Assens Kommune,234
Erik Ellehammer,Venstre,Ikast-Brande Kommune,234
Malene Jøns,Venstre,Herning Kommune,234
Allan Berg Mortensen,Enhedslisten,Helsingør Kommune,234
Kenny Bruun Olsen,Venstre,Fredericia Kommune,234
Jamie Voldby,Danmarksdemokraterne,Brønderslev Kommune,234
Brit Skovgaard,Socialdemokratiet,Vordingborg Kommune,234
Thomas Kramer,Moderaterne,Kolding Kommune,233
Jesper Wienmann Hansen,Konservative,Kalundborg Kommune,233
Jakob Bech Jensen,Konservative,Vejen Kommune,233
Per Hyldig,Dansk Folkeparti,Hjørring Kommune,233
Lone Nørgård Holst-Hansen,Socialdemokratiet,Struer Kommune,233
Fahreta Kadic,Socialdemokratiet,Horsens Kommune,233
Pia Storm,Socialdemokratiet,Morsø Kommune,233
Mads Emil Lüthje,Radikale,Aalborg Kommune,233
Toke Elling,Konservative,Høje-Taastrup Kommune,233
Morten Rostved,Venstre,Sorø Kommune,233
Vicky Weide Nielsen,Konservative,Gribskov Kommune,232
Irina Frost,SF,Københavns Kommune,232
Jens Erik Lind,Socialdemokratiet,Kolding Kommune,232
Hella Hardø Tiedemann,Socialdemokratiet,Ballerup Kommune,232
Henriette Frølund Lyngberg,Venstre,Rebild Kommune,232
Mette Keller,SF,Syddjurs Kommune,232
Kenneth Nyholm,Socialdemokratiet,Vesthimmerlands Kommune,232
Thomas Elgaard,Liberal Alliance,Fredensborg Kommune,232
Benny Hansen,Venstre,Vesthimmerlands Kommune,232
Daniel Boalth Petersen,Socialdemokratiet,Helsingør Kommune,232
Johnny Pedersen,Radikale,Vejle Kommune,232
Jesper Blomberg,Moderaterne,Guldborgsund Kommune,232
Thomas Cilius Hansen,Venstre,Stevns Kommune,231
Torsten Ployart Wetche,Radikale,Vesthimmerlands Kommune,231
Marianne Bredgaard Karlsson,Radikale,Fredensborg Kommune,231
Yavuz Sari,Socialdemokratiet,Guldborgsund Kommune,231
Malene Ravn Neumann,Danmarksdemokraterne,Haderslev Kommune,231
Per Kappel,Venstre,Thisted Kommune,231
Thor Andreasen,SF,Holstebro Kommune,230
Kristian Nørgaard,Venstre,Egedal Kommune,230
Jesper Larsen,Socialdemokratiet,Brønderslev Kommune,229
Anne Marie Lyduch,Venstre,Greve Kommune,229
Mads Vergo,Socialdemokratiet,Halsnæs Kommune,229
Ann Rubæk-Nielsen,Socialdemokratiet,Bornholms Regionskommune,229
Niels Hörup,Venstre,Solrød Kommune,229
Johan Hjorth Jacobsen,Socialdemokratiet,Skanderborg Kommune,229
Ricco Clausen,Venstre,Gladsaxe Kommune,229
Michael Lagoni,Konservative,Helsingør Kommune,228
Morten Hjort,Enhedslisten,Vordingborg Kommune,228
Jørn Andersen,Danmarksdemokraterne,Tønder Kommune,228
Camilla Rubner Lerking,SF,Albertslund Kommune,228
Helle Lund,Liberal Alliance,Gribskov Kommune,228
Lene Reffstrup,SF,Ringsted Kommune,228
Jesper Olesen,Socialdemokratiet,Struer Kommune,228
Malene Fisker,Venstre,Brønderslev Kommune,228
Jørgen Jørgensen,SF,Sønderborg Kommune,228
Helene Baarup-Christensen,Venstre,Kolding Kommune,228
Morten Enggaard,Venstre,Skive Kommune,228
